Biracko mjesto:	BPS - SEFER HALILOVIc	STRANKA ZA BOSNU I HERCEGOVINU	SDP - SOCIJALDEMOKRATSKA PARTIJA BIH	HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE	DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH	DEMOKRATSKA STRANKA INVALIDA BIH	BOSS - BOSANSKA STRANKA - MIRNES AJANOVIc	ZAVIcAJNI SOCIJALDEMOKRATI - MILE MARcETA	SOCIJALISTICKA PARTIJA	SDA - STRANKA DEMOKRATSKE AKCIJE	DNS - DEMOKRATSKI NARODNI SAVEZ	STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE	SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK	SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE	HSP BIH	HRVATSKA DEMOKRATSKA ZAJEDNICA 1990 - HDZ 1990	STRANKA UDRUzENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE	STRANKA DEMOKRATSKE AKTIVNOSTI A-sda	STRANKA ZA NAROD BOSNE I HERCEGOVINE	SAVEZ ZA BOLJU BUDUcNOST BIH - SBB BIH FAHRUDIN RADONcIc	PARTIJA PRAVOG PUTA	STRANKA KOKUZA - SKOK	NASA STRANKA - NOVA SOCIJALISTIcKA PARTIJA ZDRAVKO KRSMANOVIc	NS R ZA BOLJITAK, KSPP, E-5 I LDS - ZAJEDNO ZA USK	KOALICIJA PREOKRET: GDS BIH I NEP BIH	Ukupno za biracko mjesto:
001A000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
001A001A	1	4	37	2	137	0	1	0	0	31	0	2	0	0	0	0	3	8	0	9	2	0	4	36	0	277
001A001B	0	6	40	2	107	0	0	0	0	29	0	1	0	0	0	0	0	1	0	11	0	0	2	17	0	216
001A002	1	21	34	1	136	2	0	0	0	47	0	3	0	2	0	0	2	7	1	22	2	2	0	40	0	323
001A003	0	11	43	2	217	0	1	0	0	26	0	0	0	1	0	0	0	10	0	13	0	1	4	47	0	376
001A004	1	17	46	2	213	0	4	0	0	34	0	0	0	3	0	0	1	7	0	10	0	0	3	64	0	405
001A005	0	8	32	2	211	0	0	0	0	35	0	3	0	4	0	0	3	4	1	16	0	0	1	56	0	376
001A006	1	22	48	3	195	0	0	0	0	40	0	0	0	5	0	0	0	2	0	16	1	2	7	68	1	411
001A007A	0	11	31	1	154	0	0	0	0	32	0	0	0	1	0	0	0	1	2	16	1	1	0	41	0	292
001A007B	0	5	11	1	88	0	0	0	0	33	0	0	0	2	0	0	0	4	0	5	0	3	1	50	0	203
001A008A	1	12	38	3	191	0	0	0	0	56	0	0	0	1	0	0	0	6	0	5	1	0	0	44	0	358
001A008B	0	7	23	3	146	1	0	0	0	52	0	2	0	2	0	0	0	3	0	7	1	2	2	69	0	320
001A009A	1	2	12	3	182	0	1	0	0	14	0	0	0	1	0	1	0	0	0	4	0	0	0	58	0	279
001A009B	1	1	4	0	125	0	1	0	0	28	0	0	0	0	0	0	0	4	0	4	0	2	1	40	0	211
