Biraèko mjesto:;BPS - SEFER HALILOVIÆ;STRANKA ZA BOSNU I HERCEGOVINU;SDP - SOCIJALDEMOKRATSKA PARTIJA BIH;HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE;DEMOKRATSKA STRANKA INVALIDA BIH;BOSS - BOSANSKA STRANKA - MIRNES AJANOVIÆ;?????????????? ???????;SDA - STRANKA DEMOKRATSKE AKCIJE;HSS - NHI;NARODNA STRANKA RADOM ZA BOLJITAK;STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE;????? ?????????? ???????????????? - ???? - ??????? ?????;HRVATSKA DEMOKRATSKA UNIJA BIH;STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE;STRANKA DEMOKRATSKE AKTIVNOSTI A-sda;STRANKA ZA NAROD BOSNE I HERCEGOVINE;HODŽIÆ HAZIM - NEZAVISNI KANDIDAT;SAVEZ ZA BOLJU BUDUÆNOST BIH - SBB BIH FAHRUDIN RADONÈIÆ;PARTIJA PRAVOG PUTA;STRANKA KOKUZA - SKOK;NAŠA STRANKA - NOVA SOCIJALISTIÈKA PARTIJA ZDRAVKO KRSMANOVIÆ;HRVATSKA KOALICIJA HDZ 1990 - HSP BIH;SDU BIH - LDS BIH - E5 - KOALICIJA ZA TUZLANSKI KANTON;KOALICIJA PREOKRET: GDS BIH I NEP BIH;Ukupno za biraèko mjesto:
025A000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
025A001;58;16;59;0;1;0;0;284;0;3;2;0;0;1;7;0;0;99;0;5;0;0;3;0;538
025A002;20;22;151;1;0;3;0;82;1;49;4;0;1;1;4;0;3;132;2;8;6;0;0;2;492
025A003A;7;15;67;0;0;0;0;99;0;14;0;0;0;1;4;0;0;83;3;0;0;0;2;0;295
025A003B;9;10;52;0;1;5;0;128;0;8;0;0;0;0;9;0;0;109;5;0;0;0;0;0;336
025A004;41;34;103;0;0;0;0;131;0;9;0;0;0;1;7;0;0;136;1;5;1;1;2;0;472
025A005A;0;2;57;0;2;0;0;116;0;3;3;0;0;1;2;0;0;105;0;1;1;0;0;0;293
025A005B;10;5;98;0;0;0;0;118;0;9;3;0;0;0;13;0;0;97;0;0;0;0;0;0;353
025A006A;5;0;101;0;0;0;0;207;0;3;0;0;0;0;16;1;0;41;1;2;0;0;0;0;377
025A006B;13;2;70;0;3;0;0;184;0;3;2;0;0;0;15;0;0;73;0;0;0;0;0;0;365
025A007A;5;2;35;0;0;1;0;252;0;0;0;0;0;0;2;2;0;10;0;0;0;0;0;0;309
025A007B;2;2;36;0;0;0;0;223;0;2;0;0;0;0;4;0;0;4;0;0;0;0;1;0;274
025A008A;6;7;42;0;3;2;0;129;0;1;0;0;0;1;2;1;0;38;0;0;0;0;1;1;234
025A008B;13;4;28;0;0;2;0;161;0;6;0;0;0;0;8;0;0;76;0;1;0;0;0;0;299
025A009A;6;6;34;0;1;1;0;166;0;1;0;0;0;2;15;0;0;9;1;0;0;0;1;0;243
025A009B;9;10;24;1;1;1;0;239;0;0;4;0;0;0;6;2;0;22;0;0;2;1;1;0;323
025A010;7;5;109;0;1;3;0;122;0;15;5;0;0;0;53;0;0;20;0;0;0;0;1;1;342
025A011;30;23;220;1;0;0;0;38;0;29;1;0;0;0;1;0;0;80;0;0;0;0;0;0;423
025A012;27;13;196;0;3;1;0;39;0;28;0;1;0;1;0;0;0;46;0;0;2;0;1;0;358
025A013A;16;27;60;0;2;1;0;57;0;2;0;2;0;0;7;2;0;171;0;1;3;0;1;0;352
025A013B;16;2;79;0;1;3;0;53;0;8;2;5;0;1;6;0;0;153;0;2;1;0;0;0;332
025A013C;22;15;72;1;0;1;0;34;0;15;1;2;0;0;7;1;1;213;2;1;0;0;0;0;388
025A013D;9;11;51;0;3;4;0;21;0;7;0;2;0;3;2;0;2;72;3;0;1;0;0;2;193
025A014;1;7;18;0;0;1;0;19;0;3;1;1;0;0;3;0;0;71;2;0;0;0;0;0;127
025A015;20;16;123;0;3;6;0;107;0;16;2;0;0;1;10;0;0;70;0;0;4;0;1;0;379
025A016;32;22;106;1;3;4;0;48;0;50;9;0;0;1;3;0;0;55;0;8;13;0;0;1;356
025A017;24;14;157;3;1;1;1;54;0;39;4;0;0;5;6;1;0;38;2;8;3;0;2;1;364
025A018;21;15;136;3;3;2;0;57;0;19;6;1;0;0;1;1;2;63;0;7;13;0;3;8;361
025A019;25;12;160;3;3;6;0;65;0;28;2;0;0;4;3;3;0;57;2;16;5;0;0;8;402
025A020;26;9;117;10;1;2;0;51;0;23;3;0;0;1;6;0;0;48;2;4;1;0;7;0;311
025A021;17;8;131;0;2;5;0;95;0;33;4;0;0;1;4;0;0;30;0;4;1;0;1;2;338
025A022;15;115;154;0;5;4;0;59;0;6;0;0;0;0;4;1;1;16;0;1;3;0;1;3;388
025A023;13;10;64;1;1;0;0;96;0;28;0;0;0;0;15;2;0;33;0;0;14;0;0;0;277
025A024;8;7;71;3;2;2;0;37;0;20;3;0;0;1;1;2;0;33;0;3;10;0;0;0;203
025A025;5;0;4;248;1;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;4;2;0;0;270
025A026;8;6;113;2;2;5;0;98;1;14;0;0;0;12;7;1;0;49;1;1;0;0;0;1;321
025A027;14;8;54;0;0;1;0;97;0;14;2;0;0;0;2;1;0;51;0;2;7;0;0;1;254
025A028;9;14;59;5;1;5;0;41;0;24;7;0;0;0;5;0;0;41;1;2;6;0;0;0;220
025A029;21;7;161;1;6;4;0;40;0;34;6;0;0;3;6;0;0;61;0;10;4;1;0;3;368
025A030;28;16;188;20;3;4;0;45;1;18;4;0;0;0;3;0;0;71;0;3;9;3;1;9;426
025A031;24;1;161;11;1;5;0;53;0;33;7;3;0;1;3;0;0;41;0;9;4;1;0;2;360
025A032;12;12;181;5;2;6;0;79;0;43;6;0;0;1;27;2;1;46;0;9;4;0;0;0;436
025A033;50;14;227;2;1;2;0;51;1;31;0;1;0;0;0;0;0;109;0;0;1;0;1;0;491
025A034;7;32;117;0;0;3;0;71;0;30;2;1;0;1;24;0;0;54;0;2;23;0;1;0;368
025A035;23;5;124;0;1;4;0;42;0;16;7;0;0;0;12;0;0;38;0;3;3;0;1;0;279
025A036;10;4;116;0;0;4;0;30;0;9;2;0;0;5;3;0;0;77;5;6;2;0;4;2;279
025A037;25;19;182;12;1;5;0;57;0;31;8;0;0;0;5;2;1;50;0;2;17;1;5;6;429
025A038;26;5;195;9;0;5;0;98;0;22;10;0;0;6;9;0;0;42;1;4;2;0;2;5;441
025A039;0;0;2;241;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;250
025A040;3;9;15;0;0;2;0;44;0;11;3;5;0;4;7;0;0;29;0;1;2;0;0;0;135
025A041;8;1;50;52;0;2;0;33;3;6;5;3;0;2;19;0;0;6;0;1;0;2;0;0;193
025A042;7;1;9;0;1;0;0;77;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;125
025A043;5;5;151;0;2;1;0;58;1;2;2;0;0;0;4;0;1;63;0;2;0;1;0;0;298
025A044;12;7;119;3;0;3;0;39;0;29;2;0;0;1;2;0;0;33;3;8;9;0;1;1;272
036A000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
036A001A;11;33;107;0;2;5;0;108;0;5;2;0;0;0;64;0;1;31;0;1;9;0;47;8;434
036A001B;8;18;107;0;2;5;0;192;0;13;6;0;0;1;57;0;0;50;5;3;6;0;19;20;512
036A001C;2;9;59;0;0;3;0;34;0;3;0;0;0;0;12;0;0;14;0;2;5;0;7;5;155
036A001D;23;41;161;1;0;3;0;135;0;20;2;0;0;3;112;1;0;33;8;6;18;0;38;18;623
036A001E;13;23;112;3;3;7;0;156;0;10;4;0;0;7;88;0;0;51;5;11;13;1;50;3;560
036A003A;14;19;215;1;2;4;0;146;0;13;7;0;0;1;18;0;0;75;4;9;15;0;15;3;561
036A003B;5;12;197;1;2;2;0;120;0;5;4;0;0;1;13;0;0;54;0;5;13;0;14;6;454
036A004A;20;25;156;0;4;1;0;85;0;31;1;0;0;0;9;0;0;84;0;11;11;0;46;11;495
036A004B;22;29;139;0;1;6;0;73;0;7;5;0;0;1;13;1;0;83;1;4;10;0;26;5;426
036A005;9;20;124;0;3;5;0;153;0;4;1;0;0;0;12;1;0;57;5;0;2;0;29;4;429
036A006;1;158;64;1;1;9;0;127;0;2;4;0;1;16;2;3;0;12;1;0;3;0;12;1;418
044A000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
