Biracko mjesto:;BPS - SEFER HALILOVIc;STRANKA ZA BOSNU I HERCEGOVINU;SDP - SOCIJALDEMOKRATSKA PARTIJA BIH;HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE;DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH;DEMOKRATSKA STRANKA INVALIDA BIH;BOSS - BOSANSKA STRANKA - MIRNES AJANOVIc;SDA - STRANKA DEMOKRATSKE AKCIJE;HSS - NHI;NARODNA STRANKA RADOM ZA BOLJITAK;STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE;????? ?????????? ???????????????? - ???? - ??????? ?????;SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE;STRANKA UDRUzENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE;STRANKA DEMOKRATSKE AKTIVNOSTI A-sda;STRANKA ZA NAROD BOSNE I HERCEGOVINE;SAVEZ ZA BOLJU BUDUcNOST BIH - SBB BIH FAHRUDIN RADONcIc;PARTIJA PRAVOG PUTA;TVOJA I MOJA - TIM STRANKA U BIH;STRANKA KOKUZA - SKOK;NASA STRANKA - NOVA SOCIJALISTIcKA PARTIJA ZDRAVKO KRSMANOVIc;HRVATSKA KOALICIJA HDZ 1990 - HSP BIH;LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOSKA STRANKA E-5;KOALICIJA PREOKRET: GDS BIH I NEP BIH;Ukupno za biracko mjesto:
037A001A;3;84;193;1;0;0;2;66;0;28;4;0;0;0;0;4;28;0;0;5;4;0;0;0;422
037A001B;4;41;169;2;0;0;4;53;0;17;4;1;1;1;2;0;25;2;0;5;0;0;0;1;332
037A001C;4;52;147;0;0;0;1;75;0;14;8;0;0;0;1;0;16;0;0;11;0;0;0;0;329
037A001D;6;63;181;1;1;0;2;90;0;22;6;0;1;0;0;5;23;0;0;6;0;0;2;0;409
037A002A;7;52;165;0;0;0;5;106;1;10;15;0;0;0;2;3;18;0;0;2;12;0;0;0;398
037A002B;7;17;179;1;0;0;0;118;0;12;6;0;1;0;0;4;7;0;0;0;1;2;2;0;357
039A000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
039A001;6;20;176;1;1;1;0;82;0;11;5;0;0;1;1;9;61;0;0;3;5;0;2;0;385
039A002;21;28;137;5;0;2;0;199;0;9;4;0;0;0;0;5;5;0;0;0;6;11;0;0;432
039A003;20;35;187;0;0;0;2;96;0;6;17;0;0;0;1;8;35;0;0;9;7;2;3;0;428
039A004A;14;49;36;0;0;1;2;84;2;3;7;0;0;0;2;24;39;0;0;0;0;0;0;0;263
039A004B;1;60;41;0;0;0;0;81;0;0;10;0;0;0;0;18;10;0;0;0;3;0;0;0;224
039A005A;7;81;106;1;0;1;2;114;0;19;1;0;0;0;0;0;11;0;0;0;2;0;2;0;347
039A005B;12;24;41;0;1;0;0;177;0;4;3;0;0;0;0;0;14;2;0;0;0;1;0;0;279
