Biracko mjesto:	STRANKA ZA BOSNU I HERCEGOVINU	SDP - SOCIJALDEMOKRATSKA PARTIJA BIH	SDS - SRPSKA DEMOKRATSKA STRANKA	HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE	DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH	ZAVIcAJNI SOCIJALDEMOKRATI - MILE MARcETA	SDA - STRANKA DEMOKRATSKE AKCIJE	HSS - NHI	PDP - PARTIJA DEMOKRATSKOG PROGRESA	DNS - DEMOKRATSKI NARODNI SAVEZ	NARODNA STRANKA RADOM ZA BOLJITAK	SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK	SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE	HSP BIH	HRVATSKA DEMOKRATSKA ZAJEDNICA 1990 - HDZ 1990	cURKOVIc STIPO - RADE - NEOVISNI KANDIDAT	DEMOKRATSKA PARTIJA - DRAGAN CAVIC	SAVEZ ZA BOLJU BUDUcNOST BIH - SBB BIH FAHRUDIN RADONcIc	HSP DR. ANTE STARcEVIc – PRAVASI 21 STOLJEcA	NASA STRANKA - NOVA SOCIJALISTIcKA PARTIJA ZDRAVKO KRSMANOVIc	Ukupno za biracko mjesto:
057A000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
057A001	0	1	0	14	0	7	0	0	48	72	7	250	0	12	36	0	0	0	0	4	451
057A002	0	1	0	9	0	8	0	0	29	86	1	176	0	7	54	0	0	0	0	7	378
057A003	0	2	0	1	0	3	0	0	14	73	1	98	0	0	18	0	0	1	0	3	214
057A004	0	3	0	19	0	8	0	2	27	62	7	182	0	4	81	0	0	0	0	6	401
057A005	0	7	0	0	0	4	0	0	22	125	0	177	0	4	18	0	0	0	0	3	360
057A006	0	3	0	5	2	3	0	1	21	80	2	148	0	2	26	0	0	1	0	6	300
057A007	0	0	0	1	0	5	0	0	6	42	0	149	0	0	0	0	0	0	0	0	203
057A008	0	1	1	0	0	4	0	0	11	37	0	123	0	0	0	0	0	0	0	2	179
057A009	0	0	0	0	0	3	0	0	6	23	0	58	1	0	0	0	0	0	0	0	91
057A010	0	3	1	0	1	4	0	0	40	66	1	295	0	1	1	3	0	0	0	5	421
057A011	0	1	0	0	0	3	0	0	46	94	0	168	0	2	18	0	0	0	0	2	334
057A012	0	1	0	0	0	0	0	0	7	0	0	8	0	0	0	0	0	0	0	0	16
057A013	0	3	0	1	0	4	0	1	22	100	0	237	0	0	9	0	0	0	1	11	389
057A014	1	1	1	0	0	1	0	0	7	21	0	51	0	0	1	0	0	0	0	2	86
057A015	0	2	0	0	0	1	0	0	10	43	0	33	0	0	0	1	0	0	0	1	91
057A016	0	0	0	1	0	0	0	0	0	3	0	37	0	0	2	0	0	0	0	0	43
084A000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
084A001	0	2	0	11	0	4	0	1	4	36	43	100	0	0	6	4	6	0	0	0	217
084A002	0	1	0	1	0	3	0	0	0	8	8	109	0	0	0	0	0	0	0	0	130
084A003	2	4	2	14	0	0	0	1	4	37	52	94	0	0	1	1	0	0	1	0	213
084A004	0	1	1	0	0	0	0	0	3	13	3	65	0	0	0	4	1	0	0	0	91
084A005	2	7	0	49	0	2	0	0	7	36	51	87	0	1	16	4	0	0	0	0	262
084A006	0	0	0	78	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	80
085A000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
085A001	0	20	9	100	0	0	36	4	53	16	34	77	19	23	61	11	0	13	2	0	478
085A002	2	13	6	63	0	0	57	1	67	13	49	117	15	9	44	9	0	2	2	1	470
085A003	1	6	1	36	0	0	46	0	14	1	20	36	8	1	12	2	0	1	2	0	187
085A004	5	1	1	0	0	0	30	0	85	17	2	45	5	0	0	1	0	0	0	0	192
085A005	0	0	12	1	0	0	0	0	21	19	0	52	0	0	0	0	1	0	0	0	106
085A006	0	0	1	0	0	0	0	0	20	7	0	36	0	0	0	12	0	0	0	0	76
085A007	0	0	3	0	0	0	0	0	14	3	0	11	0	0	0	0	1	0	0	1	33
085A008	0	1	0	0	0	0	0	0	9	6	0	17	0	0	0	0	1	0	0	0	34
085A009	1	26	17	16	0	3	109	1	67	5	25	105	30	7	7	9	3	5	0	0	436
106A000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106A001	0	7	0	214	11	0	1	28	0	1	153	0	0	12	95	5	0	0	7	0	534
106A002A	2	6	0	125	0	0	5	18	0	0	73	0	0	8	66	8	0	4	0	1	316
106A002B	3	1	0	107	1	0	3	14	0	0	78	0	0	6	36	2	0	1	0	2	254
106A003	5	35	0	41	1	0	27	6	1	6	76	1	1	3	18	1	0	13	0	3	238
106A004	1	37	0	124	2	0	24	40	0	11	115	0	1	3	86	2	0	9	5	3	463
106A005	7	49	0	156	2	0	49	27	0	1	126	0	0	3	62	14	0	15	7	1	519
106A006	11	72	0	11	0	0	292	8	0	1	123	1	1	0	8	4	0	26	0	2	560
106A007	4	28	0	78	0	0	47	21	0	1	176	1	0	8	57	4	1	21	8	2	457
106A008	5	55	0	71	1	1	32	11	0	1	118	0	0	8	82	4	0	12	7	3	411
106A009	1	7	0	96	0	0	67	10	2	17	11	0	0	4	58	9	0	25	8	0	315
106A010	0	2	0	192	1	0	0	124	0	0	9	0	0	6	86	2	0	0	1	0	423
106A011	3	4	0	104	0	0	8	102	0	0	34	0	1	8	59	3	0	28	5	0	359
106A012	0	2	0	305	0	0	0	4	0	4	31	0	0	2	27	2	0	0	7	0	384
106A013	0	0	0	193	0	0	0	7	0	2	21	0	0	0	4	2	0	0	2	0	231
106A014	0	0	0	87	0	0	5	29	1	0	65	0	0	0	122	5	0	2	1	0	317
