,BM,A-SDA-KSPP ZAJEDNO ZA USK,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,DNS-DEMOKRATSKI NARODNI SAVEZ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,NARODNA STRANKA RADOM ZA BOLJITAK,PRVA STRANKA,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDU-LDS SOCIJALDEMOKRATSKA UNIJA LIBERALNODEMOKRATSKA STRANKA,SLOŽNA NARODNA STRANKA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-BNS),SNSD-SP,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-DNZ-SP/U),Ukupno
,001A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,001A001,30,0,1,22,0,0,0,32,0,3,15,62,28,1,0,0,1,2,2,0,25,224
,001A002,38,0,4,15,0,1,0,59,0,5,17,84,26,0,0,0,0,3,5,0,32,289
,001A003,15,1,2,11,0,0,0,55,0,6,3,55,20,0,0,3,0,0,1,1,29,202
,001A004,34,3,0,11,0,0,1,70,1,3,3,63,33,0,0,1,0,0,0,1,24,248
,001A005,25,1,0,21,0,0,0,63,0,3,12,56,26,0,0,0,0,0,0,1,26,234
,001A006,29,0,0,37,0,0,0,84,2,2,30,59,35,0,0,2,0,2,0,0,44,326
,001A007,18,1,0,7,0,1,0,58,2,2,8,34,22,0,0,1,0,0,0,0,14,168
,001A008A,27,0,2,11,0,1,0,55,0,4,14,69,44,3,0,0,0,0,0,2,38,270
,001A008B,5,0,0,4,0,0,0,30,1,1,7,24,20,0,0,0,0,1,0,1,7,101
,001A008C,13,0,1,6,0,0,0,19,0,0,2,40,20,0,0,0,0,0,0,1,6,108
,001A009A,12,0,2,3,0,0,0,42,0,0,3,17,14,0,0,0,0,0,0,0,8,101
,001A009B,9,0,0,8,0,1,0,112,0,5,6,53,42,0,0,0,0,1,0,0,42,279
,001A010,21,0,0,3,0,0,0,82,0,1,3,84,30,0,0,0,0,2,2,0,10,238
,001A011,24,0,0,1,0,1,1,71,0,0,1,29,9,0,0,0,0,0,2,0,108,247
,001A012A,7,0,0,4,0,1,0,91,0,1,3,17,28,0,1,0,0,2,3,0,18,176
,001A012B,9,0,0,2,0,0,0,92,0,2,6,20,28,0,0,1,0,1,1,0,16,178
,001A013,3,0,1,14,0,0,0,173,0,1,1,11,8,0,0,0,0,1,1,0,9,223
,001A014A,12,0,1,6,0,0,0,141,0,3,1,13,14,0,0,0,0,1,2,0,63,257
,001A014B,4,0,0,2,0,0,0,70,0,0,0,0,1,0,0,0,0,0,0,0,16,93
,001A015A,4,0,0,3,0,0,0,71,3,0,2,22,33,0,0,0,0,0,1,1,22,162
,001A015B,9,0,1,7,0,1,0,78,0,1,2,12,15,0,0,2,0,0,1,1,15,145
,001A016A,12,0,1,7,0,0,0,121,0,0,3,13,12,0,1,0,0,0,0,0,27,197
,001A016B,12,0,0,7,0,0,0,77,0,0,6,31,24,0,0,0,0,0,0,0,27,184
,001A017,21,0,0,8,0,0,0,165,0,0,9,41,16,0,0,0,0,0,0,0,34,294
