
,BM,BOSANSKOHERCEGOVAČKA NARODNA STRANKA - BNS,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HSP BIH-DSI,HSS STJEPANA RADIĆA,NARODNA STRANKA RADOM ZA BOLJITAK,NOVI POKRET BIH,POSAVSKA STRANKA,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,STRANKA ZA BOSNU I HERCEGOVINU,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,017A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,017A001,0,0,0,136,79,1,0,3,0,40,0,0,0,0,0,259
,017A002,0,3,26,21,1,1,0,12,0,27,56,180,34,25,1,387
,017A003,1,2,47,6,6,1,1,13,0,14,34,191,35,22,1,374
,017A004,0,1,30,32,35,8,1,33,0,31,30,78,53,7,3,342
,017A005,0,0,1,68,97,22,1,4,0,10,0,1,7,0,1,212
,017A006,0,2,7,81,146,4,0,33,0,23,2,0,8,1,1,308
,017A007,0,0,1,115,41,0,0,0,0,24,0,1,0,0,3,185
,017A008,0,0,3,40,110,51,0,9,0,6,1,0,0,0,0,220
,017A009,0,0,2,51,159,21,0,4,0,15,1,0,0,1,4,258
,017A010,0,1,36,2,0,1,0,7,0,31,26,286,31,74,0,495
,017A011,0,0,47,12,9,0,0,7,0,30,44,120,65,35,0,369
,017A012,1,1,42,4,17,2,0,1,0,21,68,217,35,38,6,453
,017A013,0,3,43,8,15,2,0,2,1,23,27,134,29,29,0,316
,017A014,0,0,7,36,72,15,0,12,0,12,0,0,0,1,2,157
,017A015,0,0,5,175,58,42,0,7,0,13,1,4,0,0,3,308
,017A016,0,0,0,49,90,1,0,8,0,4,0,0,1,0,0,153
,017A017,1,0,5,78,82,19,0,6,0,2,0,0,2,0,1,196
,017A018,0,0,0,176,23,2,0,7,0,26,0,0,0,0,0,234
,017A019,0,1,17,71,126,11,0,7,1,42,10,34,16,16,2,354
,017A020,1,0,2,125,65,1,0,13,0,48,0,0,1,0,5,261
,017A021,0,0,0,29,26,14,0,2,0,15,3,2,15,0,3,109
,017A022,0,10,32,5,16,2,0,5,1,19,27,117,33,6,2,275
,020A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,020A001,0,1,1,117,84,15,0,12,0,0,0,0,4,0,7,241
,020A002,0,0,2,129,99,29,0,4,0,0,1,0,0,0,1,265
,020A003,0,0,1,166,74,11,0,10,0,0,0,0,1,0,3,266
,020A004,0,1,0,55,143,1,0,8,0,7,0,1,1,0,1,218
,020A005,0,3,0,114,32,3,0,1,0,0,0,1,1,0,0,155
,020A006,0,0,1,130,63,5,0,7,0,1,1,0,0,0,8,216
,020A007,0,0,0,103,52,3,0,8,0,3,0,0,0,0,0,169
,022A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,022A001,0,0,33,27,47,1,0,12,1,37,57,138,18,2,0,373
,022A002,0,0,22,36,51,2,1,12,0,16,75,165,35,0,7,422
,022A003A,0,0,1,45,153,8,0,10,0,30,1,3,3,0,6,260
,022A003B,0,0,1,57,147,15,1,3,0,35,4,4,1,0,5,273
,022A004,0,0,2,152,110,3,0,2,0,16,0,0,4,0,2,291
,022A005,1,0,2,70,174,7,0,13,0,21,1,0,2,1,15,307
,022A006,0,0,1,266,104,3,1,14,0,31,0,0,0,0,11,431
,022A007,1,0,2,274,73,7,1,8,0,26,1,0,2,0,5,400
,022A008A,0,0,4,73,223,1,0,0,0,14,1,1,2,0,3,322
,022A008B,1,0,5,102,144,0,1,5,0,10,0,0,1,0,5,274
,022A009,0,0,0,54,167,4,0,15,0,57,0,0,0,0,6,303
,022A010,0,0,1,82,138,2,0,1,0,2,1,2,0,0,3,232
,022A011,0,0,1,82,261,17,0,0,0,4,0,1,0,0,4,370
,022A012,0,0,2,93,177,2,0,1,0,5,1,0,0,0,1,282
,022A013,1,0,4,27,147,22,0,2,1,15,1,0,7,0,4,231
,022A014,0,0,0,24,135,37,0,0,0,6,0,1,1,1,2,207
,022A015,0,1,16,53,70,9,0,11,0,16,75,147,24,1,5,428
,022A016,0,0,0,101,176,2,0,9,0,16,0,0,1,0,2,307
,022A017,0,0,2,48,117,5,0,5,0,66,0,0,1,0,2,246
,022A018,1,0,1,104,116,1,0,5,0,5,1,0,0,0,5,239
,022A019,0,1,2,159,99,39,0,12,0,17,0,0,0,1,4,334
,022A020,0,0,1,44,164,29,0,4,1,6,2,0,0,0,5,256
,022A021,0,0,23,36,56,2,0,8,1,18,63,154,29,1,14,405
,022A022,0,0,2,95,203,8,0,9,0,4,1,1,1,1,0,325
,022A023,0,0,1,76,233,5,0,12,0,7,2,0,6,0,3,345
