,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HASIĆ DERVIŠ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,POSAVSKA STRANKA,PRVA STRANKA,RDS-REGIONALNI DEMOKRATSKI SAVEZ TUZLA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-SNAGA BOSNE-BNS),SOCIJALISTIČKA PARTIJA,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-SUND-LDS),Ukupno
,025A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,025A001,0,21,46,0,0,1,0,1,0,0,1,0,1,0,88,149,82,0,0,0,1,73,1,0,465
,025A002,2,18,42,0,0,0,0,6,0,0,0,0,11,0,102,92,100,0,0,0,0,23,2,1,399
,025A003A,0,6,13,0,0,0,0,5,0,0,0,0,1,0,117,90,37,0,0,0,0,3,0,0,272
,025A003B,1,6,16,0,0,0,0,2,0,0,0,0,7,0,156,120,30,0,0,0,0,6,0,0,344
,025A004,6,10,37,0,0,0,2,6,1,5,0,0,86,0,82,67,111,0,0,0,0,89,0,0,502
,025A005A,4,10,26,0,0,0,0,14,0,0,0,0,35,0,114,69,46,0,0,0,1,14,0,0,333
,025A005B,4,8,12,0,0,0,0,29,0,1,1,0,41,0,99,74,72,0,0,0,0,13,1,4,359
,025A006A,2,6,63,0,0,0,1,0,2,0,0,0,52,0,175,120,53,0,1,0,0,21,1,0,497
,025A006B,1,6,15,0,0,0,2,0,0,0,0,0,24,0,52,70,31,0,0,0,0,26,0,0,227
,025A007A,1,4,155,0,0,0,0,0,0,0,0,0,5,0,27,92,103,0,0,0,0,12,0,0,399
,025A007B,0,6,90,0,0,0,1,8,0,0,1,0,3,0,10,77,92,0,0,0,1,38,1,0,328
,025A008A,2,26,24,0,0,0,0,26,0,0,0,0,17,0,12,53,159,0,0,0,0,149,0,3,471
,025A008B,0,12,14,0,0,0,0,4,1,0,0,0,6,0,4,11,108,0,0,0,0,30,0,0,190
,025A009A,1,8,14,0,0,0,3,3,0,0,0,0,19,0,16,56,67,0,0,0,0,64,3,3,257
,025A009B,1,9,19,0,0,0,0,9,0,0,0,0,78,0,11,105,47,0,0,0,0,64,4,1,348
,025A010,1,11,50,0,0,0,1,8,1,0,0,0,1,0,28,144,65,0,0,0,0,25,0,0,335
,025A011,5,38,35,0,0,0,0,18,0,3,0,0,26,0,48,54,105,0,0,0,0,84,0,4,420
,025A012,1,37,42,0,0,0,0,26,0,6,0,0,18,0,39,40,75,0,0,0,2,102,0,13,401
,025A013A,0,10,4,0,0,0,0,2,1,0,0,0,6,0,90,199,116,0,0,0,0,14,0,0,442
,025A013B,2,12,16,0,0,0,0,0,0,0,0,0,4,0,30,75,37,0,0,0,0,14,1,6,197
,025A013C,2,20,46,0,0,0,0,4,0,0,0,0,9,1,38,117,32,0,0,0,0,39,1,11,320
,025A013D,3,4,25,0,0,0,0,3,0,0,0,0,9,0,31,52,20,0,0,0,0,22,1,5,175
,025A014,11,3,48,0,0,0,0,3,0,0,0,0,2,0,16,99,34,0,1,0,0,39,1,8,265
,025A015,5,10,31,0,0,0,1,9,0,0,0,0,15,0,18,41,53,0,0,0,0,251,3,1,438
,025A016,6,17,69,0,0,0,2,6,9,1,0,0,16,0,46,67,62,0,0,0,0,46,6,0,353
,025A017,11,21,67,0,0,3,2,11,2,1,0,0,11,0,32,80,60,2,0,0,0,15,0,0,318
,025A018,10,5,66,0,2,4,6,9,3,0,0,0,9,0,48,62,39,0,0,0,0,22,4,9,298
,025A019,5,14,58,0,0,0,2,9,3,0,0,0,5,0,79,84,107,0,0,0,0,10,0,3,379
,025A020,4,20,44,0,3,8,0,8,0,0,0,0,5,0,69,60,82,0,0,0,0,20,1,5,329
,025A021,6,17,44,0,0,0,4,5,0,0,0,0,28,0,24,95,109,0,0,0,0,20,0,2,354
,025A022,7,7,62,0,0,0,0,9,1,0,0,1,7,0,46,62,158,0,0,0,0,10,0,1,371
,025A023,3,15,36,0,0,0,0,16,0,0,0,0,11,0,34,87,53,0,0,0,2,23,0,2,282
,025A024,5,8,61,0,0,0,0,7,0,1,0,0,7,0,27,23,31,1,0,0,0,16,0,6,193
,025A025,0,13,0,0,0,24,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,229,283
,025A026,2,22,12,0,2,0,0,0,0,0,0,0,19,0,10,146,131,0,0,0,0,13,0,1,358
,025A027,4,4,20,0,0,0,0,17,2,0,0,0,5,0,26,120,29,0,0,0,0,24,2,0,253
,025A028,6,10,41,0,0,2,1,2,2,1,1,0,1,0,34,49,46,0,0,0,0,23,6,4,229
,025A029,9,6,63,0,0,0,2,10,1,0,0,0,19,0,69,66,74,1,0,0,0,35,3,6,364
,025A030,12,12,81,0,1,10,0,5,1,3,0,1,1,1,63,63,91,0,0,0,0,33,2,3,383
,025A031,6,7,97,0,0,6,0,11,1,1,0,0,2,0,107,123,239,0,0,0,3,47,0,0,650
,025A032,3,21,65,0,1,0,0,19,0,0,0,0,12,0,73,101,96,0,0,0,0,16,1,0,408
,025A033,6,55,61,0,1,0,1,13,1,24,0,0,19,0,50,50,47,0,1,0,1,102,2,7,441
,025A034,1,4,29,0,0,0,0,1,0,0,0,0,48,0,15,29,52,0,0,0,0,189,1,0,369
,025A035,6,8,54,0,0,0,1,7,1,0,0,0,7,0,29,46,46,0,0,0,0,13,1,2,221
,025A036,5,10,54,0,0,0,2,3,0,0,0,1,3,0,65,44,47,0,0,0,0,9,2,1,246
,025A037,11,4,79,0,1,12,1,12,4,0,0,0,14,0,56,55,63,0,0,0,0,54,1,0,367
,025A038,2,22,55,0,0,0,1,0,3,0,0,0,4,0,66,150,137,0,1,0,0,29,0,1,471
,025A039,0,0,30,0,1,83,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,342,458
,025A040,0,17,10,0,0,0,0,2,0,0,0,0,0,0,16,58,32,0,0,0,0,18,0,10,163
,025A041,3,0,22,0,6,46,1,3,1,1,0,0,0,1,16,38,90,0,0,0,0,6,0,20,254
,025A042,1,8,0,0,0,0,0,0,0,0,0,0,0,0,10,90,9,0,0,0,0,21,0,0,139
,025A043,0,8,27,0,0,0,0,3,0,1,4,0,0,0,68,74,133,0,0,0,0,16,1,1,336
,025A044,5,17,49,0,0,2,2,11,0,0,4,0,2,0,29,46,70,0,0,0,0,24,3,0,264
