,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HRVATSKI SAVEZ HKDU - HRAST,IMAMOVIĆ-ARIFOVIĆ AMELA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PRVA STRANKA,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SINANOVIĆ MERIMA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-BNS),SOCIJALISTIČKA PARTIJA,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,STRANKA ZA NAROD BOSNE I HERCEGOVINE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,037A001,7,1,1,55,0,0,0,0,3,1,0,0,30,80,105,0,0,0,0,0,11,2,0,4,300
,037A002,17,0,4,47,0,0,0,0,0,0,0,0,24,93,137,0,0,0,0,0,13,0,1,5,341
,037A003,8,2,4,94,0,0,0,0,3,0,0,0,27,98,175,0,0,0,0,2,21,0,0,1,435
,037A004,11,2,5,86,0,0,0,0,1,0,1,0,57,131,110,0,1,0,0,0,11,0,1,2,419
,037A005,17,0,6,42,0,0,0,0,7,1,0,0,57,109,141,0,0,0,0,0,13,1,0,1,395
,037A006,18,3,7,48,0,3,0,0,3,0,0,0,42,131,137,0,2,1,0,0,18,1,0,1,415
,039A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,039A001,25,2,10,70,0,0,0,0,2,5,0,0,58,86,39,0,0,0,0,0,11,1,0,5,314
,039A002,25,0,8,39,4,42,0,0,4,0,0,0,58,202,54,0,0,0,0,0,10,0,0,2,448
,039A003,18,3,27,61,0,4,0,1,2,0,0,0,60,115,86,0,0,0,0,0,27,1,1,5,411
,039A004A,13,1,2,28,0,0,0,0,0,0,1,0,74,102,14,0,0,0,0,3,4,0,0,8,250
,039A004B,9,0,2,8,0,0,0,0,0,2,6,0,41,113,28,0,0,2,0,0,22,0,0,36,269
,039A005A,22,0,17,22,0,0,0,0,2,0,0,0,23,137,35,0,0,0,0,0,33,2,0,8,301
,039A005B,15,0,12,22,0,0,0,0,0,0,0,0,38,164,3,0,0,0,0,0,13,0,0,13,280
,039A006,14,4,14,26,0,0,0,0,1,0,0,1,30,81,70,0,0,0,0,0,5,0,0,4,250
,039A007,17,0,8,75,8,30,0,0,1,1,0,0,51,67,129,0,1,2,0,0,8,3,1,4,406
,039A008,13,2,11,85,7,6,0,0,4,0,0,0,62,87,102,0,0,0,0,1,25,0,0,0,405
,039A009,11,1,5,52,1,34,0,0,2,2,0,0,34,62,55,0,0,0,0,1,8,2,0,5,275
,039A010A,22,0,12,42,0,2,0,0,4,0,1,0,55,132,61,0,0,0,0,0,62,0,0,4,397
,039A010B,21,0,3,56,0,0,0,1,6,0,0,0,23,102,63,0,0,0,0,0,44,1,0,2,322
,039A011,18,1,20,16,0,0,0,0,0,0,0,0,22,83,154,0,0,0,1,0,12,1,0,7,335
,039A012A,18,1,3,34,0,15,0,0,0,0,1,0,11,116,128,0,0,0,0,0,25,2,0,6,360
,039A012B,14,0,6,51,0,0,0,0,0,0,0,0,19,122,129,0,0,0,0,0,15,0,0,7,363
,039A013A,39,7,16,13,0,0,0,0,0,3,0,0,29,197,34,0,0,0,0,0,4,0,1,109,452
,039A013B,15,2,7,10,0,0,0,1,1,0,0,0,20,114,19,0,0,0,0,0,11,1,0,38,239
,039A014,15,0,9,143,0,0,0,0,1,0,1,0,38,100,112,0,1,1,0,0,6,0,0,0,427
,039A015,30,0,33,45,2,0,0,0,1,1,2,0,34,187,30,0,0,0,0,0,56,3,0,4,428
,039A016A,11,0,10,10,3,8,0,0,0,1,0,0,52,125,14,0,0,0,0,1,12,0,0,0,247
,039A016B,8,0,7,18,5,3,0,0,4,0,1,0,31,123,25,0,0,0,0,0,4,0,0,0,229
,039A017A,39,0,28,4,0,0,0,0,0,0,0,0,69,219,33,0,0,0,0,0,17,0,0,7,416
,039A017B,15,0,14,17,0,0,0,0,0,0,0,0,40,105,11,0,0,0,0,0,14,0,0,3,219
,039A018,23,0,19,47,1,0,0,0,1,1,0,0,37,146,22,0,1,0,0,1,14,2,0,13,328
,039A019A,23,1,12,23,0,0,0,0,6,0,1,0,43,122,36,0,0,0,0,0,18,2,1,4,292
,039A019B,19,4,16,54,0,0,0,0,2,1,0,0,35,118,43,0,0,0,0,0,8,1,0,0,301
,039A020,17,2,19,15,0,0,0,0,1,1,0,0,23,328,43,0,0,2,0,0,44,1,0,9,505
,039A021A,2,0,5,14,0,9,0,0,10,0,0,0,30,143,234,0,0,0,0,0,46,0,0,1,494
,039A021B,18,0,9,21,2,15,0,0,1,0,0,0,30,130,109,0,0,1,0,0,31,0,0,0,367
,039A022A,26,6,38,43,0,1,0,0,2,2,1,0,46,160,35,0,2,1,0,3,23,1,0,8,398
,039A022B,19,1,29,20,0,0,0,0,0,1,0,0,14,68,18,0,0,0,0,1,6,1,0,1,179
,039A022C,35,0,49,36,1,3,0,0,0,3,2,0,61,107,28,0,1,0,0,2,19,3,1,7,358
,039A022D,7,0,8,6,0,1,0,0,0,0,1,0,19,21,12,0,0,0,0,0,7,0,0,7,89
,039A023,11,3,11,37,3,16,0,0,6,0,0,0,45,78,66,1,0,0,1,1,4,0,0,3,286
,039A024A,40,0,54,58,0,0,0,0,2,0,0,0,18,162,59,0,0,0,0,0,207,5,1,11,617
,039A024B,15,0,30,24,0,0,0,0,2,1,1,0,8,59,47,0,0,0,0,0,75,1,1,7,271
,039A024C,8,0,42,22,0,0,0,0,0,0,0,0,18,50,24,0,0,0,0,0,54,3,0,8,229
,039A025,18,20,16,92,0,1,0,2,2,3,1,0,88,113,102,0,0,0,1,4,14,5,0,2,484
,039A026,9,23,19,86,1,3,0,0,3,8,0,0,85,115,122,0,3,0,0,10,20,1,0,9,517
,039A027,16,5,30,67,0,1,0,0,0,0,0,0,66,86,81,0,0,0,0,3,27,2,0,4,388
,039A028A,6,6,21,59,0,0,0,1,0,6,1,0,37,64,60,0,0,1,0,4,15,1,0,2,284
,039A028B,4,6,8,43,1,4,0,0,1,1,0,0,30,43,44,0,1,0,0,0,11,1,0,1,199
,039A029,16,7,22,68,0,0,0,0,2,3,2,0,50,108,65,0,0,1,0,0,23,7,1,4,379
,039A030,9,3,8,43,0,0,0,0,0,0,0,1,27,62,59,0,0,0,0,0,15,0,0,9,236
,039A031A,21,0,59,14,0,0,0,0,0,0,0,0,30,130,30,0,0,0,0,1,28,5,0,9,327
,039A031B,21,1,22,20,0,1,0,0,0,0,1,0,23,142,49,0,0,0,0,0,41,3,0,7,331
,039A032A,10,0,17,43,0,2,0,0,0,0,0,0,52,116,105,0,0,0,0,0,6,0,1,4,356
,039A032B,6,1,6,26,0,1,0,0,5,0,1,0,33,63,62,0,0,0,0,0,3,0,0,3,210
,039A033,9,0,13,52,2,14,1,0,5,0,0,0,32,101,92,0,0,0,0,2,13,4,0,9,349
,039A034,10,1,66,36,1,0,0,0,2,0,0,0,22,85,18,0,0,2,0,0,5,1,0,8,257
,039A035,10,1,14,15,0,3,0,0,1,0,0,0,19,44,32,0,0,0,0,0,38,0,0,2,179
,039A036,13,17,28,73,0,2,0,0,0,6,0,0,74,104,78,0,1,2,0,1,19,0,1,21,440
,039A037,26,3,7,64,4,4,0,0,4,3,0,0,35,103,163,0,0,0,0,0,17,0,1,2,436
,039A038,11,0,3,8,0,0,0,0,0,0,0,0,6,157,27,0,0,0,0,0,23,0,0,0,235
,042A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,042A001,13,0,18,91,0,0,0,0,6,2,1,1,80,88,78,0,1,1,0,0,15,1,0,9,405
,042A002,7,0,7,81,2,9,0,0,7,8,5,0,68,98,106,0,0,1,0,1,14,7,0,6,427
,042A003A,8,0,3,63,0,2,0,1,7,2,0,0,44,67,52,0,0,0,0,0,22,3,0,7,281
,042A003B,3,0,13,56,1,3,0,0,5,4,3,1,41,55,60,0,0,0,1,0,16,1,0,1,264
,042A004,13,0,7,54,1,3,0,0,7,0,5,1,86,59,68,0,1,0,0,4,6,2,0,6,323
,042A005,22,1,9,60,0,0,0,0,2,1,1,0,41,132,62,0,0,0,0,1,7,1,0,0,340
,042A006,26,0,12,57,0,0,0,0,7,0,10,0,65,184,46,0,0,0,0,1,14,0,0,1,423
,042A007,7,2,0,0,3,60,0,0,0,0,0,0,12,44,21,0,0,1,0,0,2,1,2,0,155
,042A008,7,1,7,55,1,3,1,0,4,1,3,0,76,65,82,0,0,0,0,1,14,4,0,7,332
,042A009,32,0,8,35,0,0,0,0,10,1,0,0,40,95,65,0,0,0,0,0,11,2,2,6,307
,042A010A,23,0,2,46,0,6,0,0,1,0,3,0,63,83,39,0,0,1,1,1,22,0,0,3,294
,042A010B,8,0,5,40,1,6,0,0,0,0,3,0,45,58,34,0,0,0,0,2,6,0,0,4,212
,042A011,13,2,20,50,0,0,0,0,2,1,12,1,41,49,37,0,0,0,0,1,10,0,0,6,245
,042A012,14,1,18,40,1,0,0,0,0,0,7,0,88,44,37,0,0,0,0,1,5,1,0,2,259
,042A013A,24,0,13,41,0,0,0,1,4,0,0,0,36,103,45,0,0,0,0,0,7,1,0,8,283
,042A013B,24,0,8,33,0,0,0,0,0,0,1,0,30,76,32,0,0,0,0,1,6,2,0,8,221
,042A014,17,0,2,17,0,0,0,0,3,0,0,1,17,162,19,0,0,1,0,0,10,1,0,0,250
,042A015A,17,0,7,27,0,0,0,0,1,1,0,0,33,93,62,0,0,0,0,0,2,4,1,1,249
,042A015B,21,2,4,41,0,0,0,0,3,0,0,0,38,96,60,0,0,0,0,0,15,4,0,5,289
,042A016,19,1,9,33,0,13,0,0,2,0,0,0,36,155,48,0,0,0,0,0,3,1,0,1,321
,042A017,0,0,0,3,0,192,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,209
,042A018,9,1,6,24,0,0,0,0,0,0,0,0,10,173,35,0,2,0,0,1,5,0,0,0,266
,042A019,15,0,3,16,0,3,0,0,2,0,3,0,91,149,30,0,0,0,0,1,6,0,0,0,319
