,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,LIBERALNA STRANKA - LS BIH,NARODNA STRANKA RADOM ZA BOLJITAK,NARODNI DEMOKRATSKI POKRET,NOVI POKRET BIH,POSAVSKA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-BNS),STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOLJE GORAŽDE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,143A001,106,0,2,4,13,2,0,1,1,3,18,229,29,0,41,2,7,0,0,458
,165A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,165A001,0,0,5,16,3,8,0,16,0,4,117,142,48,1,34,91,17,0,19,521
,165A002,6,1,16,6,17,28,0,38,0,2,63,146,45,0,6,43,12,5,27,461
,165A003,0,0,0,5,0,0,0,19,0,2,5,9,1,0,0,67,0,0,2,110
,167A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,167A001,15,1,39,46,18,10,0,31,0,0,95,86,81,0,23,29,47,4,4,529
,167A002,19,0,28,31,10,7,1,12,0,8,71,79,64,1,22,21,38,6,2,420
,167A003,7,0,39,31,22,12,0,17,0,9,82,73,27,1,20,19,45,1,14,419
,167A004,12,1,23,50,11,7,0,21,0,1,78,88,42,0,16,21,39,4,3,417
,167A005,6,0,40,34,10,12,0,15,0,5,89,90,36,0,14,13,24,4,2,394
,167A006,16,0,28,47,10,5,0,26,0,0,96,81,51,0,18,21,25,1,2,427
,167A007,20,0,12,28,20,17,0,17,0,3,57,105,17,0,17,31,34,1,0,379
,167A008,22,0,27,37,24,4,0,26,0,4,86,107,29,0,11,20,45,3,0,445
,167A009,22,0,31,22,28,2,0,18,0,2,62,135,19,2,13,25,70,3,0,454
,167A010,7,0,7,32,10,5,0,16,0,2,92,55,29,2,12,15,67,13,2,366
,167A011,18,1,15,26,25,11,0,19,0,3,89,90,55,0,22,25,41,9,0,449
,167A012,14,1,36,26,54,5,0,10,0,23,80,96,27,0,17,24,29,2,1,445
,167A013,34,0,14,47,23,9,0,27,0,4,99,83,65,2,12,15,53,3,7,497
,167A014,7,1,31,33,27,17,0,24,0,0,79,65,37,0,25,45,34,2,12,439
,167A015,33,0,48,49,9,7,0,30,0,0,117,83,43,0,36,17,63,2,0,537
,167A016,10,0,19,49,12,5,0,22,0,0,112,80,52,0,24,44,31,7,10,477
,167A017,28,0,18,26,7,1,0,23,0,0,81,76,16,0,13,22,21,0,3,335
,167A018,6,0,2,10,5,14,0,6,0,2,13,29,4,0,2,2,10,0,0,105
,167A019,6,1,43,19,38,5,0,17,0,0,85,97,26,0,32,14,23,5,4,415
,167A020,8,0,36,18,32,2,0,10,0,1,48,85,21,1,19,17,26,1,0,325
,167A021,12,0,28,31,15,18,0,27,0,1,83,74,21,0,25,16,32,0,1,384
,167A022,14,0,6,22,24,2,0,30,0,0,40,113,27,0,66,41,39,0,2,426
,167A023,2,0,24,22,6,15,0,14,0,0,39,170,9,1,17,64,33,0,0,416
,167A024,10,0,21,7,5,7,0,93,3,0,114,49,22,0,6,5,17,0,0,359
,167A025,3,0,0,0,2,1,0,30,0,0,77,47,11,0,5,5,19,0,0,200
,167A026,19,0,26,49,26,9,0,38,0,3,102,75,78,1,10,18,47,1,0,502
,167A027,11,1,35,35,14,12,0,19,0,4,91,88,75,0,13,14,38,5,0,455
,167A028,10,0,17,7,13,16,0,12,0,0,57,83,39,0,32,33,67,1,0,387
,167A029,4,1,48,28,40,17,0,43,0,0,67,93,11,0,9,6,59,4,1,431
,167A030,8,0,43,5,11,18,0,15,0,0,54,15,5,0,23,33,20,1,1,252
,167A031,7,0,11,13,6,5,0,22,0,0,43,55,14,0,10,15,26,2,1,230
