,BM,ALEKSIĆ MARKO,AZINOVIĆ DAMIR,BOSANSKOHERCEGOVAČKA NARODNA STRANKA - BNS,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HRS-HRVATSKA REPUBLIKANSKA STRANKA,HRVATSKI SAVEZ HKDU - HRAST,HSP BIH-DSI,HSP DR. ANTE STARČEVIĆ BIH,HSS STJEPANA RADIĆA,KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NARODNI DEMOKRATSKI POKRET,POSAVSKA STRANKA,PROLETA VJEKOSLAV,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,125A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,125A001,0,0,0,0,7,8,95,124,1,2,19,1,0,0,4,0,0,0,0,0,22,69,18,0,0,5,1,0,376
,125A002,0,0,0,0,1,0,172,169,0,2,20,0,0,0,15,0,0,0,0,0,1,21,4,0,0,1,0,1,407
,125A003,0,0,0,0,25,18,47,51,0,1,3,0,0,0,3,0,0,0,0,0,35,111,32,0,0,18,0,1,345
,125A004,0,0,0,0,2,0,64,46,1,1,13,1,0,0,0,0,0,0,0,0,13,31,7,0,1,1,2,0,183
,125A005,0,0,0,0,3,0,28,20,0,0,4,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,74
,125A006,0,0,0,0,2,0,90,126,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,237
,125A007,0,0,0,0,0,0,10,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
,125A008,0,0,0,0,0,2,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,27
,125A009,0,0,0,0,0,0,178,163,0,1,15,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,362
,125A010,0,0,0,0,10,2,6,24,0,0,3,3,0,0,0,0,0,0,0,0,17,87,14,0,0,1,0,0,167
,125A011,0,0,0,0,1,0,127,151,0,0,8,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,299
,125A012,0,0,0,0,0,0,47,40,0,0,7,1,0,0,0,0,0,0,0,0,12,30,1,0,0,1,0,0,139
,125A013,0,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,78,0,0,0,10,0,0,107
,125A014,0,0,0,0,15,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,4,63,4,0,0,13,1,1,107
,125A015,0,0,0,0,0,0,36,102,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,160
,125A016,0,0,0,0,3,0,19,46,0,0,16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,91
,125A017A,0,0,0,0,0,0,118,121,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313
,125A017B,0,0,0,0,0,0,135,150,0,0,9,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,297
,125A018,0,0,0,0,1,0,96,106,0,0,10,0,0,0,0,0,0,0,0,0,0,10,2,0,0,9,0,0,234
,125A019,0,0,0,0,0,1,93,143,1,0,18,1,0,0,2,0,0,0,0,0,0,8,1,0,0,0,1,0,269
,125A020,0,0,0,0,3,0,153,127,0,0,7,0,2,0,1,0,0,0,0,0,1,18,1,0,0,1,0,0,314
,125A021,0,0,0,0,0,0,128,121,3,1,8,0,1,0,3,0,0,0,0,0,0,15,4,0,0,0,0,0,284
,125A022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1,0,0,4,0,0,25
