,BM,BOSANSKOHERCEGOVAČKA NARODNA STRANKA - BNS,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HRS-HRVATSKA REPUBLIKANSKA STRANKA,HRVATSKA NEZAVISNA LISTA - HNL,HRVATSKI SAVEZ HKDU - HRAST,HSP BIH-DSI,HSP DR. ANTE STARČEVIĆ BIH,HSS STJEPANA RADIĆA,NARODNA STRANKA RADOM ZA BOLJITAK,POSAVSKA STRANKA,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,148A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,148A001,0,51,229,5,2,7,26,11,0,14,0,5,10,360
,148A002,0,31,214,10,3,13,25,9,0,14,0,4,25,348
,148A003,0,54,186,7,4,9,32,3,2,12,0,11,19,339
,148A004,3,55,204,1,2,7,36,8,0,18,0,5,17,356
,148A005,0,60,232,13,0,21,69,5,4,5,0,0,9,418
,148A006A,0,35,185,12,0,7,24,10,0,8,0,1,6,288
,148A006B,0,18,150,1,0,5,11,6,0,1,0,2,5,199
,148A007,0,24,91,1,2,12,10,1,0,3,0,0,0,144
,148A008,0,64,245,3,0,14,64,8,0,3,0,0,9,410
,148A009,0,67,130,7,0,3,20,3,1,7,0,0,0,238
,148A010,0,32,208,2,0,16,71,7,0,16,0,4,16,372
,148A011,0,39,193,1,0,10,24,5,1,2,0,13,5,293
,148A012,0,98,172,4,0,4,38,7,0,15,4,0,9,351
,148A013,0,12,27,0,0,0,7,6,0,0,0,1,1,54
,148A014,0,41,119,0,0,1,46,5,0,7,1,5,18,243
,148A015,0,45,59,1,1,1,30,0,0,1,0,1,7,146
,148A016,0,16,107,5,0,1,40,2,0,2,0,0,1,174
,148A017,0,15,173,1,0,2,48,3,0,18,0,0,1,261
,148A018,0,61,177,1,2,2,36,7,0,6,0,0,7,299
,148A019,0,113,106,0,0,2,21,3,1,17,0,1,5,269
,148A020,0,32,117,2,0,12,56,15,0,7,1,1,13,256
,149A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,149A001,0,50,167,3,0,6,34,6,0,30,0,18,0,314
,149A002,0,52,279,0,5,12,24,6,0,34,0,8,1,421
,149A003,0,100,253,6,2,9,13,8,0,19,0,12,0,422
,149A004,0,16,51,0,0,0,0,8,0,35,0,6,0,116
,149A005,0,115,136,0,0,2,2,2,1,2,0,13,2,275
,149A006,0,45,105,3,0,24,9,0,0,6,0,20,1,213
,149A007,0,156,148,2,3,16,5,10,0,19,0,16,1,376
,149A008,0,56,176,2,1,8,18,12,0,3,0,11,1,288
,149A009,0,48,191,6,3,6,27,20,0,1,0,14,1,317
,149A010,0,51,241,8,0,1,18,1,1,16,0,44,6,387
,149A011,0,30,134,6,1,0,55,8,0,13,0,39,0,286
,149A012,0,42,369,10,2,7,18,14,1,49,0,11,3,526
