,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HSS STJEPANA RADIĆA,KAMENČIĆ AIDA,KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,LAVIĆ HARIS,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,POSAVSKA STRANKA,PRELJEVIĆ NEDIM,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SELJAČKA STRANKA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-SNAGA BOSNE-BNS),SOCIJAL DEMOKRATSKI FRONT BOSNE I HERCEGOVINE,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA PRAVDE I RAZVOJA BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,STRANKA ZA EVROPSKO SARAJEVO-SES,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,118A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,118A001,4,19,77,2,17,0,0,0,0,0,3,10,2,0,0,0,1,82,106,70,0,0,1,0,1,0,0,7,15,18,435
,118A002,3,29,76,1,6,0,0,1,0,0,5,6,3,0,0,0,2,59,144,52,2,0,4,1,1,0,1,5,12,13,426
,118A003,14,29,61,2,1,0,1,6,0,0,6,6,5,0,0,0,0,79,143,60,0,0,7,0,1,0,2,9,11,14,457
,118A004,10,8,51,0,3,0,0,0,0,0,3,2,0,0,0,0,1,48,63,31,0,0,3,2,0,0,1,5,9,5,245
,118A005A,14,19,68,0,2,0,1,1,0,0,9,3,2,0,0,0,0,65,84,43,0,0,19,1,1,0,0,5,17,3,357
,118A005B,8,10,51,0,3,0,0,2,0,0,7,4,1,0,0,0,0,43,63,42,0,0,2,2,0,0,1,7,20,4,270
,118A006,5,15,44,0,1,0,0,2,0,0,15,7,2,0,0,0,1,57,84,37,0,0,3,3,1,0,0,4,6,4,291
,118A007,17,29,56,1,0,0,0,0,0,0,14,2,9,0,1,0,0,98,175,56,0,0,3,1,2,0,11,9,14,12,510
,118A008,12,44,44,0,0,0,0,0,0,0,3,0,0,0,0,0,1,58,148,19,0,0,14,2,0,0,3,2,3,3,356
,118A009,13,22,37,2,1,0,0,3,0,0,21,1,8,0,0,0,0,49,186,20,0,0,8,0,1,1,4,0,3,0,380
,118A010,11,11,38,0,3,0,0,2,0,0,27,1,5,0,0,2,0,48,122,42,0,0,13,2,0,0,1,2,10,2,342
,118A011,7,8,35,0,8,0,0,0,1,0,5,0,1,0,0,1,1,60,65,19,0,0,8,0,1,0,2,2,3,4,231
,118A012A,4,26,38,0,0,1,0,1,0,0,6,16,7,0,0,0,0,74,173,49,0,1,2,2,0,0,6,5,2,0,413
,118A012B,3,12,30,1,6,0,0,0,0,0,1,26,5,0,0,0,0,67,115,33,0,0,1,1,4,1,0,5,0,3,314
,118A013,2,15,23,0,0,0,1,0,0,0,12,0,4,0,1,0,0,85,182,9,0,0,7,3,0,0,3,2,11,0,360
,118A014A,14,12,24,0,0,0,0,0,0,0,11,1,0,0,0,0,0,52,92,35,1,0,5,2,0,0,1,2,9,4,265
,118A014B,16,14,25,0,0,0,0,1,0,0,3,0,4,0,0,0,0,49,98,38,0,0,3,1,0,0,3,0,5,4,264
,118A015,2,8,18,0,0,0,0,0,0,0,1,1,0,0,0,0,0,25,63,48,0,0,0,0,1,0,0,2,0,0,169
,118A016,2,8,31,0,0,0,0,1,0,0,7,5,0,0,0,0,3,52,166,53,0,0,0,1,0,1,2,5,6,3,346
,118A017,0,12,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,22,38,98,0,0,0,1,0,0,0,0,0,0,178
,118A018,17,15,17,0,0,0,2,0,0,0,1,4,0,0,0,0,0,46,112,17,0,0,0,0,0,0,5,1,3,5,245
,118A019,3,23,33,0,0,0,0,0,0,0,4,4,5,0,0,1,0,64,158,17,0,0,2,0,3,0,3,1,11,9,341
,118A020,12,11,48,0,0,0,0,2,0,0,4,5,0,0,0,0,0,86,216,28,0,0,5,1,1,1,0,1,4,7,432
,118A021,1,6,14,2,10,0,0,0,0,0,1,2,0,0,0,0,0,28,36,28,0,0,2,1,0,0,1,1,2,3,138
,118A022,4,21,61,0,1,0,0,1,0,0,2,4,4,0,0,0,2,47,129,69,0,0,0,1,0,0,7,1,10,3,367
,118A023,0,9,7,0,0,0,0,0,0,0,0,1,2,0,0,0,4,24,37,7,0,0,0,0,0,0,0,3,2,9,105
,118A024,6,17,32,0,0,1,0,1,1,0,9,1,0,0,0,0,0,45,254,23,0,0,1,0,0,0,8,7,8,1,415
,118A025,4,18,12,0,1,0,0,1,0,0,0,0,14,0,0,1,1,30,111,19,0,1,0,2,1,0,2,0,20,0,238
,118A026,3,12,8,0,1,0,1,0,0,0,2,0,1,0,1,0,0,14,113,5,0,0,0,0,0,0,2,0,11,0,174
,118A027,5,15,45,2,6,0,0,2,1,0,2,3,0,0,0,0,1,61,37,39,0,0,4,0,0,0,5,5,3,9,245
