,BM,BOSANSKOHERCEGOVAČKA NARODNA STRANKA - BNS,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,DNS-DEMOKRATSKI NARODNI SAVEZ,DOS DEMOKRATSKA OBITELJSKA STRANKA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HRVATSKA NEZAVISNA LISTA - HNL,HSP DR. ANTE STARČEVIĆ BIH,NARODNA STRANKA RADOM ZA BOLJITAK,POSAVSKA STRANKA,PRAVAŠKO SELJAČKI SAVEZ (HSP BIH-HSS STJEPANA RADIĆA),SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SLOŽNA NARODNA STRANKA,SOCIJALISTIČKA PARTIJA,STRANKA ZA BOSNU I HERCEGOVINU,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,057A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,057A001,0,0,0,59,0,21,12,0,0,14,0,5,255,0,0,1,28,40,0,0,435
,057A002,8,0,0,47,2,43,13,0,1,8,0,1,161,2,0,6,31,27,0,2,352
,057A003,1,0,0,34,0,21,2,0,0,12,0,0,86,0,0,0,17,36,0,0,209
,057A004,0,1,0,30,0,63,31,1,1,15,0,2,176,0,0,1,26,31,0,2,380
,057A005,0,0,0,71,0,21,4,0,0,9,0,0,135,1,0,7,41,37,0,1,327
,057A006,0,0,0,60,0,11,20,0,0,4,0,0,120,1,0,4,7,21,0,0,248
,057A007,0,0,0,9,0,0,0,0,0,4,0,0,179,0,0,0,1,3,0,1,197
,057A008,0,0,1,34,0,0,0,0,0,0,0,0,124,0,0,1,9,2,0,0,171
,057A009,0,0,0,9,0,1,0,0,0,1,0,4,75,0,0,0,6,10,0,1,107
,057A010,0,0,0,50,0,7,0,1,1,7,0,0,280,0,1,3,19,32,0,0,401
,057A011,0,0,0,69,0,4,1,0,1,5,0,0,160,0,0,0,24,34,0,1,299
,057A012,0,0,0,4,0,0,0,0,0,2,0,0,9,0,0,1,0,2,0,0,18
,057A013,0,0,0,60,0,15,1,0,0,2,0,0,181,0,0,0,17,80,0,2,358
,057A014,0,0,0,14,0,0,0,0,0,0,0,0,42,0,0,0,2,7,0,0,65
,057A015,0,0,0,17,1,0,0,1,0,2,0,0,44,0,0,2,2,8,0,0,77
,057A016,0,0,1,0,0,1,1,0,0,1,0,0,26,0,0,1,2,1,0,0,34
,084A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,084A001,0,2,0,5,0,5,19,0,0,14,0,0,113,0,0,36,5,12,0,1,212
,084A002,0,0,0,12,0,0,2,0,0,10,0,2,62,2,0,4,10,2,0,0,106
,084A003,0,1,0,3,0,0,0,3,0,22,0,23,87,0,0,9,6,0,0,1,155
,084A004,0,0,0,0,0,1,0,0,0,10,0,2,32,1,0,17,1,2,0,1,67
,084A005,1,0,0,9,0,11,52,1,0,26,0,1,85,0,2,39,6,11,1,0,245
,084A006,0,0,0,0,0,0,98,0,0,3,0,0,0,0,0,0,0,0,0,0,101
,085A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,085A001,0,2,0,3,0,46,123,1,3,25,0,31,102,3,73,7,4,13,0,17,453
,085A002,0,0,0,4,1,21,116,2,0,26,0,17,133,3,58,19,13,19,0,19,451
,085A003,0,1,0,3,0,8,38,0,0,5,0,4,35,0,52,15,0,2,0,9,172
,085A004,0,0,0,1,0,1,4,0,0,5,0,5,113,0,31,0,5,3,0,11,179
,085A005,0,1,0,6,0,0,0,0,0,1,0,0,59,0,0,1,6,11,0,3,88
,085A006,0,0,0,5,0,0,1,0,0,1,0,0,47,0,0,0,1,0,0,2,57
,085A007,0,0,0,4,0,0,0,0,0,0,0,1,18,0,0,0,18,0,0,0,41
,085A008,0,0,0,0,0,0,0,0,0,4,0,0,27,0,0,0,0,0,0,0,31
,085A009,0,1,0,2,0,4,38,0,0,14,0,4,128,2,96,47,3,20,2,17,378
,106A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,106A001A,0,6,0,0,0,81,101,1,4,46,0,11,0,4,2,1,0,0,0,0,257
,106A001B,0,2,0,0,0,96,118,13,0,32,0,21,0,0,0,3,0,0,0,0,285
,106A002A,0,5,0,0,0,42,115,4,2,23,0,29,0,1,3,7,0,0,0,5,236
,106A002B,1,12,0,0,1,52,126,5,2,26,0,42,0,2,4,6,0,0,0,0,279
,106A003,2,14,0,0,0,24,23,1,0,19,0,5,1,8,38,24,1,0,2,1,163
,106A004,1,19,0,0,1,90,105,9,2,60,0,29,0,6,19,19,0,0,0,2,362
,106A005,1,17,0,0,0,59,172,21,2,65,0,19,2,7,50,20,0,1,4,0,440
,106A006,0,38,0,0,1,11,6,1,0,17,0,2,1,24,271,52,0,0,3,0,427
,106A007,0,26,0,1,0,92,90,5,0,41,0,20,4,31,63,24,0,0,0,2,399
,106A008,0,22,0,0,2,82,92,8,3,53,0,11,1,9,33,29,0,3,1,0,349
,106A009,0,1,0,0,0,92,125,30,19,1,0,8,0,8,150,14,0,0,0,1,449
,106A010,0,1,0,0,0,242,200,50,1,21,0,15,0,0,0,3,0,0,0,0,533
,106A011,0,2,0,0,0,186,209,81,7,27,0,7,0,6,35,3,0,0,0,0,563
,106A012,0,0,1,0,0,34,209,12,9,33,0,8,0,0,0,2,0,0,0,0,308
