,BM,BORCI ZA NOVU POLITIKU,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",NARODNI DEMOKRATSKI POKRET,PARTIJA EKONOMSKE I SOCIJALNE PRAVDE,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SLOŽNA NARODNA STRANKA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,006B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,006B001,0,28,0,0,0,12,0,7,72,0,0,0,3,124,2,0,0,248
,006B002,0,40,0,0,0,7,0,3,41,0,0,0,1,93,0,0,0,185
,006B003,0,119,1,0,0,18,0,11,98,2,2,0,0,70,2,2,0,325
,006B004,0,47,0,0,0,0,0,8,37,0,0,1,0,24,0,0,0,117
,007B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,007B001,0,37,8,0,1,58,0,20,154,1,0,0,10,88,1,3,0,381
,007B002,1,25,17,0,0,44,0,23,135,9,0,1,10,60,0,4,2,331
,007B003,0,37,25,0,0,78,0,38,121,10,0,0,18,97,0,2,1,427
,007B004,0,6,97,0,0,25,0,18,51,10,1,1,4,45,1,0,1,260
,007B005,2,24,71,0,0,36,0,26,110,17,1,0,14,67,2,2,2,374
,007B006,1,41,77,0,0,22,0,16,104,21,0,0,14,69,2,2,2,371
,007B007,0,65,5,0,0,90,0,27,236,0,1,0,20,110,5,2,0,561
,007B008,1,100,16,0,0,61,0,18,193,1,0,0,29,115,3,1,0,538
,007B009,0,45,0,0,0,43,0,42,313,0,0,0,28,165,2,0,0,638
,007B010,0,12,0,0,0,1,0,0,27,0,0,0,15,2,0,0,0,57
,007B011,0,34,0,0,0,93,0,6,140,0,2,0,13,96,0,0,0,384
,007B012,0,16,10,1,0,35,0,12,180,9,0,0,5,88,2,0,0,358
,007B013,0,0,347,0,0,19,0,25,0,129,2,0,0,21,0,0,0,543
,007B014,0,44,37,0,0,10,0,14,61,12,0,0,9,76,0,1,1,265
,007B015,0,40,0,0,0,36,0,129,289,0,0,0,20,153,2,0,1,670
,007B016,0,12,0,0,0,4,0,12,55,0,0,0,4,17,0,0,0,104
,007B017,0,13,0,0,0,8,0,2,69,0,0,0,22,37,0,0,0,151
,007B018,0,17,0,0,0,16,0,0,55,0,0,0,0,17,0,0,0,105
,007B019,0,22,0,0,0,17,0,9,65,0,0,0,9,33,0,0,0,155
,007B020,0,43,0,0,0,19,0,23,107,0,0,0,5,63,0,0,0,260
,007B021,0,24,0,0,0,16,0,3,138,0,0,0,6,95,0,0,0,282
,007B022,0,33,0,0,0,16,0,11,97,0,0,0,1,30,0,1,0,189
,007B023,0,42,0,0,0,101,0,30,191,0,0,0,11,121,0,0,0,496
,007B024A,0,72,0,0,0,110,0,13,160,0,0,0,25,98,0,0,0,478
,007B024B,0,24,0,0,0,80,0,10,154,1,0,0,5,82,1,0,0,357
,007B025,0,26,7,0,0,12,0,6,65,0,0,1,7,24,0,1,0,149
