,BM,BORCI ZA NOVU POLITIKU,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",NARODNI DEMOKRATSKI POKRET,PARTIJA EKONOMSKE I SOCIJALNE PRAVDE,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,Ukupno
,010B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,010B001,0,2,199,0,0,0,0,6,12,0,2,0,3,0,0,0,224
,010B002,0,9,0,0,0,2,0,30,98,0,0,0,53,3,2,0,197
,010B003,0,22,2,0,0,4,0,17,96,0,4,6,129,2,0,1,283
,010B004,0,22,0,0,0,7,0,42,238,0,10,4,108,3,4,0,438
,010B005,1,128,0,0,0,1,1,56,189,0,0,4,72,3,2,1,458
,010B006,0,0,194,0,0,0,0,0,6,10,0,0,0,0,0,0,210
,010B007,2,53,0,0,0,0,0,48,271,0,2,1,155,2,8,0,542
,010B008,0,15,0,0,0,0,0,190,55,0,0,0,52,0,0,0,312
,010B009,0,28,0,0,0,0,0,25,40,0,2,0,49,0,0,0,144
,010B010,0,24,0,0,0,5,0,33,53,0,0,2,25,0,1,0,143
,010B011,0,45,0,0,0,1,0,82,78,2,0,1,34,1,0,1,245
,010B012,0,66,0,0,0,1,0,33,170,0,0,2,61,27,1,0,361
,010B013,0,5,0,0,0,10,0,0,31,0,1,0,54,1,0,0,102
,010B014,1,45,0,0,4,1,0,25,198,0,2,1,235,3,1,0,516
,010B015,2,25,14,0,1,8,0,26,105,15,4,9,95,8,7,6,325
,010B016,0,2,0,0,0,0,0,16,48,0,0,0,71,1,0,0,138
,010B017,1,29,2,0,0,1,0,47,64,0,1,4,88,1,0,1,239
,010B018,1,6,1,1,0,23,0,5,180,0,0,1,56,2,6,2,284
,010B019,1,3,0,0,0,1,0,3,68,0,0,1,69,2,1,0,149
,010B020,0,14,0,0,0,0,0,2,74,0,0,0,50,0,0,0,140
,010B021,0,9,0,0,0,2,0,7,102,0,0,0,42,1,0,0,163
,010B022,4,0,0,0,1,0,0,0,59,0,0,0,49,0,0,0,113
,010B023,1,12,0,0,0,3,1,37,326,0,1,17,145,3,2,2,550
,010B024,0,7,0,0,1,0,0,6,60,0,2,0,49,0,0,0,125
,010B025,0,32,1,0,0,3,1,18,185,0,2,4,102,4,3,0,355
,010B026,5,86,1,1,0,4,0,37,207,0,1,3,187,0,0,3,535
,010B027,0,92,0,0,0,2,0,4,126,0,2,3,51,1,0,0,281
,010B028,0,10,0,0,0,1,1,1,116,0,0,1,35,0,1,6,172
,010B029,0,28,0,0,0,5,0,11,135,0,0,3,99,1,4,0,286
,010B030,1,6,0,0,0,17,0,37,171,1,1,15,98,2,3,3,355
,010B031,0,5,2,0,0,4,2,102,95,0,0,5,85,0,0,0,300
,010B032,0,4,0,0,0,4,0,20,111,0,0,0,63,0,3,0,205
,010B033,1,13,0,0,0,10,0,36,97,3,2,33,103,1,0,0,299
,010B034,0,9,0,1,0,25,1,20,142,2,0,9,85,2,1,1,298
,010B035,0,18,0,0,0,10,0,23,212,1,0,17,82,2,1,2,368
,010B036,0,1,14,0,0,0,0,3,5,22,0,0,8,0,1,0,54
,010B037,0,11,1,0,0,5,0,9,66,0,1,2,53,0,2,1,151
,010B038,1,15,0,0,0,0,6,53,141,0,0,4,96,4,0,0,320
