,BM,BORCI ZA NOVU POLITIKU,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PARTIJA EKONOMSKE I SOCIJALNE PRAVDE,PDP- PARTIJA DEMOKRATSKOG PROGRESA,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SLOŽNA NARODNA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,031B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,031B001,0,50,0,0,0,1,3,0,1,0,107,1,0,0,1,13,26,0,1,0,1,0,205
,031B002,1,99,1,0,0,1,7,1,0,0,129,1,0,3,1,11,24,1,3,0,0,0,283
,034B000,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,6
,034B001,0,62,0,0,0,0,5,3,28,0,133,0,0,0,0,3,40,1,3,0,0,0,278
,034B002,2,14,4,0,0,1,23,0,21,0,171,0,0,0,2,29,76,27,10,0,8,0,388
,034B003,0,19,3,0,0,2,21,4,51,2,189,3,2,0,4,13,111,9,9,0,14,0,456
,034B004,0,28,1,0,2,4,37,3,37,0,236,0,2,0,2,25,102,9,11,0,21,1,521
,034B005,0,41,3,0,1,1,22,1,16,0,94,1,0,0,0,16,40,14,11,0,15,1,277
,034B006,0,22,0,0,0,1,22,2,46,1,141,3,0,2,1,11,91,12,14,0,8,4,381
,034B007,4,19,1,0,0,2,36,0,44,0,179,2,0,0,0,29,108,9,12,0,10,0,455
,034B008A,0,46,1,0,0,0,9,0,19,0,119,0,0,0,0,14,62,3,3,0,3,0,279
,034B008B,0,36,0,0,0,1,7,0,19,0,123,0,1,0,1,18,58,1,1,0,6,0,272
,034B009,3,14,3,1,2,4,21,4,22,0,140,6,1,1,4,18,67,7,8,0,7,0,333
,034B010,3,22,4,0,2,3,16,1,21,0,147,1,1,0,6,14,98,10,9,0,11,2,371
,034B011,7,18,3,1,2,2,16,2,25,0,140,1,1,2,2,31,66,7,17,0,6,1,350
,034B012,6,18,6,0,2,8,44,11,16,0,136,1,1,1,1,23,77,5,9,0,12,1,378
,034B013,2,25,4,0,3,4,41,0,31,0,145,6,4,0,5,24,73,10,15,0,19,0,411
,034B014,1,16,7,0,6,4,24,3,28,3,166,0,1,0,3,23,65,5,13,0,8,0,376
,034B015,4,25,7,0,0,4,16,2,42,0,118,2,1,0,5,19,78,8,9,1,19,0,360
,034B016,3,20,2,0,1,4,42,0,30,1,183,1,2,3,2,26,90,13,12,0,15,2,452
,034B017,5,20,7,1,0,2,20,1,34,0,143,1,2,1,1,35,93,13,7,0,19,1,406
,034B018,0,19,1,0,2,6,30,3,27,0,145,1,2,0,2,27,76,16,15,0,19,1,392
,034B019,0,21,4,0,2,7,31,1,30,0,141,2,1,0,0,19,58,11,19,0,19,1,367
,034B020,1,22,3,1,2,4,20,1,29,0,163,2,1,0,1,7,71,4,10,0,16,4,362
,034B021,2,30,6,0,1,3,31,1,39,0,139,2,3,0,2,38,86,4,23,1,6,2,419
,034B022,3,34,0,0,0,4,52,1,40,0,221,2,1,0,0,31,118,7,33,0,18,0,565
,034B023,2,32,1,1,0,11,36,3,34,0,144,2,3,0,0,15,89,11,17,0,16,1,418
,034B024,3,20,0,0,0,4,27,1,28,0,160,1,1,0,2,19,104,16,10,0,13,0,409
,034B025,3,106,1,0,0,2,38,1,58,0,169,0,3,0,0,43,49,2,13,0,3,0,491
,034B026,1,58,0,0,0,0,13,0,12,0,242,0,0,0,0,14,74,9,2,0,1,0,426
,034B027A,0,8,0,0,0,0,1,0,8,0,79,0,0,0,1,18,27,3,3,0,0,0,148
,034B027B,0,45,1,0,0,0,1,0,9,0,146,0,0,0,0,57,35,5,4,0,1,0,304
,034B028,1,44,1,0,0,0,5,0,13,0,158,0,0,0,0,17,95,12,3,0,0,1,350
,034B029,0,40,0,0,0,0,8,0,10,0,122,0,0,0,0,39,70,4,6,0,0,0,299
,034B030,0,33,0,0,0,0,10,0,26,0,124,0,0,0,0,17,47,29,2,0,0,0,288
,034B031,2,19,1,0,1,3,13,2,32,1,161,1,1,0,3,21,83,14,13,1,15,3,390
,034B032,4,29,6,0,1,7,28,0,33,0,133,5,1,0,0,8,77,12,13,0,12,0,369
,034B033,1,30,12,0,1,4,26,1,23,0,103,4,2,1,4,38,76,9,7,0,6,0,348
,034B034,2,22,5,1,3,5,22,1,27,0,94,5,1,0,1,28,74,14,11,0,8,0,324
,034B035,7,12,15,1,1,13,18,0,37,0,142,1,2,1,0,29,56,6,9,0,12,0,362
,034B036,3,18,20,0,1,1,18,0,13,0,112,5,0,0,1,7,36,3,12,0,5,0,255
,034B037,3,20,10,0,0,2,23,2,39,0,82,8,0,0,2,25,77,7,7,0,15,1,323
,034B038,4,28,10,2,1,2,18,0,28,1,133,10,1,0,0,20,87,7,13,0,6,1,372
,034B039A,1,25,0,0,0,0,9,0,12,0,117,1,1,0,0,56,21,8,3,0,3,0,257
,034B039B,6,51,0,0,0,0,6,0,34,0,165,0,2,0,0,53,48,3,6,0,1,0,375
,034B040,1,12,58,0,0,0,13,0,5,1,109,2,0,0,2,9,85,7,3,0,4,0,311
,034B041,0,32,72,0,2,1,11,0,15,0,74,7,0,0,0,10,80,6,2,1,6,2,321
,034B042,1,29,5,0,0,2,27,3,33,0,168,1,2,1,2,25,148,5,14,0,9,3,478
,034B043,1,7,75,0,2,0,13,0,16,0,37,7,1,0,0,13,34,4,4,0,1,1,216
,034B044,0,33,0,0,0,0,35,0,17,0,91,0,0,0,0,19,30,6,0,0,0,0,231
,034B045,0,5,0,0,1,0,18,0,12,0,26,0,0,1,0,7,28,0,0,1,4,0,103
,034B046,0,51,1,0,1,0,48,2,12,0,222,1,0,0,0,14,108,6,15,0,6,0,487
,034B047,6,35,3,0,2,3,23,4,30,0,146,3,0,1,0,46,154,19,6,0,5,3,489
,034B048,2,25,0,0,1,0,20,0,31,0,104,3,0,2,0,25,145,11,5,0,6,1,381
,034B049,4,63,0,0,0,1,24,0,29,0,135,0,3,0,9,23,69,7,4,0,3,2,376
,034B050,2,53,0,0,0,0,23,0,12,0,96,0,1,1,1,17,36,7,2,0,6,1,258
,034B051A,0,80,1,1,1,0,13,0,18,0,130,0,3,2,3,27,149,3,6,0,5,0,442
,034B051B,0,52,0,0,1,1,13,0,21,0,75,1,2,1,3,18,123,11,6,1,5,1,335
,034B051C,0,34,1,0,1,0,7,0,14,1,80,1,0,6,2,19,112,6,3,0,0,1,288
,034B052A,2,59,0,1,2,0,5,0,15,0,125,4,1,0,1,16,165,9,7,0,6,0,418
,034B052B,1,62,0,0,0,0,8,1,11,0,142,0,1,0,1,14,80,1,5,0,4,0,331
,034B053,1,17,1,1,1,0,9,0,12,0,112,0,2,0,0,7,103,7,5,0,15,0,293
,034B054,1,12,1,2,5,0,1,0,6,0,66,0,0,0,0,3,32,0,6,0,0,0,135
