,BM,BORCI ZA NOVU POLITIKU,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,014B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,014B001,0,6,4,1,15,50,111,15,0,0,16,142,4,12,1,377
,014B002,1,6,6,1,12,58,82,11,1,0,29,95,5,18,3,328
,014B003,0,24,1,3,11,43,144,10,2,0,19,145,8,17,1,428
,014B004,1,14,13,4,12,30,107,16,1,0,12,117,14,8,1,350
,014B005,1,15,3,5,11,25,180,8,0,0,17,120,6,17,3,411
,014B006,1,11,5,2,8,22,76,4,0,0,7,69,9,8,0,222
,014B007,1,26,1,10,29,49,135,16,0,0,15,93,9,19,1,404
,014B008,1,9,4,3,8,29,112,10,1,0,11,92,1,24,0,305
,014B009,0,6,1,4,14,30,119,9,0,2,18,111,11,22,3,350
,014B010,0,21,0,0,7,23,120,2,0,0,9,117,3,16,0,318
,014B011,0,17,0,1,15,5,62,1,0,1,6,84,3,8,1,204
,014B012,1,36,1,1,18,13,85,0,0,0,11,101,3,16,0,286
,014B013A,0,19,0,2,24,8,119,3,1,0,10,113,4,29,0,332
,014B013B,0,9,1,0,15,11,59,2,1,1,5,68,5,13,0,190
,014B014,0,14,0,3,13,18,117,0,0,0,3,153,1,1,0,323
,014B015,0,60,0,0,5,21,173,4,2,0,6,125,8,7,1,412
,014B016,0,32,0,0,8,22,115,0,0,0,2,101,3,26,0,309
,014B017,0,16,0,0,12,14,91,0,0,0,4,138,0,6,0,281
