,BM,BORCI ZA NOVU POLITIKU,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,DEVIĆ SLOBODAN,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,TADIĆ ALEKSANDAR,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,VUKOVIĆ SLAVKO,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,038B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,038B001,5,3,5,17,11,0,2,1,3,11,98,15,0,0,45,56,6,4,0,0,0,8,0,290
,038B002,8,3,4,18,12,0,4,0,7,11,103,12,7,2,51,77,5,2,0,0,0,13,0,339
,038B003A,4,0,4,41,48,0,2,1,14,11,107,15,1,1,46,119,1,6,1,1,0,10,0,433
,038B003B,8,2,8,23,7,0,1,0,4,12,108,3,1,3,25,83,5,3,0,0,0,14,0,310
,038B004,12,1,6,30,27,2,4,1,5,22,96,17,4,0,71,80,16,10,1,1,0,10,0,416
,038B005,10,0,6,31,10,1,1,0,12,11,159,6,0,0,41,82,9,9,0,0,1,18,2,409
,038B006A,13,0,4,13,7,2,3,0,9,11,106,9,4,1,35,58,11,4,0,0,0,8,0,298
,038B006B,6,0,2,8,0,0,1,1,3,4,100,7,6,0,32,38,8,4,2,0,0,9,1,232
,038B007,9,0,6,25,9,0,1,1,10,9,144,5,3,1,34,142,7,5,1,0,0,15,0,427
,038B008A,12,2,9,48,3,0,1,2,12,20,162,5,4,2,65,66,8,10,0,0,0,16,0,447
,038B008B,6,1,1,46,0,0,0,1,14,14,111,5,2,5,33,73,5,7,0,0,1,16,0,341
,038B009A,14,0,6,21,12,0,1,1,12,16,160,3,6,2,46,85,9,11,0,0,0,16,1,422
,038B009B,4,0,2,19,2,0,1,1,5,8,123,1,4,3,50,77,11,11,0,0,0,15,0,337
,038B010,3,0,2,16,7,0,2,0,2,11,69,2,2,0,27,43,3,3,0,1,0,6,3,202
,038B011A,6,0,10,62,9,0,5,0,10,6,120,3,1,0,40,128,11,15,0,0,1,16,1,444
,038B011B,3,0,4,20,1,2,0,0,6,7,88,2,0,0,18,71,12,1,0,0,0,7,0,242
,038B012,12,0,7,15,0,0,0,0,0,4,35,0,0,0,6,42,1,0,0,0,0,1,0,123
,038B013,2,0,4,1,124,0,1,0,2,3,42,36,3,0,10,12,0,0,0,0,0,3,3,246
,038B014,2,2,2,14,145,1,0,1,2,8,41,42,5,0,18,45,4,4,1,0,2,4,3,346
,038B015,5,0,5,39,11,2,1,0,10,5,124,3,5,0,56,128,12,11,0,0,0,10,1,428
,038B016A,3,1,10,46,19,0,0,0,2,0,48,3,3,0,16,70,4,2,0,0,0,7,0,234
,038B016B,6,0,18,54,6,0,1,0,3,7,112,1,2,0,40,68,1,15,0,0,0,8,0,342
,038B017,1,5,0,19,209,2,5,0,1,4,6,43,0,0,6,11,0,2,0,0,1,3,1,319
,038B018,1,1,4,2,15,0,0,0,0,0,17,7,0,0,4,13,0,0,0,0,0,3,1,68
,038B019A,4,0,34,34,0,0,0,0,15,7,133,0,1,0,22,109,3,2,0,0,0,11,0,375
,038B019B,5,0,20,28,0,0,0,0,24,4,89,0,0,0,25,96,6,1,1,0,0,3,0,302
