,BM,BORCI ZA NOVU POLITIKU,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SLOŽNA NARODNA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,021B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,021B001A,1,5,5,2,11,35,0,1,0,25,10,2,47,19,2,0,1,13,47,3,0,0,2,2,233
,021B001B,0,0,1,0,8,14,1,1,2,17,1,0,64,6,1,0,3,9,46,1,6,1,0,0,182
,021B002,2,0,1,2,25,28,1,2,0,27,5,0,103,18,0,0,1,26,66,2,2,0,0,1,312
,021B003,0,0,1,0,16,6,1,0,0,0,15,0,81,0,0,0,14,29,77,1,2,0,3,0,246
,021B004,2,0,0,0,39,9,0,1,0,69,3,0,152,11,0,0,0,19,123,4,4,0,3,0,439
,021B005,0,0,1,0,48,1,0,0,0,48,2,0,217,2,1,0,4,33,200,3,0,0,1,0,561
,021B006,1,0,0,1,24,0,0,0,0,17,4,0,158,3,0,0,8,19,118,0,0,0,4,1,358
,021B007,0,0,0,1,8,13,6,37,2,6,0,1,19,3,0,0,0,0,41,1,0,1,2,0,141
,021B008,1,0,0,1,28,1,0,1,2,17,3,0,44,3,3,0,4,9,189,2,2,0,5,2,317
,021B009A,1,0,0,0,42,0,0,0,0,99,0,0,27,0,0,0,0,0,84,0,0,0,1,1,255
,021B009B,0,0,0,0,40,0,0,0,0,124,9,0,56,1,0,0,1,2,59,1,1,0,1,0,295
,021B010,1,0,0,0,15,0,3,28,1,53,4,0,29,0,1,0,0,7,120,2,1,0,1,1,267
,021B011,0,0,0,1,54,1,0,0,0,38,2,0,51,0,2,0,1,5,100,3,0,0,0,1,259
,021B012,0,0,0,0,17,0,0,0,0,43,2,0,15,3,0,0,1,20,43,5,6,3,1,0,159
,021B013A,0,0,0,0,61,0,0,0,1,67,3,0,50,5,1,0,5,19,107,6,4,1,2,0,332
,021B013B,1,0,0,1,55,0,0,0,0,37,4,0,30,2,0,0,5,13,105,3,5,0,0,0,261
,021B013C,0,0,0,1,39,0,0,1,0,32,3,0,40,0,1,0,4,23,117,8,9,0,0,0,278
