,BM,BORCI ZA NOVU POLITIKU,BPS-SEFER HALILOVIĆ,DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,DEURIĆ ĐORĐE,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SLOŽNA NARODNA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,081B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,081B001A,0,0,0,0,14,87,0,47,34,92,4,0,0,0,28,115,4,0,0,0,425
,081B001B,0,0,0,0,7,25,0,89,28,86,0,2,0,0,23,86,8,2,0,0,356
,081B002,0,0,0,0,7,17,0,63,93,57,2,0,0,0,33,53,10,0,0,0,335
,081B003,0,0,0,0,59,2,0,5,20,37,0,0,0,0,43,48,26,0,0,0,240
,081B004,0,5,0,0,32,58,0,9,35,111,6,0,0,0,39,101,18,6,0,1,421
,081B005,0,0,0,0,61,54,0,9,32,90,5,0,0,0,8,45,66,0,0,0,370
,083B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,083B001,0,5,0,0,19,12,1,10,45,127,0,0,0,0,51,177,31,5,6,2,491
,083B002,0,2,0,0,33,6,0,14,29,145,0,0,0,0,61,152,23,9,1,0,475
,083B003,1,1,0,3,27,6,0,21,32,164,0,1,0,0,50,131,19,7,2,0,465
,083B004,0,4,0,1,39,42,0,9,23,122,10,0,0,0,38,128,29,8,1,1,455
,083B005,0,0,0,0,20,0,0,24,26,82,3,0,0,0,89,103,17,21,1,0,386
,083B006,0,2,1,0,17,20,0,6,27,79,6,1,0,1,27,113,5,1,3,0,309
