,BM,BORCI ZA NOVU POLITIKU,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,NARODNI DEMOKRATSKI POKRET,PARTIJA EKONOMSKE I SOCIJALNE PRAVDE,PDP- PARTIJA DEMOKRATSKOG PROGRESA,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,Ukupno
,121B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3
,121B001,0,0,38,0,0,2,0,50,0,156,1,2,0,20,256,20,0,3,548
,121B002,0,0,27,0,0,3,0,46,0,131,0,0,0,11,204,24,6,0,452
,121B003,0,0,3,5,0,0,0,13,0,136,0,0,0,3,109,5,1,0,275
,121B004,0,0,9,0,0,0,0,17,0,123,0,4,0,3,245,5,0,0,406
,121B005,0,1,4,22,0,0,0,22,0,50,1,0,1,6,89,4,0,1,201
,121B006,0,0,4,1,0,0,0,5,0,48,0,0,0,3,92,7,0,0,160
,121B007,1,0,11,0,1,0,0,19,0,71,0,0,0,5,126,16,1,2,253
,121B008,0,0,10,1,0,0,0,16,1,44,0,0,0,0,94,10,0,0,176
,121B009,0,0,34,0,0,0,0,47,0,130,0,1,1,3,255,17,1,2,491
,121B010,0,1,41,0,0,1,0,42,0,147,0,0,1,10,228,22,0,2,495
,121B011,0,0,39,0,0,1,0,48,0,159,0,6,1,9,347,37,1,0,648
,121B012,0,1,0,1,0,0,0,0,0,35,0,0,0,0,41,2,0,0,80
,121B013,0,1,8,2,0,0,0,17,0,69,2,0,1,2,80,1,0,1,184
,121B014,0,0,2,0,0,0,0,3,0,32,0,0,0,0,76,1,0,0,114
,121B015,0,0,0,0,0,0,0,0,0,16,2,0,0,0,37,0,0,0,55
,121B016,0,0,2,12,0,0,0,2,0,66,1,0,0,2,48,5,0,0,138
,121B017,0,0,15,0,0,0,0,9,0,48,0,0,0,1,81,3,0,2,159
,121B018,0,0,48,0,0,4,0,44,0,147,0,0,0,14,268,26,1,4,556
,121B019,0,0,35,0,0,0,1,43,0,96,0,2,0,15,289,15,2,4,502
,121B020,0,0,23,3,0,4,0,44,0,154,0,3,0,11,297,53,0,3,595
,121B021,2,0,30,0,0,0,0,35,0,106,0,4,2,2,153,21,2,1,358
,121B022,0,0,29,1,0,4,0,46,0,132,0,0,0,8,236,21,2,4,483
,123B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,123B001,4,0,34,0,0,3,0,44,0,209,0,0,0,23,220,17,0,2,556
,123B002,2,0,28,0,0,9,0,33,0,233,0,1,3,15,201,40,0,3,568
,123B003,2,0,12,1,0,3,0,13,0,114,1,0,0,3,61,5,0,1,216
,123B004,2,0,31,0,0,7,0,23,0,135,0,0,0,8,111,14,0,0,331
,123B005,0,0,7,0,0,1,0,6,0,53,0,0,0,0,46,2,0,0,115
,123B006,0,0,3,0,0,2,0,10,0,32,0,0,0,0,27,13,0,0,87
,123B007,0,0,3,3,0,0,0,7,0,45,24,0,0,1,46,2,0,0,131
,123B008,0,0,5,0,0,0,0,2,0,67,0,0,0,0,16,7,0,0,97
,123B009,0,0,1,0,0,1,0,3,0,24,0,0,0,0,12,1,0,0,42
,132B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,132B001,13,0,24,0,0,4,0,67,0,171,0,1,0,17,115,2,5,2,421
,132B002,5,0,57,0,0,2,0,69,0,127,0,4,0,20,121,1,4,2,412
,132B003,0,0,57,0,0,17,1,44,0,191,2,0,1,10,221,2,4,4,554
,132B004,2,0,61,1,0,17,0,21,0,157,1,1,0,5,169,0,1,0,436
,132B005,0,0,20,0,0,1,0,4,0,72,0,0,1,4,59,2,0,0,163
,132B006,3,2,49,4,0,12,3,12,0,124,1,2,0,12,59,2,0,2,287
,132B007,2,0,48,0,0,24,0,25,0,119,1,0,0,13,92,2,4,1,331
,132B008,2,0,40,2,0,15,0,28,0,126,2,1,0,13,184,2,2,5,422
,132B009,1,0,39,1,1,16,0,26,1,148,0,0,0,8,190,0,7,7,445
,132B010,1,0,24,1,1,4,1,23,0,76,1,1,0,9,99,1,1,2,245
,132B011,0,0,30,0,0,22,0,35,0,280,0,0,0,15,208,2,5,0,597
,132B012,0,0,54,2,0,15,0,22,0,169,0,0,0,7,145,0,0,5,419
,132B013,0,0,30,0,0,7,0,64,0,180,0,0,1,5,175,1,0,3,466
,132B014,2,0,69,1,0,14,0,51,0,202,0,0,1,25,167,3,12,2,549
,132B015,6,0,100,0,0,10,2,38,0,187,0,1,0,25,189,9,7,1,575
,132B016,0,0,35,1,0,5,0,30,0,182,0,1,0,7,150,1,4,2,418
,132B017A,1,0,66,0,0,18,0,19,0,130,1,0,2,13,158,1,9,2,420
,132B017B,2,0,29,0,0,10,0,33,1,110,0,0,0,4,95,9,1,2,296
,132B018,1,0,74,1,0,40,0,14,0,172,0,2,0,18,122,5,3,4,456
,132B019A,0,0,26,0,0,8,0,32,0,113,0,0,1,2,115,3,8,0,308
,132B019B,4,0,18,0,0,12,1,23,0,114,0,0,1,6,151,1,3,5,339
,132B020,0,0,8,0,0,1,0,1,0,80,0,0,2,9,147,0,0,0,248
,138B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,138B001,0,0,5,0,0,0,0,8,0,53,1,0,0,10,184,5,0,1,267
,138B002,0,0,18,0,0,0,0,16,0,61,0,0,2,14,196,5,0,0,312
,138B003,0,0,3,0,0,0,0,11,0,58,0,0,0,4,93,1,0,1,171
,138B004,0,0,4,0,0,0,0,6,0,5,0,0,0,1,23,1,0,0,40
,140B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,140B001,0,0,37,1,0,10,1,27,0,108,0,1,0,50,60,0,0,1,296
,140B002,0,0,57,1,0,11,0,55,0,193,0,3,1,18,135,5,4,4,487
,140B003,1,0,75,1,0,22,0,39,0,208,1,1,1,27,120,6,3,4,509
,140B004,2,0,45,1,0,49,0,117,0,307,1,1,1,17,148,4,1,3,697
,140B005,0,0,14,0,0,0,0,50,0,64,0,0,0,4,54,1,1,0,188
,140B006,1,0,48,0,0,5,0,47,0,184,0,0,2,5,87,1,2,0,382
,140B007,0,0,71,0,0,9,0,29,0,181,0,1,0,8,108,2,0,0,409
,140B008,3,0,92,0,0,17,0,84,0,262,1,3,0,14,128,4,1,3,612
,140B009,3,0,65,2,0,12,1,48,0,175,0,1,0,21,146,3,1,2,480
,140B010,0,0,62,0,0,3,1,28,0,201,0,5,0,36,134,4,3,6,483
,140B011,0,0,46,1,0,7,0,28,0,206,0,2,1,20,162,6,1,0,480
,140B012,0,0,55,1,1,10,0,56,0,208,0,2,0,8,118,3,3,7,472
,140B013,2,0,56,0,0,8,1,40,0,212,0,2,0,15,123,5,6,5,475
,140B014,0,0,43,1,0,11,0,22,0,106,0,2,1,26,68,5,2,0,287
,142B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,142B001,0,0,43,2,0,1,0,47,0,256,0,1,0,1,218,3,3,2,577
,142B002,0,0,13,0,0,2,0,13,0,89,1,0,0,0,68,0,0,0,186
