,BM,BORCI ZA NOVU POLITIKU,DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SLOŽNA NARODNA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,Ukupno
,147B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,147B001,0,0,45,1,13,44,215,0,0,1,3,150,16,0,19,507
,147B002,0,1,21,15,14,50,282,1,0,0,2,151,12,4,11,564
,147B003,2,0,49,30,9,36,271,2,0,0,8,127,20,0,19,573
,147B004,2,0,9,6,2,9,89,0,0,0,3,122,2,0,8,252
,147B005,0,0,13,0,1,15,136,0,0,0,2,127,8,0,8,310
,147B006,1,0,21,2,4,41,220,1,0,1,2,121,4,2,16,436
,147B007,1,0,29,3,10,22,203,1,0,1,0,140,2,0,11,423
,147B008,0,0,2,0,0,7,10,0,0,0,0,30,0,0,0,49
,147B009,0,0,3,10,1,1,40,0,0,0,0,70,0,0,1,126
,147B010,0,0,9,14,3,5,108,0,0,0,0,38,5,0,0,182
,147B011,0,0,0,0,0,2,42,0,0,0,2,42,1,0,0,89
,147B012,1,0,8,6,1,10,39,0,0,0,0,33,2,0,3,103
,147B013,0,1,38,0,12,32,173,0,0,0,10,121,2,0,12,401
,147B014,0,0,3,4,0,16,102,0,0,0,6,120,12,0,1,264
,147B015,0,0,0,8,2,2,85,2,0,0,4,74,3,0,3,183
,147B016,0,0,3,0,0,2,32,0,0,0,0,22,11,0,3,73
,147B017,0,0,2,0,0,0,37,0,0,0,0,6,1,0,0,46
,147B018,0,0,2,1,3,2,18,0,0,0,0,15,1,0,0,42
,147B019,0,0,15,1,8,23,166,0,0,0,1,119,8,0,6,347
,147B020,0,0,1,21,0,0,1,3,0,0,0,27,1,0,1,55
,147B022,0,0,14,1,19,28,137,0,0,0,1,104,5,1,8,318
,147B023,1,0,29,2,5,34,163,0,0,0,1,73,15,0,9,332
,147B024,0,0,15,0,8,12,135,1,0,0,1,136,28,1,12,349
,147BO21,0,0,9,1,8,34,233,1,0,0,1,157,15,0,13,472
,158B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,158B001,0,0,0,7,7,1,17,1,0,0,2,69,0,0,2,106
,161B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,161B001,2,0,12,0,11,25,75,0,0,1,74,46,3,0,14,263
,161B002,0,0,1,0,24,32,161,0,0,0,78,130,14,0,24,464
,161B003A,0,0,3,0,7,21,118,0,0,0,72,73,5,0,17,316
,161B003B,0,0,2,0,14,17,126,1,0,0,63,68,8,0,33,332
,161B004,1,0,12,0,19,37,103,0,0,0,115,131,13,2,27,460
,161B005,0,0,4,0,15,50,164,0,1,0,80,139,4,0,46,503
,161B006,0,0,11,0,9,20,96,0,1,0,45,111,6,0,16,315
,161B007,0,0,15,1,7,95,198,0,0,0,60,182,17,0,8,583
,161B008,0,0,2,1,5,12,87,0,0,0,48,66,1,1,10,233
,161B009,0,0,11,0,2,14,119,1,0,0,26,51,0,0,7,231
,161B010,0,0,7,0,0,5,19,0,0,0,1,8,0,0,0,40
,161B011,0,0,4,0,11,10,45,0,0,0,17,37,6,0,1,131
,161B012,0,0,1,0,2,9,38,0,0,0,8,23,0,0,0,81
