,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,NARODNA STRANKA RADOM ZA BOLJITAK,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,001A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,001A001,10,0,4,27,0,1,31,1,3,18,64,32,0,5,0,1,20,217
,001A002,25,0,4,17,0,0,55,2,0,38,78,18,0,4,2,0,38,281
,001A003,8,2,4,16,0,0,46,0,0,14,52,17,1,1,3,0,33,197
,001A004,21,1,1,10,0,0,69,0,0,12,71,25,0,0,1,0,37,248
,001A005,18,2,1,23,0,1,60,0,1,19,57,21,0,0,0,0,25,228
,001A006,15,1,1,35,1,0,88,4,0,35,58,33,0,2,2,0,48,323
,001A007,9,0,0,8,0,1,58,0,0,15,36,12,0,1,0,1,15,156
,001A008A,14,2,1,24,1,0,53,1,0,19,79,34,0,0,1,0,35,264
,001A008B,4,0,0,10,0,0,25,1,0,9,23,14,0,0,0,0,11,97
,001A008C,12,0,2,9,0,0,20,1,0,5,47,11,0,0,0,0,6,113
,001A009A,12,0,2,1,1,0,49,0,0,3,20,9,0,0,0,0,6,103
,001A009B,9,0,0,15,0,0,114,0,0,14,50,28,0,2,0,0,44,276
,001A010,17,0,0,5,0,0,85,4,0,6,100,15,0,0,1,0,17,250
,001A011,12,0,3,2,1,1,71,0,0,2,26,5,0,2,0,0,121,246
,001A012A,7,0,0,9,0,2,91,0,0,6,22,14,0,1,0,0,18,170
,001A012B,6,0,2,5,0,0,94,0,0,6,29,14,0,1,0,0,16,173
,001A013,2,1,0,19,0,0,173,1,0,5,11,3,0,2,0,0,6,223
,001A014A,11,0,0,7,0,0,144,1,0,6,16,2,0,0,0,0,71,258
,001A014B,1,0,1,2,0,0,66,0,0,3,1,2,0,1,0,0,13,90
,001A015A,1,0,1,7,0,0,73,0,0,5,20,20,0,0,0,0,31,158
,001A015B,1,0,1,9,0,0,77,0,0,6,18,10,0,1,0,0,15,138
,001A016A,7,1,2,10,1,0,127,1,0,6,9,7,0,0,0,0,29,200
,001A016B,7,0,2,11,0,0,90,3,0,9,36,12,0,1,1,0,24,196
,001A017,15,0,0,9,0,1,159,13,1,11,49,7,0,1,0,0,45,311
,001A018,47,0,2,5,0,0,104,1,0,8,20,20,1,1,1,0,23,233
,001A019,18,0,2,1,0,0,76,0,0,2,28,81,0,1,0,0,25,234
,001A020,17,0,1,11,1,0,76,0,0,1,33,12,0,0,3,0,40,195
,001A021,10,0,0,8,1,0,128,0,0,2,20,11,0,0,1,0,65,246
,001A022,10,1,0,4,0,2,94,1,0,4,73,20,0,1,1,1,19,231
,001A023,4,0,0,4,1,0,138,0,1,3,40,5,0,1,0,0,17,214
,001A024,10,0,1,28,0,0,108,1,1,17,31,37,0,0,0,0,34,268
,001A025,6,1,3,15,0,0,91,1,0,10,28,15,0,0,0,0,18,188
,001A026,5,0,1,9,1,1,106,0,0,4,18,21,0,1,0,0,12,179
,001A027A,2,0,0,5,0,0,37,0,0,2,23,2,0,1,0,0,33,105
,001A027B,4,0,1,6,0,3,153,2,0,10,37,14,0,0,0,0,77,307
,001A028,3,0,1,10,0,0,57,2,0,12,28,19,0,0,0,0,32,164
,001A029A,13,0,7,17,0,0,72,0,0,12,84,21,0,0,0,0,60,286
,001A029B,10,0,1,14,1,0,31,0,0,4,33,9,0,0,0,0,35,138
,001A030,5,0,0,6,0,0,42,1,0,2,23,3,0,0,0,0,85,167
,001A031A,19,0,0,4,0,1,13,1,0,3,125,8,0,0,3,0,35,212
,001A031B,11,0,0,1,0,0,17,0,0,1,89,11,0,0,0,0,22,152
,001A032,14,1,0,7,0,0,53,0,0,4,40,11,0,0,68,0,40,238
,001A033,17,1,1,8,0,1,24,0,0,1,95,14,0,0,0,0,114,276
,001A034,3,0,1,4,0,0,65,1,0,2,34,6,0,0,1,0,71,188
,001A035,9,0,0,2,0,0,14,0,0,0,57,33,0,0,0,0,29,144
,001A036,4,0,1,3,0,0,69,2,0,9,34,6,0,1,0,0,35,164
,001A037,2,0,1,1,0,0,44,0,0,4,40,1,1,8,0,0,18,120
,001A038,18,0,2,16,0,0,93,2,0,16,56,68,0,0,0,0,30,301
,001A039,2,0,0,7,1,1,85,0,0,1,19,3,0,0,0,0,28,147
,001A040,6,0,4,7,0,0,132,0,0,2,24,5,0,1,0,0,45,226
,001A041,21,0,1,13,1,0,83,0,0,19,74,27,0,0,1,1,42,283
,001A042,5,2,4,7,0,0,56,0,0,10,21,11,0,0,1,0,36,153
,001A043,20,0,2,4,0,0,68,1,0,22,43,17,1,2,0,0,33,213
,001A044,16,2,9,20,0,0,70,0,0,14,36,13,0,1,0,0,25,206
,001A045,1,1,4,8,1,3,23,0,0,3,15,49,0,0,0,0,32,140
,001A046,12,0,2,3,0,0,107,0,0,8,47,15,0,1,0,1,58,254
,001A047,4,0,1,4,0,1,135,2,0,6,43,0,0,0,0,0,39,235
,001A048,4,0,1,3,0,0,40,0,0,5,27,2,0,0,0,0,19,101
,001A049,6,0,1,1,0,0,46,0,0,4,121,7,0,0,5,0,49,240
,001A050,12,0,0,4,2,0,69,0,1,4,95,3,0,0,0,0,23,213
,001A051,21,0,1,19,0,1,70,1,0,22,28,21,0,1,0,2,22,209
,001A052,10,0,2,9,0,0,50,0,0,18,68,27,0,1,2,0,33,220
,001A053,21,0,1,9,0,0,61,1,0,30,46,31,1,5,2,1,35,244
,001A054,4,0,0,3,0,1,59,0,0,12,56,1,0,0,0,0,17,153
,002A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,002A001,55,1,6,76,0,1,1,0,0,139,83,49,0,2,0,1,9,423
,002A002,77,1,6,63,0,0,1,0,0,55,114,123,0,0,0,0,4,444
,002A003,74,1,4,70,1,1,9,0,0,100,101,33,1,1,1,2,12,411
,002A004,45,0,5,110,2,1,9,0,0,124,78,52,0,1,0,0,11,438
,002A005,102,0,2,4,0,1,5,0,0,0,92,4,1,4,0,0,6,221
,002A006,106,0,4,41,1,0,6,0,0,64,87,31,0,5,2,1,5,353
,002A007,92,1,7,55,1,0,10,0,0,97,142,14,0,6,2,1,7,435
,002A008A,183,0,5,26,0,0,0,1,0,46,77,37,0,0,0,0,3,378
,002A008B,95,1,4,31,1,0,3,2,0,31,68,16,0,6,0,0,6,264
,002A009,144,0,1,40,0,1,3,0,0,51,190,34,0,4,0,0,0,468
,002A010,142,0,1,14,0,0,1,2,0,15,42,3,0,10,0,0,0,230
,002A011,124,1,1,16,0,0,54,3,0,16,39,16,0,2,2,0,19,293
,002A012,101,0,0,14,0,0,85,0,0,6,20,3,0,1,0,1,33,264
,002A013,151,1,1,10,0,0,2,1,0,3,83,13,1,2,0,0,6,274
,002A014,140,0,2,5,0,1,3,1,0,13,62,24,0,0,0,0,34,285
,002A015,96,0,3,8,0,0,14,0,0,7,276,18,0,0,0,0,13,435
,002A016,58,1,1,11,0,0,9,1,0,19,109,8,0,4,2,0,15,238
,002A017,89,0,4,7,0,0,0,0,0,22,72,7,0,1,1,1,1,205
,002A018A,123,0,5,18,0,0,0,1,0,19,152,22,0,2,3,0,2,347
,002A018B,57,0,0,17,0,0,2,0,0,11,133,21,0,4,0,0,0,245
,002A019,81,1,1,4,0,0,0,0,0,4,114,11,0,1,1,1,3,222
,002A020A,211,2,7,16,0,2,0,0,0,13,225,41,0,1,1,0,1,520
,002A020B,62,0,6,2,0,0,0,0,1,3,41,10,1,0,0,0,0,126
,002A021A,71,0,0,2,0,0,0,0,0,8,55,3,0,1,0,0,0,140
,002A021B,125,0,2,9,0,0,2,0,0,11,83,12,0,0,0,0,1,245
,002A022A,186,2,5,15,0,0,0,0,0,14,174,17,0,0,0,0,3,416
,002A022B,171,1,2,8,0,0,3,2,0,9,101,26,0,0,0,0,3,326
,002A023A,167,2,3,21,0,0,2,0,0,18,103,10,0,0,1,0,4,331
,002A023B,111,0,4,18,0,0,3,0,0,15,47,8,0,1,0,0,1,208
,002A024,131,0,2,14,0,0,1,0,0,6,120,7,0,1,0,0,0,282
