
,BM,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,NARODNA STRANKA RADOM ZA BOLJITAK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,125A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,125A001,4,14,88,130,0,1,29,69,15,4,5,0,1,360
,125A002,1,4,153,179,1,12,1,17,5,4,2,0,4,383
,125A003,8,25,38,48,1,3,47,123,21,2,9,0,4,329
,125A004,4,1,64,46,2,4,17,31,6,6,2,0,2,185
,125A005,2,0,29,22,0,0,1,17,0,0,0,0,0,71
,125A006,2,0,90,129,7,0,0,0,0,10,1,0,0,239
,125A007,0,0,10,12,0,0,0,0,0,0,0,0,0,22
,125A008,0,2,3,16,0,0,0,3,0,0,0,0,0,24
,125A009,0,1,182,162,2,0,0,2,0,5,0,0,2,356
,125A010,1,4,6,3,0,0,17,87,10,3,1,0,7,139
,125A011,0,2,124,150,1,2,0,5,0,7,0,0,0,291
,125A012,3,1,36,47,0,0,11,24,0,3,2,0,0,127
,125A013,11,6,0,0,0,0,6,74,1,0,3,0,1,102
,125A014,11,9,0,1,0,0,9,68,2,0,6,0,0,106
,125A015,0,3,33,108,1,0,2,1,0,10,4,0,0,162
,125A016,0,4,16,52,0,2,0,5,1,11,0,0,0,91
,125A017A,0,0,94,153,1,0,0,0,1,25,0,0,0,274
,125A017B,0,0,128,134,0,0,0,0,3,4,0,0,0,269
,125A018,5,2,95,98,1,0,1,11,1,9,5,0,1,229
,125A019,1,0,97,123,0,0,0,9,1,10,0,0,1,242
,125A020,4,0,152,134,0,0,1,18,1,0,0,0,0,310
,125A021,1,0,124,124,1,2,1,13,4,1,0,0,0,271
,125A022,0,0,0,0,0,0,6,12,2,0,4,0,1,25
,125A023,0,1,76,78,0,0,0,0,0,9,0,0,0,164
,125A024,0,0,11,29,0,0,0,32,1,0,0,0,0,73
,125A025,16,1,19,81,0,3,16,97,17,2,0,0,1,253
,125A026,1,3,49,27,0,0,5,45,9,0,6,0,0,145
,125A027,7,0,22,3,0,0,3,26,0,0,7,0,1,69
,125A028,24,0,0,0,0,0,12,36,9,1,0,0,1,83
,125A029,17,5,0,0,0,1,14,31,8,2,1,0,1,80
,125A030,9,4,1,0,0,0,4,16,2,0,4,0,0,40
,125A031,1,7,77,108,1,0,3,29,4,5,4,2,0,241
,125A032,1,2,0,0,0,0,3,21,0,0,0,0,0,27
,126A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,126A001,12,64,1,1,0,2,91,118,107,1,12,1,2,412
,126A002,31,81,3,0,0,1,103,168,115,0,30,3,3,538
