,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PDP-NDP,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,118A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,118A001,0,24,113,4,10,2,0,3,3,0,0,1,91,93,45,3,2,3,19,4,420
,118A002,2,33,117,0,9,0,0,4,6,0,1,3,63,136,37,2,1,3,6,5,428
,118A003,4,31,108,0,1,5,1,8,4,2,0,1,83,127,47,5,1,5,5,0,438
,118A004,2,17,77,0,4,0,0,5,2,0,0,3,44,61,19,2,0,1,11,4,252
,118A005A,2,27,102,0,1,2,2,7,1,0,0,0,53,87,33,10,3,5,7,6,348
,118A005B,5,16,74,0,1,0,0,9,2,1,0,2,42,70,34,1,0,2,6,1,266
,118A006,0,15,86,0,0,2,0,12,18,0,0,0,48,85,21,4,2,0,2,6,301
,118A007,5,33,134,1,0,1,0,12,3,4,0,2,83,172,12,8,2,4,7,5,488
,118A008,3,50,83,0,5,0,0,3,0,0,0,0,50,127,14,2,0,5,3,0,345
,118A009,6,23,73,2,0,2,1,18,2,0,0,0,52,173,8,3,1,3,2,3,372
,118A010,7,15,52,0,0,2,0,22,1,1,0,2,59,141,22,9,1,1,12,0,347
,118A011,0,11,56,1,5,1,0,6,0,0,0,1,57,66,6,4,3,5,2,0,224
,118A012A,0,26,90,0,0,1,0,5,2,0,0,0,84,160,28,5,0,1,4,2,408
,118A012B,1,18,73,1,6,0,0,2,4,0,0,0,67,98,25,3,5,1,0,1,305
,118A013,3,16,62,0,0,0,0,10,1,0,0,0,75,147,7,4,2,1,9,3,340
,118A014A,1,13,58,0,0,1,0,10,0,1,0,0,46,104,16,5,0,1,3,1,260
,118A014B,1,14,62,0,0,0,0,4,0,0,0,0,52,104,18,5,2,1,3,3,269
,118A015,1,8,23,0,0,0,0,3,1,0,0,0,22,61,37,0,0,8,0,1,165
,118A016,2,17,62,0,0,4,1,6,3,0,1,2,54,137,28,2,1,0,2,2,324
,118A017,0,72,12,0,0,0,0,1,0,0,0,0,18,46,11,1,0,0,0,1,162
,118A018,1,13,51,0,0,0,0,0,1,0,0,0,47,112,9,2,1,8,2,2,249
,118A019,2,32,54,0,0,3,0,0,2,0,0,0,62,156,17,2,0,5,3,2,340
,118A020,10,23,90,0,0,0,0,5,2,1,0,0,75,194,20,2,1,2,0,0,425
,118A021,3,3,28,1,12,0,0,1,0,0,0,0,0,31,24,1,0,1,27,1,133
,118A022,4,22,87,0,2,0,0,3,0,1,1,1,46,111,57,1,1,3,8,2,350
,118A023,2,17,12,0,0,0,0,0,0,0,0,8,24,29,2,2,0,0,3,5,104
,118A024,6,49,92,0,0,1,1,9,1,0,0,2,52,169,16,2,3,7,0,0,410
,118A025,0,34,37,0,0,0,0,1,0,0,0,0,33,122,6,1,1,0,7,3,245
,118A026,1,8,21,0,0,0,0,2,0,0,0,0,19,112,5,0,1,0,0,2,171
,118A027,4,20,84,2,3,1,0,3,1,0,0,2,39,44,30,2,2,2,1,2,242
,118A028,4,30,75,1,1,0,0,10,0,4,0,0,63,112,16,10,3,4,15,3,351
,118A029,0,7,45,0,1,0,0,0,1,0,0,1,14,65,2,0,1,1,0,1,139
,130A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,130A001,2,38,114,0,0,0,0,5,1,0,0,0,69,130,29,1,0,8,2,1,400
,130A002,4,14,106,1,0,1,0,1,4,1,0,0,94,94,23,3,0,10,3,3,362
,130A003A,9,39,118,0,0,1,0,5,5,2,0,1,65,142,19,3,4,8,0,2,423
,130A003B,5,27,69,0,0,3,0,2,0,2,0,2,46,132,2,1,0,5,2,1,299
,130A004,5,30,57,2,0,0,0,0,6,3,0,2,59,133,34,2,3,13,1,4,354
,130A005,5,12,45,0,0,0,0,4,1,0,0,0,48,75,19,4,0,4,5,0,222
,130A006,5,20,57,0,0,1,0,4,0,0,0,0,54,63,10,4,1,16,7,3,245
,130A007,8,18,117,0,0,0,0,1,4,0,0,1,31,111,6,0,2,8,2,1,310
,130A008,0,27,160,3,0,1,0,27,11,1,0,0,65,117,15,4,0,14,13,5,463
,130A009,0,19,135,0,0,2,0,1,0,2,0,0,46,123,18,1,2,7,5,1,362
,130A010,3,25,166,1,3,3,0,15,10,1,0,1,96,161,32,2,2,12,23,5,561
,130A011,11,26,106,2,4,0,1,12,7,2,0,1,68,114,38,2,5,22,11,4,436
,130A012,5,27,135,1,0,1,0,16,15,2,0,1,64,135,28,3,3,23,13,2,474
,130A013,1,28,78,1,0,2,0,6,1,1,1,1,50,84,3,0,4,4,0,1,266
,130A014,9,36,87,0,1,0,0,2,1,1,0,0,40,114,17,3,0,3,3,1,318
,130A015,4,34,115,0,0,0,0,15,5,2,0,0,78,111,30,2,1,16,5,3,421
,130A016,17,28,74,1,0,2,0,4,1,0,0,1,76,109,12,3,2,40,4,5,379
,130A017,6,13,105,0,0,0,0,1,1,0,0,0,58,86,9,1,0,6,0,3,289
,130A018,2,16,51,0,0,0,0,2,1,0,0,0,20,123,8,1,0,6,3,1,234
,130A019,6,37,116,0,0,0,0,3,2,0,0,1,50,150,28,1,1,12,8,4,419
,130A020,1,26,69,0,0,1,0,0,1,0,0,3,62,75,24,2,1,7,4,3,279
,130A021,1,23,75,0,0,0,0,0,0,0,0,0,43,138,16,4,2,12,4,1,319
,130A022,2,10,85,0,0,0,0,2,1,0,0,0,51,117,14,1,1,16,0,1,301
,130A023,3,14,91,3,3,5,0,3,2,0,0,0,30,90,12,2,0,11,3,0,272
,130A024,4,4,39,1,1,0,0,4,0,0,1,1,27,59,4,0,2,1,6,1,155
,130A025,3,12,39,0,0,0,0,2,1,0,0,1,45,238,3,3,0,23,1,0,371
,130A026,1,10,58,0,0,0,0,6,0,0,0,0,20,149,18,1,0,56,7,0,326
,130A027,2,22,99,0,0,1,0,19,0,1,0,0,44,200,18,2,0,18,3,0,429
,130A028,3,30,51,0,0,0,0,4,0,0,0,0,28,84,16,0,3,8,2,0,229
