,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,NARODNA STRANKA RADOM ZA BOLJITAK,NOVI POKRET BIH,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,037A001,6,1,3,65,0,0,0,1,1,35,88,92,0,0,7,0,1,300
,037A002,7,1,5,59,0,0,0,0,0,27,121,111,0,0,9,0,2,342
,037A003,7,3,8,119,0,0,0,3,0,23,125,134,0,1,13,0,3,439
,037A004,3,3,3,96,0,0,0,2,1,58,149,96,2,0,4,0,3,420
,037A005,7,0,4,72,0,0,0,10,1,55,113,112,2,2,16,1,3,398
,037A006,5,1,7,54,5,0,0,2,0,42,158,111,1,0,17,0,3,406
,039A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,039A001,10,0,10,69,0,0,0,1,0,67,112,46,0,0,6,0,4,325
,039A002,10,0,7,38,4,42,0,1,0,47,245,57,0,1,4,0,2,458
,039A003,12,1,24,68,1,4,0,0,1,72,153,67,1,0,11,1,2,418
,039A004A,8,0,6,30,0,0,0,0,0,86,108,14,0,0,8,0,0,260
,039A004B,9,0,5,19,0,0,0,0,0,37,137,28,0,0,24,0,0,259
,039A005A,16,0,18,30,0,0,0,1,0,30,142,29,0,0,37,1,2,306
,039A005B,15,1,11,29,0,2,0,0,0,38,165,7,0,0,15,0,1,284
,039A006,11,1,14,28,0,0,0,1,0,23,95,71,0,0,7,0,2,253
,039A007,5,1,9,72,12,22,0,0,1,49,82,128,0,0,5,1,5,392
,039A008,3,0,7,86,7,6,0,4,0,66,109,101,0,1,7,1,0,398
,039A009,4,1,7,47,3,31,0,4,0,34,74,54,0,0,9,0,4,272
,039A010A,10,0,11,55,0,2,0,0,1,62,156,66,0,0,23,0,3,389
,039A010B,11,1,6,68,0,0,0,0,0,24,127,58,2,2,23,1,2,325
,039A011,11,1,29,38,0,1,0,0,0,23,131,73,1,0,12,1,4,325
,039A012A,6,0,5,43,2,13,0,0,1,14,184,75,0,0,24,0,1,368
,039A012B,6,1,7,55,0,0,1,0,0,25,165,88,0,0,16,0,5,369
,039A013A,14,3,12,27,0,0,0,0,3,35,368,14,0,0,2,0,2,480
,039A013B,5,0,7,11,0,0,0,0,0,17,195,5,0,0,2,0,3,245
,039A014,10,0,6,116,0,0,0,2,1,38,135,110,0,0,2,0,1,421
,039A015,17,1,17,51,2,0,0,1,0,34,245,26,0,0,51,0,3,448
,039A016A,7,0,9,12,5,8,0,0,0,37,149,16,0,0,3,0,3,249
,039A016B,4,1,8,16,11,2,0,1,0,26,131,19,0,0,4,0,0,223
,039A017A,27,2,18,10,0,0,0,0,0,51,249,34,0,0,27,1,0,419
,039A017B,6,0,11,19,0,0,0,0,0,29,124,9,0,1,9,0,3,211
,039A018,13,0,14,52,0,1,0,0,0,37,177,23,1,1,8,0,2,329
,039A019A,8,1,7,32,0,0,0,0,1,44,151,38,1,0,9,1,3,296
,039A019B,14,1,13,42,1,0,0,2,1,41,142,39,3,0,11,1,2,313
,039A020,6,0,18,12,1,0,0,1,1,27,362,45,0,0,42,0,0,515
,039A021A,3,0,5,17,1,2,1,3,0,38,204,182,0,0,19,0,2,477
,039A021B,9,0,12,15,5,11,0,1,0,29,156,116,1,0,18,0,0,373
,039A022A,13,0,25,56,2,0,0,0,2,41,165,38,1,1,31,0,4,379
,039A022B,9,1,18,18,0,0,0,0,0,16,93,15,1,0,5,0,1,177
,039A022C,19,2,26,38,1,3,0,0,0,66,158,35,0,0,14,1,4,367
,039A022D,8,0,6,11,0,0,0,0,0,19,31,7,1,0,7,0,3,93
,039A023,5,2,7,46,5,19,1,2,0,50,91,62,2,0,2,0,4,298
,039A024A,21,1,25,76,0,0,0,0,0,39,270,53,0,0,99,0,5,589
,039A024B,5,0,6,35,0,0,0,0,4,25,96,47,0,1,45,1,2,267
,039A024C,7,0,5,28,0,0,0,0,1,23,93,28,0,0,26,0,5,216
,039A025,9,1,14,91,1,1,1,0,1,81,133,128,0,2,15,2,2,482
,039A026,7,1,24,89,1,4,0,0,1,83,153,137,0,2,15,1,1,519
,039A027,16,2,22,63,0,0,0,1,1,74,114,84,0,0,21,1,1,400
,039A028A,3,3,13,59,2,0,0,1,0,37,90,79,0,0,7,2,2,298
,039A028B,1,0,5,40,2,4,0,0,1,27,59,52,0,0,4,0,0,195
