,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NOVI POKRET BIH,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,017A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,017A001,0,0,2,133,62,0,1,0,0,0,0,0,0,0,0,0,1,199
,017A002,1,2,47,20,3,0,2,0,0,82,149,35,0,1,16,0,0,358
,017A003,1,5,64,7,4,1,8,0,0,51,160,30,1,1,11,1,1,346
,017A004,2,3,47,49,33,1,14,0,0,50,55,51,2,0,1,0,4,312
,017A005,1,0,4,92,90,0,2,0,0,0,2,1,1,0,0,0,4,197
,017A006,0,0,10,64,182,0,26,0,0,3,1,3,4,0,2,0,2,297
,017A007,0,0,5,105,59,0,1,0,0,0,0,0,0,1,0,0,1,172
,017A008,0,0,7,52,110,0,4,0,0,1,0,0,13,0,0,0,2,189
,017A009,0,0,5,46,185,1,2,0,0,0,0,0,10,0,0,1,3,253
,017A010,4,7,72,0,0,1,3,2,0,59,203,35,0,0,43,0,1,430
,017A011,2,4,77,7,9,0,3,2,0,63,85,54,0,0,16,0,3,325
,017A012,5,16,56,3,21,0,1,1,0,85,171,39,1,1,11,0,4,415
,017A013,1,6,63,9,17,1,0,1,0,45,91,30,3,0,14,1,1,283
,017A014,0,0,6,47,81,0,3,0,0,0,0,1,4,0,0,0,3,145
,017A015,0,0,10,140,85,0,7,1,3,1,3,1,13,0,2,1,5,272
,017A016,0,0,1,60,70,0,4,0,0,0,0,0,0,0,0,0,0,135
,017A017,1,0,1,78,94,0,2,0,0,1,0,1,1,0,0,0,0,179
,017A018,0,0,5,142,39,0,5,0,0,1,0,1,1,0,0,0,2,196
,017A019,1,5,34,81,136,0,3,2,0,20,26,15,2,0,5,3,4,337
,017A020,1,0,1,143,76,0,0,0,0,0,0,1,1,0,0,0,3,226
,017A021,0,0,2,23,25,1,4,0,4,7,2,8,8,0,0,0,4,88
,017A022,9,2,54,9,17,0,2,0,0,54,73,33,2,0,2,0,2,259
,020A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,020A001,1,0,2,82,100,0,5,0,0,0,1,5,3,0,0,0,3,202
,020A002,0,0,0,91,125,1,5,0,0,2,0,4,6,0,0,0,3,237
,020A003,0,0,5,107,123,1,3,0,0,0,1,11,2,0,0,0,1,254
,020A004,1,0,2,47,143,0,1,0,0,0,1,1,1,0,0,1,2,200
,020A005,4,0,1,74,46,0,1,0,1,0,0,2,2,0,1,0,0,132
,020A006,0,0,1,93,85,0,0,0,0,2,0,2,2,0,0,0,4,189
,020A007,0,0,0,84,60,0,1,0,0,0,1,2,0,0,0,0,0,148
,022A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,022A001,0,3,44,40,48,3,1,0,0,49,124,23,0,0,1,3,3,342
,022A002,1,4,40,32,62,3,3,1,0,63,143,40,0,1,5,0,3,401
,022A003A,1,1,2,67,135,0,3,0,0,0,1,1,4,0,0,0,6,221
,022A003B,1,0,3,60,141,0,2,1,0,6,4,0,7,0,0,0,4,229
,022A004,0,0,4,128,115,0,0,0,0,1,0,3,0,0,0,0,3,254
,022A005,0,1,1,67,172,1,1,0,0,2,0,4,4,0,0,0,10,263
,022A006,0,0,3,267,108,1,2,0,0,0,1,2,2,0,0,0,4,390
,022A007,1,0,3,240,94,1,5,0,0,0,2,2,2,0,0,1,4,355
,022A008A,1,0,5,49,256,0,1,0,0,1,1,1,1,0,0,0,2,318
,022A008B,1,0,4,68,170,0,4,0,1,1,0,1,1,0,0,0,0,251
,022A009,3,0,2,75,154,0,4,0,0,0,0,0,4,0,0,0,4,246
,022A010,1,1,2,74,141,0,0,0,0,1,1,1,0,0,0,0,1,223
,022A011,0,0,1,79,257,0,0,0,0,0,0,0,9,0,0,1,0,347
,022A012,0,0,1,73,139,0,1,0,0,0,0,0,1,0,0,0,2,217
,022A013,2,0,4,28,157,2,1,0,1,2,1,6,12,0,1,2,0,219
,022A014,1,0,2,25,139,0,1,2,0,0,0,0,13,0,1,1,6,191
,022A015,10,6,28,48,72,0,7,2,0,50,119,27,1,0,3,0,2,375
,022A016,0,1,1,82,176,1,5,0,0,1,0,1,2,1,1,0,3,275
,022A017,2,0,3,48,141,0,2,0,1,0,0,3,1,1,1,0,4,207
,022A018,1,2,3,75,119,0,3,0,0,1,3,0,2,0,1,0,5,215
,022A019,4,0,4,169,111,0,5,0,0,0,0,2,1,0,0,0,2,298
,022A020,0,0,2,40,159,0,1,0,0,0,0,1,10,0,0,2,3,218
,022A021,4,6,27,35,63,1,7,0,0,58,135,29,1,1,6,0,9,382
,022A022,3,1,3,72,201,0,4,0,0,1,0,0,4,0,0,1,0,290
,022A023,0,0,2,69,241,1,3,0,0,1,0,4,1,1,0,0,6,329
,025A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,025A001,1,20,57,0,0,0,0,0,0,59,159,80,0,0,96,0,0,472
,025A002,3,20,62,0,0,0,3,0,0,111,118,111,0,0,22,1,3,454
,025A003A,0,10,21,0,0,0,7,0,0,93,100,24,0,0,13,0,0,268
,025A003B,6,13,46,0,0,0,3,0,0,92,171,16,0,0,2,0,0,349
