
,BM,BPS-SEFER HALILOVIĆ,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",PDP-NDP,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SOCIJALISTIČKA PARTIJA,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,014B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,014B001,1,2,2,24,123,6,10,166,4,1,9,0,2,350
,014B002,3,5,3,23,109,13,10,123,15,2,18,0,0,324
,014B003,2,6,0,19,186,1,10,159,9,6,19,0,0,417
,014B004,9,7,2,23,121,17,15,134,2,4,3,0,3,340
,014B005,1,4,1,16,198,4,15,136,3,8,13,1,1,401
,014B006,1,4,1,17,100,4,6,72,6,5,6,0,1,223
,014B007,2,5,6,23,159,0,19,134,11,8,20,0,1,388
,014B008,1,4,2,21,121,2,8,96,6,5,22,1,1,290
,014B009,1,3,5,18,137,0,11,128,7,6,21,0,2,339
,014B010,0,7,0,19,140,0,2,116,3,4,15,1,0,307
,014B011,0,3,1,4,71,3,0,103,4,0,4,1,1,195
,014B012,1,19,0,13,113,0,0,122,8,2,15,0,0,293
,014B013A,1,10,0,12,137,0,4,119,10,9,25,0,1,328
,014B013B,0,4,1,7,67,0,0,82,5,1,17,0,0,184
,014B014,0,4,2,21,117,0,1,167,0,1,1,0,0,314
,014B015,0,15,1,10,198,2,5,152,5,3,4,1,3,399
,014B016,0,6,0,16,144,0,0,144,1,3,7,0,0,321
,014B017,0,5,0,5,116,0,0,148,0,0,0,0,0,274
,014B018,0,11,1,60,157,1,1,93,15,4,6,0,0,349
,014B019,0,3,1,17,127,13,16,73,2,1,13,1,0,267
,014B020A,0,9,1,21,170,1,0,155,24,2,2,0,0,385
,014B020B,1,9,0,8,130,1,0,135,11,0,0,0,0,295
,014B021,0,9,1,31,148,0,1,168,4,2,23,1,0,388
,014B022,0,0,70,0,4,0,14,8,0,0,0,0,0,96
,014B023A,0,25,0,13,124,0,0,133,2,0,1,0,0,298
,014B023B,0,6,0,12,73,0,0,105,3,0,0,0,2,201
,014B024,0,6,0,35,189,3,0,140,7,2,5,0,1,388
,014B025,0,5,0,21,119,0,0,143,61,0,0,0,0,349
,014B026,0,4,4,17,59,2,0,169,5,3,1,0,1,265
,014B027A,0,13,0,3,99,0,0,151,5,4,4,1,1,281
,014B027B,0,2,0,5,60,0,0,134,9,7,3,0,0,220
,014B028,1,11,14,17,87,1,8,128,4,6,7,2,0,286
,014B029,2,4,11,3,16,2,6,37,1,0,7,0,1,90
,014B030,0,0,3,20,36,1,1,64,0,0,1,0,0,126
,014B031,0,3,1,19,46,0,0,98,0,1,20,1,2,191
,014B032,4,1,11,0,5,18,18,0,9,0,6,1,0,73
,014B033,2,4,3,6,73,0,0,72,3,2,4,0,0,169
,014B034,2,0,56,1,1,2,3,2,0,0,0,3,0,70
,014B035,2,6,5,21,93,32,7,132,4,2,3,0,0,307
,014B036,2,6,7,11,154,1,11,111,6,2,13,1,2,327
,014B037,10,3,3,8,77,28,32,78,0,2,8,0,1,250
,014B038,2,2,4,20,113,1,10,87,7,2,6,0,0,254
,014B039,2,0,29,1,1,15,19,3,0,0,1,0,0,71
,014B040,9,1,1,8,8,19,21,13,5,2,1,1,2,91
,016B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,016B001,1,2,4,20,95,1,6,51,7,6,38,2,0,233
,016B002,1,5,6,23,121,1,2,75,9,3,28,1,0,275
,016B003,2,4,3,24,110,7,4,66,15,3,36,1,1,276
,016B004,4,7,2,23,128,4,9,58,15,1,37,0,1,289
,016B005,3,6,4,12,94,7,9,52,12,5,21,1,1,227
,016B006,1,9,3,14,99,3,7,83,14,3,23,1,0,260
,016B007,0,10,0,19,136,2,2,119,10,3,42,1,2,346
,016B008,0,2,2,26,144,0,1,123,4,2,53,0,0,357
,016B009,2,3,1,24,148,1,0,122,12,1,60,0,1,375
,016B010,0,0,0,22,47,0,0,76,4,2,10,0,0,161
,016B011,0,6,0,0,18,0,0,43,1,0,0,0,0,68
,016B012,0,1,1,2,47,1,1,105,7,1,11,0,3,180
,016B013,0,2,3,12,170,0,2,113,5,1,12,0,0,320
,016B014,0,8,0,21,71,1,2,75,10,1,28,0,0,217
,016B015,0,3,0,24,78,0,0,134,3,3,75,2,0,322
,016B016,2,0,1,3,56,9,14,59,18,0,11,2,2,177
,016B017,0,1,0,53,79,0,1,148,3,1,6,1,0,293
,016B018,0,0,9,8,38,0,0,58,3,0,10,0,0,126
,016B019,7,0,9,5,1,39,73,5,7,0,21,0,4,171
,016B020,2,3,1,5,39,6,16,21,5,0,13,0,1,112
,016B021,0,12,2,38,133,0,0,117,16,4,42,0,3,367
,016B022,0,2,9,10,65,3,7,63,4,2,11,1,0,177
,016B023,0,2,0,9,47,0,0,59,5,1,62,0,0,185
,016B024,0,1,28,2,3,0,1,3,1,0,2,0,0,41
,016B025,0,2,5,2,56,0,0,23,1,1,11,0,1,102
,018B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,018B001,7,1,2,2,5,121,80,7,1,1,0,0,2,229
,018B002,0,1,0,34,51,0,0,133,1,1,6,0,1,228
,018B003,1,2,0,3,31,2,0,25,0,0,0,0,0,64
,018B004,1,9,0,29,36,1,3,51,1,1,0,0,1,133
,018B005,2,2,0,0,2,273,6,1,1,0,0,1,1,289
