
,BM,BPS-SEFER HALILOVIĆ,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,PDP-NDP,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SOCIJALISTIČKA PARTIJA,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,VUKIĆ TOMO,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,081B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,081B001A,3,20,36,112,70,8,136,10,3,3,0,0,0,401
,081B001B,0,20,32,137,22,0,123,13,1,3,0,0,0,351
,081B002,1,12,105,104,10,3,68,13,6,0,0,0,0,322
,081B003,1,59,12,79,2,0,56,13,13,2,0,1,0,238
,081B004,4,74,15,140,58,8,96,13,1,6,0,0,1,416
,081B005,0,117,9,109,57,4,43,2,25,1,0,0,1,368
,083B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,083B001,5,16,30,166,18,1,188,25,18,4,1,0,3,475
,083B002,0,29,14,176,0,0,143,36,19,8,0,0,5,430
,083B003,1,30,16,193,1,1,153,40,12,7,0,1,0,455
,083B004,9,29,9,141,46,11,148,25,17,14,0,1,2,452
,083B005,0,22,14,120,0,1,112,66,7,12,0,1,1,356
,083B006,4,15,7,108,15,9,118,14,5,1,0,1,3,300
,083B007,0,19,6,224,1,0,190,20,3,6,2,0,1,472
,083B008,0,22,15,122,4,1,158,22,10,5,0,0,2,361
,083B009,0,14,27,146,2,0,166,30,15,7,0,2,2,411
,083B010,0,15,20,157,6,2,169,21,9,12,2,1,0,414
,083B011,6,0,0,2,92,37,0,0,0,0,0,0,0,137
,083B012,4,3,1,19,51,55,23,39,13,1,0,0,0,209
,083B013,14,1,0,11,129,5,10,0,0,0,1,0,1,172
,083B014,3,0,0,1,145,29,4,0,0,1,0,0,1,184
,083B015,8,53,13,21,105,8,36,33,15,0,0,0,0,292
,083B016,2,20,11,122,12,24,66,38,3,5,0,0,4,307
,083B017,0,17,3,158,0,26,123,29,13,6,0,0,0,375
,083B018,0,11,3,26,0,0,39,12,4,0,0,0,0,95
,083B019,13,0,0,38,316,37,30,10,0,21,0,0,0,465
,083B020A,0,14,5,174,12,2,145,23,7,4,0,0,0,386
,083B020B,0,16,21,224,0,0,198,30,22,11,0,0,0,522
,083B020C,0,17,5,106,3,2,98,19,22,3,0,2,0,277
,083B020D,0,13,13,163,2,3,172,23,17,3,0,0,3,412
,083B021,0,15,35,165,1,0,142,32,15,15,0,0,0,420
,083B022,8,39,9,167,57,9,82,59,19,28,0,4,1,482
,083B023,11,0,1,3,290,30,4,4,3,0,0,0,1,347
,083B024,1,70,10,124,16,0,65,3,11,4,0,0,0,304
,083B025,1,28,3,57,6,19,68,22,2,9,0,0,0,215
,083B026,3,0,0,2,108,12,0,1,0,0,0,0,0,126
,083B027,0,38,5,124,90,0,144,16,18,19,0,0,0,454
,083B028,8,3,0,0,142,18,0,0,0,0,0,0,0,171
,083B029,6,5,1,90,70,7,35,14,7,1,0,0,0,236
,083B030,0,5,10,240,0,0,95,27,20,5,0,0,2,404
,083B031,0,37,1,174,7,0,78,22,6,1,0,0,0,326
,083B032A,5,7,6,122,12,2,93,12,10,3,0,0,1,273
,083B032B,0,20,5,104,2,0,100,14,6,3,2,1,0,257
,083B033A,0,36,7,199,10,0,90,32,83,5,0,0,2,464
,083B033B,0,20,5,134,0,0,68,19,93,6,0,0,0,345
,083B033C,0,31,7,136,0,0,101,29,70,0,0,0,4,378
,083B034A,2,99,2,188,4,2,47,87,29,0,0,1,1,462
,083B034B,3,56,4,224,1,1,38,93,36,12,1,0,0,469
,083B034C,0,8,0,37,0,0,29,44,12,1,0,0,0,131
,083B035,2,4,24,88,17,9,104,12,6,9,0,0,3,278
,083B036,0,56,12,348,0,0,79,9,40,9,0,2,0,555
,083B037A,8,5,2,68,78,8,36,2,13,2,0,0,0,222
,083B037B,3,4,4,67,37,8,19,5,2,2,0,0,0,151
,083B037C,4,6,0,41,14,0,25,1,19,5,0,0,0,115
,083B038,1,18,33,149,1,0,149,45,12,5,0,3,1,417
,083B039,0,103,0,214,0,0,35,48,45,6,0,0,0,451
,083B040,0,42,2,40,0,0,33,5,3,4,0,0,0,129
,083B041A,0,86,0,138,1,0,34,5,29,0,0,0,1,294
,083B041B,1,57,2,121,1,1,23,2,16,1,0,0,0,225
,083B042,0,39,2,308,0,0,55,6,15,4,0,0,0,429
,083B043,0,8,12,112,0,0,66,10,55,0,0,0,0,263
,083B044,0,76,7,344,0,0,77,19,24,0,0,0,0,547
,083B045A,0,38,3,306,0,0,82,21,37,9,0,5,3,504
