"mjesto","stranka","glasovi","godina","nivo","lokacija","ukupno"
"006B000",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,0,2014,parbih,parbih_1_521,0
"006B000",SDS-SRPSKA DEMOKRATSKA STRANKA,0,2014,parbih,parbih_1_521,0
"006B000",SOCIJALISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"006B000",SDA - STRANKA DEMOKRATSKE AKCIJE,0,2014,parbih,parbih_1_521,0
"006B000",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,0,2014,parbih,parbih_1_521,0
"006B000",SRPSKA NAPREDNA STRANKA - SNS,0,2014,parbih,parbih_1_521,0
"006B000",KOMUNISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"006B000",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,0,2014,parbih,parbih_1_521,0
"006B000",STRANKA PRAVEDNE POLITIKE,0,2014,parbih,parbih_1_521,0
"006B000",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,0,2014,parbih,parbih_1_521,0
"006B000",PDP-NDP,0,2014,parbih,parbih_1_521,0
"006B000","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
"006B000",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),0,2014,parbih,parbih_1_521,0
"006B001",SDS-SRPSKA DEMOKRATSKA STRANKA,131,2014,parbih,parbih_1_521,0
"006B001",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,80,2014,parbih,parbih_1_521,0
"006B001",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,31,2014,parbih,parbih_1_521,0
"006B001",PDP-NDP,8,2014,parbih,parbih_1_521,0
"006B001",SOCIJALISTIČKA PARTIJA,2,2014,parbih,parbih_1_521,0
"006B001",SRPSKA NAPREDNA STRANKA - SNS,1,2014,parbih,parbih_1_521,0
"006B001",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,0,2014,parbih,parbih_1_521,0
"006B001",SDA - STRANKA DEMOKRATSKE AKCIJE,0,2014,parbih,parbih_1_521,0
"006B001",KOMUNISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"006B001",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,0,2014,parbih,parbih_1_521,0
"006B001",STRANKA PRAVEDNE POLITIKE,0,2014,parbih,parbih_1_521,0
"006B001","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
"006B001",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),0,2014,parbih,parbih_1_521,0
"006B002",SDS-SRPSKA DEMOKRATSKA STRANKA,90,2014,parbih,parbih_1_521,0
"006B002",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,58,2014,parbih,parbih_1_521,0
"006B002",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,38,2014,parbih,parbih_1_521,0
"006B002",PDP-NDP,4,2014,parbih,parbih_1_521,0
"006B002",STRANKA PRAVEDNE POLITIKE,1,2014,parbih,parbih_1_521,0
"006B002",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,0,2014,parbih,parbih_1_521,0
"006B002",SOCIJALISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
