,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI ,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA ,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,NARODNA STRANKA RADOM ZA BOLJITAK,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno po BM:
,001A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,001A001,15,0,3,27,0,1,1,34,0,1,14,64,27,0,4,0,0,21,212
,001A002,20,0,3,21,1,0,1,63,2,0,34,85,17,0,3,2,0,37,289
,001A003,6,2,2,21,0,0,1,45,0,0,14,55,12,0,1,3,4,30,196
,001A004,22,1,0,18,0,0,0,75,0,0,9,70,21,1,0,1,0,23,241
,001A005,18,0,2,30,0,0,0,70,0,0,21,51,10,0,1,0,1,32,236
,001A006,20,0,0,48,0,0,1,77,3,0,28,57,21,0,2,0,1,51,309
,001A007,10,0,0,11,0,0,2,63,0,0,10,46,9,1,1,1,0,15,169
,001A008A,12,0,1,25,2,0,0,56,1,0,17,86,23,0,2,0,1,34,260
,001A008B,5,0,0,8,0,0,0,34,0,0,10,23,12,0,0,0,0,7,99
,001A008C,14,0,4,9,0,0,1,18,0,0,3,47,6,0,0,0,0,5,107
,001A009A,8,0,2,2,0,0,0,47,0,0,4,22,7,0,1,0,0,7,100
,001A009B,7,2,0,21,1,0,0,115,0,0,8,54,22,0,3,0,0,42,275
,001A010,20,0,1,4,0,1,1,90,1,0,3,96,11,0,1,2,0,14,245
,001A011,15,0,1,1,0,1,0,79,1,0,4,28,8,0,2,0,0,111,251
,001A012A,5,0,0,8,2,0,0,98,0,0,4,21,12,0,1,0,0,13,164
,001A012B,7,0,2,1,0,0,1,88,1,0,8,31,13,1,1,0,0,12,166
,001A013,4,0,0,13,0,0,0,173,1,0,3,11,4,0,1,0,1,7,218
,001A014A,8,0,0,7,1,0,0,141,2,0,8,18,1,0,1,0,0,56,243
,001A014B,2,0,1,4,0,0,0,60,0,0,2,1,1,0,1,0,0,13,85
,001A015A,4,0,0,8,0,0,1,80,1,0,1,19,13,0,0,2,0,25,154
,001A015B,8,0,1,7,1,1,0,85,0,0,5,17,3,0,0,1,0,12,141
,001A016A,12,0,1,10,0,0,1,129,0,0,7,11,6,0,0,0,0,26,203
,001A016B,9,0,1,11,0,0,0,90,0,0,9,39,5,1,0,0,0,28,193
,001A017,14,0,0,8,0,2,0,168,5,0,9,49,7,1,1,0,0,39,303
,001A018,47,0,1,2,0,0,0,116,3,0,2,28,11,0,1,0,0,28,239
