,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA ,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno za biračko mjesto:
,017A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,017A001,0,0,1,134,60,0,1,0,0,0,0,1,0,0,0,197
,017A002,2,2,51,19,1,1,3,0,78,154,29,0,17,0,3,360
,017A003,3,4,61,10,1,8,1,1,44,179,31,0,10,1,1,355
,017A004,6,0,45,44,32,14,1,0,44,69,46,4,5,0,2,312
,017A005,0,2,5,100,83,3,0,0,0,1,3,2,1,0,0,200
,017A006,0,0,9,72,152,43,0,0,4,1,3,5,1,0,3,293
,017A007,0,0,6,104,61,0,0,0,0,0,0,0,1,0,1,173
,017A008,0,1,7,63,96,5,0,0,1,0,0,17,0,0,1,191
,017A009,0,0,3,52,181,2,0,0,0,0,0,11,0,0,2,251
,017A010,1,8,85,1,0,3,1,0,56,216,22,1,45,2,2,443
,017A011,1,4,74,7,8,4,2,0,60,85,55,0,21,0,5,326
,017A012,8,12,66,7,17,0,3,0,81,173,33,1,13,0,2,416
,017A013,0,4,65,8,13,2,1,0,36,105,28,2,17,1,2,284
,017A014,0,1,8,53,71,6,0,0,0,1,1,4,0,0,1,146
,017A015,2,0,6,140,97,7,1,3,2,1,4,14,0,0,4,281
,017A016,0,0,1,70,65,3,1,0,0,0,0,1,0,0,0,141
,017A017,1,1,3,76,92,5,0,1,0,0,1,0,0,0,0,180
,017A018,0,0,4,146,37,7,0,0,0,0,0,1,0,0,3,198
,017A019,2,4,38,72,138,5,0,0,18,28,13,2,6,0,3,329
,017A020,0,1,1,131,81,0,0,0,3,0,0,1,0,0,2,220
,017A021,1,0,1,25,34,1,0,3,2,1,11,8,3,1,3,94
,017A022,8,3,52,4,22,1,0,0,51,82,32,2,1,0,2,260
,020A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,020A001,0,0,1,81,92,7,0,0,1,1,1,4,0,0,22,210
,020A002,0,2,2,81,121,3,0,0,1,0,1,10,0,0,24,245
,020A003,0,0,2,114,108,3,1,0,1,2,1,2,1,0,12,247
,020A004,1,0,3,38,144,5,0,0,1,0,0,1,0,0,9,202
,020A005,2,0,1,70,53,0,0,0,0,0,1,1,0,0,0,128
,020A006,0,0,2,89,80,0,0,0,1,0,1,2,0,0,8,183
,020A007,0,0,0,76,65,0,0,0,0,0,0,1,0,1,3,146
,022A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,022A001,0,0,35,42,45,1,4,0,46,143,21,3,5,1,2,348
,022A002,1,2,36,34,61,5,5,1,61,158,30,5,6,0,5,410
,022A003A,1,0,2,57,138,4,0,0,1,4,1,6,0,0,7,221
,022A003B,0,0,5,58,151,1,2,0,4,1,0,18,1,0,5,246
,022A004,0,1,3,126,126,0,0,0,2,0,5,4,0,0,0,267
,022A005,0,0,1,64,200,0,1,0,2,0,3,0,1,1,8,281
,022A006,0,1,4,289,105,0,0,0,0,0,2,11,0,0,3,415
,022A007,0,3,1,258,92,5,1,0,0,2,6,4,1,0,1,374
,022A008A,0,0,2,66,234,0,0,0,1,1,1,0,2,0,2,309
,022A008B,0,0,5,86,145,7,0,1,0,0,2,1,1,0,2,250
,022A009,0,1,0,69,169,3,0,0,0,0,0,7,0,0,2,251
,022A010,0,0,2,73,148,0,0,1,0,2,0,2,0,0,3,231
,022A011,0,0,0,73,264,0,0,0,1,1,0,17,0,0,0,356
,022A012,1,0,0,64,157,0,0,0,0,0,0,7,0,0,1,230
,022A013,0,1,6,18,185,3,0,0,1,0,8,13,1,0,3,239
,022A014,0,0,2,20,154,0,0,1,0,0,0,23,1,0,3,204
,022A015,1,4,30,54,81,6,2,1,43,134,28,1,1,0,2,388
,022A016,0,0,2,80,190,8,0,0,2,0,1,4,0,0,4,291
,022A017,0,0,2,46,143,3,0,0,0,1,1,11,0,0,1,208
,022A018,1,0,1,70,129,5,0,0,0,0,0,6,0,0,6,218
,022A019,0,0,3,184,102,7,0,0,0,1,1,7,1,0,2,308
,022A020,0,1,0,32,219,0,1,0,0,2,0,10,0,0,0,265
,022A021,3,5,26,39,60,4,0,0,50,144,30,1,8,1,7,378
,022A022,0,0,2,73,207,3,0,0,1,0,0,13,1,0,0,300
,022A023,0,0,1,59,254,2,1,0,0,1,6,2,0,0,4,330
,025A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,025A001,1,24,49,0,0,0,1,0,82,174,79,0,69,0,0,479
,025A002,4,23,61,0,0,2,0,0,103,108,109,0,29,0,4,443
,025A003A,0,6,22,1,0,5,1,0,98,88,36,0,7,0,0,264
,025A003B,3,6,48,0,0,0,1,0,125,131,25,0,7,0,0,346
,025A004,2,8,43,0,0,4,0,0,136,140,114,0,47,0,0,494
,025A005A,0,4,17,0,0,4,0,0,220,43,43,0,0,0,1,332
,025A005B,0,5,8,0,2,6,3,0,202,74,58,0,3,1,4,366
,025A006A,1,11,56,0,0,0,0,0,203,129,100,0,1,1,0,502
,025A006B,1,3,10,0,0,0,0,0,81,91,58,0,2,0,1,247
,025A007A,0,3,19,0,1,0,0,0,19,190,171,2,2,0,0,407
,025A007B,1,3,22,0,0,3,0,0,11,141,149,0,9,0,1,340
,025A008A,7,17,59,1,0,20,0,0,78,105,97,0,60,0,1,445
,025A008B,0,7,22,1,0,0,0,0,27,33,70,0,15,0,1,176
,025A009A,3,8,21,0,0,4,0,0,23,79,78,0,35,0,11,262
,025A009B,3,13,28,0,1,4,0,0,30,164,52,0,38,0,5,338
,025A010,2,15,51,0,0,3,1,0,53,110,74,0,16,0,2,327
,025A011,1,15,37,0,4,11,0,0,39,232,67,0,14,0,2,422
,025A012,4,20,41,0,2,14,2,0,39,167,61,1,23,0,7,381
,025A013A,2,12,51,0,0,2,1,0,43,164,90,0,66,0,2,433
,025A013B,3,9,18,0,0,0,0,1,19,67,43,0,23,0,0,183
,025A013C,4,25,48,0,2,2,0,2,27,92,23,0,129,0,2,356
,025A013D,2,5,29,0,0,3,0,0,29,53,18,1,39,0,0,179
,025A014,4,3,39,0,0,1,1,0,15,80,35,0,92,0,1,271
,025A015,3,24,42,0,0,8,0,0,39,85,136,0,78,1,1,417
,025A016,7,19,83,0,0,5,9,0,58,79,58,0,43,0,0,361
,025A017,2,20,72,0,3,12,3,2,43,93,51,0,19,1,0,321
,025A018,6,8,76,3,4,6,2,0,54,82,37,0,22,0,7,307
,025A019,0,18,72,0,0,9,3,0,86,96,83,0,9,1,2,379
,025A020,2,18,57,3,8,3,0,0,67,96,78,0,11,0,2,345
,025A021,1,14,67,0,0,5,1,0,31,137,104,0,14,1,1,376
,025A022,7,11,92,0,0,11,1,0,45,61,135,0,1,0,3,367
,025A023,1,7,38,0,0,13,0,0,15,81,31,0,96,0,0,282
,025A024,1,11,66,0,1,10,1,0,19,39,27,0,9,0,2,186
,025A025,0,1,1,1,108,8,0,0,0,15,107,0,0,0,42,283
,025A026,1,22,20,4,1,0,0,0,27,146,121,0,16,1,4,363
,025A027,2,5,37,0,0,6,0,0,34,112,39,0,10,0,2,247
,025A028,2,15,55,0,0,3,2,0,33,55,44,0,14,0,1,224
,025A029,8,5,98,0,0,4,0,0,61,93,61,0,29,0,6,365
,025A030,13,16,97,1,7,5,3,1,60,80,82,1,9,0,5,380
,025A031,7,10,111,7,4,7,3,0,80,245,135,0,40,0,0,649
,025A032,0,22,86,1,0,4,0,0,86,105,86,0,11,3,1,405
,025A033,2,24,51,0,2,4,2,0,62,212,56,1,12,0,4,432
,025A034,3,9,37,0,1,0,0,0,38,57,148,0,67,1,3,364
,025A035,0,9,71,0,0,5,3,0,35,41,42,0,20,1,2,229
,025A036,2,17,59,0,0,2,0,0,64,45,51,0,5,1,1,247
,025A037,4,10,100,1,10,5,5,1,69,73,67,0,28,0,7,380
,025A038,2,16,62,1,0,2,2,0,70,208,95,0,10,0,3,471
,025A039,0,0,30,364,59,0,1,0,1,0,1,0,0,0,1,457
,025A040,0,10,13,0,0,2,1,0,15,86,38,0,2,0,1,168
,025A041,1,2,31,3,45,1,0,1,13,43,92,0,7,1,12,252
,025A042,0,4,4,0,0,0,0,0,21,96,20,3,0,0,0,148
,025A043,3,5,41,0,0,1,0,0,53,72,139,1,19,1,2,337
,025A044,4,16,51,0,2,10,0,0,23,69,73,0,9,0,2,259
,036A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,036A001A,3,8,22,0,1,0,1,0,51,279,132,0,53,0,2,552
,036A001B,2,8,24,0,0,0,0,0,35,72,53,0,22,0,4,220
,036A001C,4,14,39,0,1,2,0,0,35,247,115,0,43,0,1,501
,036A001D,4,12,60,0,0,2,7,0,48,257,184,0,102,2,6,684
,036A001E,3,0,22,0,0,0,3,0,27,89,59,0,42,0,0,245
,036A001F,0,11,13,0,0,0,2,0,31,159,64,0,55,1,3,339
,036A002,2,20,17,0,0,0,1,0,36,254,46,3,112,0,1,492
,036A003A,0,5,12,0,1,1,1,0,52,146,23,0,83,1,0,325
,036A003B,3,13,50,0,0,5,2,0,52,184,74,1,160,4,3,551
,036A003C,2,7,12,0,0,0,1,0,14,86,46,0,106,1,3,278
,036A004A,7,12,23,0,0,0,3,0,70,175,178,1,68,0,4,541
,036A004B,3,7,7,0,0,0,3,0,80,194,93,0,72,3,0,462
,036A005A,4,4,15,0,0,0,0,0,33,127,80,0,18,1,2,284
,036A005B,3,4,17,0,1,1,0,0,28,132,74,0,13,0,0,273
,044A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,044A001,27,22,38,0,0,1,4,0,23,120,139,0,9,1,13,397
,044A002,35,36,49,1,0,4,4,0,19,124,120,1,9,11,23,436
,044A003,0,1,17,0,0,0,0,0,5,42,50,0,0,0,7,122
,044A004,6,9,53,0,0,1,6,0,63,144,34,0,5,0,5,326
,044A005,10,7,40,1,1,0,5,0,35,63,30,0,1,2,5,200
,044A006,7,10,28,0,0,0,47,0,7,92,34,0,7,1,2,235
,044A007,1,8,9,1,0,2,2,0,8,90,70,0,9,2,31,233
,044A008,11,21,103,0,0,7,39,1,78,74,83,0,15,5,1,438
,044A009,3,14,78,0,0,3,43,0,53,72,101,0,15,7,7,396
,044A010,3,7,75,1,0,20,37,0,57,86,82,0,16,5,4,393
,044A011,3,11,69,0,0,3,12,0,51,89,107,0,10,1,7,363
,044A012,5,27,83,0,0,8,21,1,59,60,111,1,11,0,3,390
,044A013,6,25,80,0,0,2,15,0,59,102,70,0,29,5,2,395
,044A014,5,12,46,0,0,1,13,0,33,77,64,0,18,0,2,271
,044A015,3,29,54,0,0,2,20,0,39,71,63,1,9,0,7,298
,044A016,4,43,66,0,1,5,27,0,55,49,105,0,9,5,2,371
,044A017,3,28,83,2,0,2,44,0,68,64,81,0,41,13,10,439
,044A018,3,22,87,0,0,5,47,1,55,111,105,0,16,1,5,458
,044A019,11,22,28,0,0,2,7,0,41,52,179,0,2,1,10,355
,044A020,11,11,53,0,0,12,17,0,50,41,65,0,10,12,2,284
,044A021,13,20,50,0,0,3,14,2,53,79,92,0,13,9,0,348
,044A022,4,14,43,0,0,2,4,0,16,72,36,0,15,13,11,230
,044A023,4,119,23,0,0,0,0,0,31,160,37,3,26,2,18,423
,044A024,1,38,73,0,0,0,5,0,39,197,118,1,16,0,7,495
,044A025,2,18,83,0,0,2,1,1,42,117,139,1,24,0,7,437
,044A026,1,5,25,0,0,0,1,0,11,120,382,1,16,3,3,568
,044A027,2,8,16,0,0,0,3,0,8,140,332,0,5,1,5,520
,044A028,18,2,30,0,0,0,4,0,13,98,413,0,8,0,8,594
,044A029A,5,20,202,0,0,3,6,0,34,93,68,0,21,0,4,456
,044A029B,4,13,148,0,0,2,3,0,27,65,42,0,7,2,8,321
,044A030,6,6,38,0,0,1,2,0,18,25,23,0,6,0,0,125
,044A031,7,8,34,0,0,0,3,1,31,70,39,0,30,0,6,229
,044A032A,2,29,58,0,0,0,2,0,29,120,60,0,6,2,1,309
,044A032B,2,20,61,0,0,4,3,0,38,83,60,1,0,3,4,279
,044A033,2,16,106,0,0,1,4,0,53,105,31,1,12,4,3,338
,044A034,3,12,99,0,0,1,4,0,67,75,57,0,6,3,3,330
,044A035,6,36,104,0,0,1,6,0,32,87,42,0,2,1,4,321
,044A036,2,12,79,0,1,0,3,0,22,92,166,0,7,4,5,393
,044A037,3,12,43,0,0,0,4,0,23,181,67,0,2,13,4,352
,044A038,3,6,52,0,0,0,6,0,28,102,100,0,6,5,2,310
,044A039A,14,14,67,0,0,0,11,0,70,78,65,0,12,2,10,343
,044A039B,3,17,68,0,0,2,10,0,53,84,42,0,21,6,16,322
,044A039C,0,13,47,0,0,1,6,0,46,32,42,0,5,3,5,200
,044A040,3,6,14,0,0,0,2,0,8,233,29,1,2,0,1,299
,044A041,6,4,38,0,0,0,0,0,20,161,160,0,9,4,2,404
,044A042,20,16,62,0,0,1,3,0,34,105,84,0,37,7,20,389
,044A043,4,22,31,0,0,3,12,0,29,111,81,0,17,1,33,344
,044A044,4,5,28,0,0,5,2,0,19,313,8,0,15,2,4,405
,044A045,3,9,49,0,1,0,8,0,42,345,44,0,13,1,4,519
,044A046,2,6,69,0,0,0,3,1,54,389,52,1,18,0,3,598
