,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,RDS-REGIONALNI DEMOKRATSKI SAVEZ TUZLA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,047A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,047A001A,1,3,27,10,39,5,6,4,0,0,0,16,20,20,0,0,8,1,0,160
,047A001B,1,7,25,20,92,2,9,1,0,1,0,30,12,25,1,0,3,2,0,231
,047A002,1,9,63,11,40,5,7,2,6,3,0,36,38,36,1,0,4,2,0,264
,047A003,1,15,87,0,1,10,3,11,0,2,7,104,73,61,1,1,13,2,3,395
,047A004,5,20,129,0,4,5,3,11,2,3,0,105,104,48,1,1,19,1,6,467
,047A005,4,31,79,1,1,2,7,8,1,1,0,80,71,52,0,0,20,3,5,366
,047A006,6,12,108,2,8,14,4,14,0,7,6,92,81,47,3,1,19,6,3,433
,047A007,4,24,72,1,1,7,2,11,1,4,1,71,100,51,2,1,13,0,7,373
,047A008,1,15,112,3,1,23,1,10,1,8,0,99,72,40,1,1,17,1,4,410
,047A009A,1,10,53,0,1,2,3,2,1,1,0,38,59,21,1,0,20,0,1,214
,047A009B,1,6,48,0,1,8,1,1,1,1,0,53,106,25,1,0,16,1,1,271
,047A010,3,11,84,0,0,1,4,2,3,4,0,121,120,39,1,3,19,2,5,422
,047A011,1,15,92,0,0,1,3,9,0,14,0,64,100,40,0,0,18,0,4,361
,047A012,6,8,41,0,0,8,3,2,0,2,0,35,44,17,0,1,10,1,1,179
,047A013,8,11,76,0,0,1,1,0,0,3,1,65,228,57,1,2,9,1,3,467
,047A014,5,33,70,0,0,5,4,3,1,6,0,124,200,52,3,10,14,5,9,544
,047A015,5,8,34,0,0,0,6,3,1,1,0,51,183,28,0,0,4,0,2,326
,047A016A,2,4,36,0,0,2,6,0,0,0,0,122,128,29,0,0,18,0,15,362
,047A016B,1,13,43,0,0,5,12,0,1,0,0,155,85,26,1,0,26,0,8,376
,047A016C,0,10,34,0,0,1,1,0,0,0,0,114,119,19,4,0,17,0,6,325
,047A016D,1,3,19,0,0,1,6,0,2,0,0,78,85,29,0,0,10,0,2,236
,047A017,2,7,32,0,1,1,5,0,0,0,0,32,155,72,3,0,47,1,2,360
,047A018A,0,11,62,0,1,1,2,0,0,0,0,42,142,24,2,0,86,1,1,375
,047A018B,2,13,39,0,0,1,2,0,0,1,0,47,125,17,1,1,84,0,1,334
,047A018C,3,20,48,0,0,0,4,3,0,0,0,60,157,25,1,1,96,1,2,421
,047A018D,0,12,20,0,0,1,0,0,0,3,0,20,50,10,0,1,27,0,1,145
,047A019A,4,14,47,0,0,1,7,0,0,1,0,79,182,38,0,3,22,0,1,399
,047A019B,7,23,74,0,0,0,0,0,5,1,0,73,226,17,1,0,20,0,3,450
,047A019C,2,19,60,0,0,0,3,2,0,1,0,62,136,22,1,1,12,0,1,322
,047A020,7,12,82,0,0,2,2,1,1,2,1,93,94,23,2,1,26,5,2,356
,047A021,8,17,65,0,0,5,5,1,0,2,1,123,89,26,0,5,31,3,2,383
,047A022,8,17,71,0,0,2,4,0,1,0,0,106,139,51,7,3,13,3,0,425
,047A023A,2,7,61,0,0,5,5,1,2,1,0,108,240,21,5,0,6,2,1,467
,047A023B,5,27,37,0,0,3,2,2,0,2,0,49,212,15,3,1,0,2,1,361
,047A024A,3,17,70,0,0,1,1,1,4,1,0,87,123,37,0,2,99,0,1,447
,047A024B,2,9,45,0,0,1,4,0,0,0,0,22,104,12,0,0,84,0,0,283
,047A025,0,13,26,0,0,0,0,2,0,1,0,27,122,17,0,0,11,2,1,222
,047A026,7,27,71,0,0,2,6,2,0,3,0,101,127,39,2,2,3,0,2,394
,047A027A,1,54,53,0,0,2,1,1,0,0,0,58,210,27,0,1,51,1,2,462
,047A027B,6,88,78,0,0,4,7,0,1,1,0,64,234,28,1,1,30,2,2,547
,047A027C,0,3,9,0,0,1,0,0,0,0,0,10,41,11,0,0,9,0,0,84
,047A027D,2,36,45,0,0,0,1,0,0,1,0,33,134,14,0,0,20,0,0,286
,047A028,5,13,107,0,0,3,2,7,0,2,0,69,102,43,1,0,10,0,3,367
,047A029,1,25,36,0,0,0,14,2,0,0,0,28,92,15,9,0,8,0,1,231
,047A030,1,13,48,0,0,0,1,0,0,0,0,73,226,24,1,0,11,0,2,400
,047A031,3,17,61,0,0,2,7,0,1,12,0,97,154,35,0,0,64,0,6,459
,047A032,0,0,0,0,0,0,121,0,0,0,10,2,0,10,1,0,0,0,0,144
,047A033,1,33,19,0,0,2,3,0,0,0,0,31,150,29,0,0,8,2,0,278
,047A034,0,0,0,0,1,2,7,0,0,0,1,2,21,2,0,0,1,0,0,37
,047A035,0,0,0,0,0,1,37,0,0,0,21,1,0,14,0,0,8,0,0,82
,047A036,0,0,0,0,1,2,4,1,0,0,34,4,0,12,0,0,0,0,1,59
,047A037,2,24,98,1,6,5,1,8,0,0,1,91,111,49,0,0,27,4,3,431
,047A038,3,10,50,1,1,0,4,1,1,1,0,89,74,29,2,2,38,5,2,313
,047A039,10,8,52,0,0,0,6,0,0,1,0,64,163,58,13,0,45,4,2,426
,047A040,0,14,94,0,1,15,5,13,0,3,1,82,92,60,0,1,16,0,5,402
