,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",NARODNA STRANKA RADOM ZA BOLJITAK,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,055A001A,4,24,35,1,0,0,0,30,316,37,0,0,13,0,4,464
,055A001B,1,24,12,0,0,9,0,24,137,14,0,0,15,0,0,236
,055A001C,1,13,7,0,0,1,1,5,169,4,0,0,12,0,0,213
,055A002A,2,49,21,0,0,10,0,61,197,45,0,0,45,0,2,432
,055A002B,3,36,18,0,0,13,0,33,134,11,0,0,30,0,1,279
,055A003,5,31,41,0,0,37,0,31,261,8,0,0,31,0,0,445
,055A004,1,4,18,0,0,3,0,47,308,6,1,1,11,0,0,400
,055A005,0,19,21,1,0,21,0,24,183,54,0,2,17,0,0,342
,055A006,5,9,16,0,0,7,0,12,174,2,0,0,3,1,3,232
,078A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,078A001,2,4,24,0,1,0,0,15,315,37,0,0,2,0,0,400
,078A002,0,7,22,2,3,0,1,47,252,75,0,0,4,1,1,415
,078A003,3,10,39,0,1,1,0,45,259,47,0,0,8,0,1,414
,078A004,2,6,54,0,1,1,0,44,196,39,0,3,4,0,2,352
,078A005,2,7,34,0,3,0,0,42,187,35,0,0,6,0,2,318
,078A006,4,7,50,0,2,1,0,62,276,48,7,0,4,0,2,463
,078A007,1,3,21,0,0,0,0,13,389,55,0,0,2,0,0,484
,078A008,0,6,7,0,0,0,0,30,424,13,0,0,5,0,1,486
,078A009,0,8,19,1,3,3,0,32,218,54,0,0,2,0,1,341
,078A010,5,2,9,0,0,1,0,27,279,44,0,0,4,0,0,371
,078A011A,4,3,11,1,0,1,0,16,377,62,1,0,4,0,0,480
,078A011B,3,0,23,0,0,0,0,14,314,56,0,0,0,0,1,411
,078A012A,2,6,16,0,0,0,0,16,572,19,0,0,0,0,0,631
,078A012B,0,8,19,0,0,0,0,20,698,23,0,0,2,0,0,770
,078A012C,1,7,7,0,0,1,0,14,415,19,0,0,1,0,0,465
,078A013,2,9,56,1,1,1,0,57,347,66,0,2,8,0,4,554
,078A014,0,0,1,0,0,0,0,6,170,1,0,0,0,0,0,178
,078A015,1,5,20,0,0,0,0,39,627,26,0,0,1,0,4,723
,078A016,1,0,10,0,0,0,0,41,580,22,0,0,9,0,0,663
,078A017,3,12,22,0,0,0,0,24,636,30,0,1,1,1,0,730
,078A018,0,0,3,0,0,0,0,0,197,3,0,0,1,0,0,204
,078A019,2,23,35,0,0,0,0,37,425,28,3,0,7,0,0,560
,078A020,0,4,24,0,0,0,0,20,444,44,0,0,8,0,1,545
,078A021,0,6,19,0,0,1,0,43,433,5,0,0,0,0,1,508
,078A022,2,1,6,0,0,0,0,3,224,16,0,0,1,0,0,253
,078A023,1,3,21,0,0,1,0,41,482,105,0,1,6,0,0,661
,078A024,3,8,41,1,1,0,1,83,387,53,0,0,4,0,0,582
,078A025,0,4,22,0,0,3,0,12,408,16,0,0,4,0,1,470
,078A026,0,5,16,0,0,0,0,35,472,26,0,0,1,0,1,556
,078A027,1,3,11,0,0,0,0,9,288,31,0,0,7,0,0,350
,078A028,2,6,36,0,4,0,1,28,220,38,0,0,10,0,1,346
,078A029,0,5,21,0,0,0,0,13,131,13,0,0,5,0,1,189
,078A030,0,4,2,0,0,0,0,2,181,7,0,0,0,0,0,196
,078A031,2,9,25,1,3,3,0,42,241,55,0,0,7,1,2,391
,078A032,0,1,5,0,0,0,0,6,249,1,0,0,0,0,0,262
,079A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,079A001,4,13,11,0,0,6,0,38,180,28,1,1,40,1,1,324
,079A002,2,7,4,0,1,16,0,24,182,33,0,0,22,1,3,295
,079A003,4,10,9,0,0,9,0,25,277,48,0,0,51,0,8,441
,079A004,0,5,6,0,0,3,0,7,140,57,0,0,10,1,5,234
,079A005A,1,11,7,0,0,8,0,16,204,63,0,2,4,0,3,319
,079A005B,0,4,5,0,0,2,0,20,158,68,0,1,15,0,4,277
,079A006,0,18,1,0,0,2,0,21,210,72,0,0,1,0,0,325
,079A007,3,13,6,0,0,17,0,12,347,43,0,0,13,0,0,454
,079A008A,3,5,3,0,0,8,0,17,176,75,1,1,7,1,1,298
,079A008B,3,13,3,0,1,38,0,8,136,126,0,3,8,0,2,341
,079A009A,1,2,23,0,1,94,0,26,84,48,2,0,2,0,2,285
,079A009B,2,7,16,0,0,121,0,26,94,53,0,0,7,1,4,331
,079A010,10,3,12,0,0,8,0,14,69,98,0,0,2,1,2,219
,079A011A,0,4,14,0,1,12,0,34,186,143,0,1,2,0,1,398
,079A011B,1,8,11,0,0,10,0,32,151,138,1,0,6,2,0,360
,079A012,0,12,10,0,0,12,0,5,117,79,0,1,2,0,1,239
,079A013,1,11,28,0,0,34,0,36,195,151,0,1,29,0,8,494
,079A014,3,8,50,0,0,25,0,27,112,82,0,0,15,0,1,323
,079A015,9,11,53,2,0,20,0,33,86,78,0,0,31,0,8,331
,079A016,7,10,48,0,0,12,0,24,123,59,0,0,18,0,2,303
,079A017,3,19,31,0,0,5,1,28,133,33,0,1,10,0,18,282
,079A018,7,21,59,0,5,19,0,26,122,74,0,2,22,1,29,387
,079A019,5,11,56,1,4,15,0,34,122,49,0,1,18,1,13,330
,079A020,5,11,26,0,1,102,0,30,93,77,0,0,11,0,8,364
,079A021,4,32,41,0,0,7,0,61,95,34,0,0,12,0,0,286
,079A022,3,28,49,0,0,4,0,71,140,49,1,1,14,1,4,365
,079A023,2,11,24,0,0,20,0,68,167,68,0,1,37,1,2,401
,079A024,4,12,21,0,0,14,0,37,215,34,0,0,8,1,2,348
,079A025,4,11,31,0,0,1,0,36,245,54,0,0,14,0,1,397
,079A026,0,17,38,0,6,8,0,49,149,79,0,1,7,1,1,356
,079A027,3,14,41,4,32,9,0,82,147,76,2,0,9,1,2,422
,079A028,0,24,30,0,0,1,0,93,109,61,0,0,4,0,5,327
,079A029,3,25,21,1,0,4,0,92,168,32,0,0,10,1,11,368
,079A030,2,4,59,17,118,1,0,26,39,35,0,0,3,0,1,305
,079A031,5,18,47,1,18,36,0,29,138,47,0,0,12,0,4,355
,079A032,5,19,31,2,23,24,0,36,68,35,1,0,5,0,0,249
,079A033,7,25,42,0,4,9,0,59,87,125,1,1,35,0,9,404
,079A034,7,20,68,0,0,13,0,38,151,86,0,0,27,0,5,415
,079A035A,2,18,45,0,0,13,0,25,144,92,0,0,14,0,2,355
,079A035B,4,9,28,1,0,4,0,22,133,59,1,0,18,0,3,282
,079A036,3,28,45,0,0,1,0,44,68,59,9,0,73,0,9,339
,079A037,7,32,42,0,0,25,0,75,154,58,3,0,133,0,4,533
,079A038,6,8,37,0,0,1,0,36,102,43,0,0,70,0,7,310
,079A039,4,16,40,0,0,6,0,39,114,43,1,0,86,0,1,350
,079A040,8,26,70,0,0,13,0,64,218,43,1,0,65,1,0,509
,079A041A,5,24,54,0,0,7,0,47,172,28,0,0,53,0,1,391
,079A041B,6,27,44,0,0,8,0,44,167,31,3,1,42,0,2,375
,079A042,2,3,30,11,72,13,1,18,17,51,0,0,4,0,2,224
,079A043,1,4,18,0,0,4,0,38,80,68,0,0,21,1,3,238
,079A044,5,8,38,0,14,10,0,49,140,118,0,0,27,1,1,411
,079A045,1,19,30,0,0,6,0,47,126,63,0,1,27,5,9,334
,079A046,10,9,29,0,0,1,0,56,66,40,0,0,115,1,3,330
,079A047,7,17,22,0,0,2,0,57,126,40,0,0,125,0,4,400
,079A048A,5,15,18,0,0,2,0,45,77,39,1,0,82,0,0,284
,079A048B,4,18,24,0,0,2,0,43,104,41,0,0,88,0,0,324
,079A049,2,21,33,1,0,0,0,40,117,58,1,0,85,1,5,364
,079A050,5,17,31,10,66,10,0,23,77,22,0,0,3,2,8,274
,079A051,3,21,79,4,32,11,0,67,99,54,1,0,22,1,4,398
,079A052A,1,20,36,1,6,6,0,38,85,26,0,1,14,0,1,235
,079A052B,5,27,52,0,4,15,0,56,107,44,0,3,17,0,4,334
,079A052C,4,31,21,0,0,14,0,25,56,19,0,1,19,0,1,191
,079A053,3,15,32,0,0,13,0,23,94,47,1,0,6,1,6,241
,079A054,3,40,21,1,7,10,0,33,103,39,2,0,14,0,8,281
,079A055,6,89,40,2,2,25,0,56,131,53,1,3,20,0,5,433
,079A056A,4,17,38,1,0,12,0,44,104,40,2,2,10,0,5,279
,079A056B,3,26,28,2,0,11,0,32,113,49,0,1,5,0,5,275
,079A056C,6,16,39,0,1,9,0,51,72,45,0,2,6,0,7,254
,079A057,3,13,23,0,0,5,0,28,107,51,0,0,9,0,3,242
,079A058,1,12,21,0,3,7,0,40,69,25,0,2,12,0,4,196
,079A059,2,9,33,1,8,12,0,55,52,41,0,0,9,0,4,226
,079A060,2,15,35,0,0,13,0,50,51,27,0,0,12,0,4,209
,079A061,2,11,68,2,21,16,0,97,64,75,0,0,13,2,8,379
,079A062,3,2,30,2,9,7,0,66,54,60,0,0,27,0,12,272
,079A063A,7,7,44,3,15,8,0,96,94,82,1,1,26,0,9,393
,079A063B,1,2,42,1,12,8,1,54,60,58,0,0,20,0,9,268
,079A064A,1,16,65,0,13,7,0,53,59,28,0,1,16,0,6,265
,079A064B,4,10,38,4,16,15,0,38,70,35,0,0,24,0,4,258
,079A065,3,16,39,1,15,10,0,58,63,68,0,1,23,0,16,313
,079A066,1,14,36,1,0,1,0,74,68,27,1,1,10,0,8,242
,079A067,1,7,44,4,14,6,0,76,99,59,0,0,19,0,6,335
,079A068A,3,11,61,0,3,3,2,49,53,22,1,0,4,1,3,216
,079A068B,0,8,25,2,6,2,0,24,29,17,0,0,5,0,1,119
,079A069,6,8,45,3,28,6,0,49,30,28,0,0,5,0,6,214
,079A070,2,9,54,0,12,14,0,93,93,78,0,0,32,3,13,403
,079A071,3,11,43,4,26,1,0,55,74,26,0,0,13,1,7,264
,080A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,080A001,2,18,30,0,0,7,0,50,110,31,0,0,40,0,0,288
,080A002,3,16,36,0,0,2,0,33,120,55,1,1,35,2,1,305
,080A003,4,20,51,0,0,3,0,22,154,56,3,0,24,2,1,340
,080A004,3,14,45,0,1,7,0,26,121,59,0,1,28,2,0,307
,080A005A,0,27,33,0,0,3,0,17,162,23,0,3,42,2,0,312
,080A005B,3,18,20,0,0,4,0,31,121,21,0,5,25,0,0,248
