,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,NARODNA STRANKA RADOM ZA BOLJITAK,NOVI POKRET BIH,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,037A001,2,5,75,0,0,0,10,0,33,83,85,0,1,6,4,304
,037A002,5,6,56,0,0,0,1,0,36,104,113,0,0,20,5,346
,037A003,2,8,138,0,0,0,8,0,26,114,116,0,2,19,0,433
,037A004,5,4,98,0,0,0,3,0,63,142,88,0,1,11,4,419
,037A005,12,9,77,1,0,0,38,1,44,94,109,0,1,20,1,407
,037A006,4,9,61,0,1,0,5,0,40,145,116,0,0,21,2,404
,039A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,039A001,8,9,66,0,0,0,1,1,81,104,39,0,0,12,4,325
,039A002,11,8,38,7,38,0,2,0,50,233,58,0,2,11,0,458
,039A003,12,32,61,1,2,0,1,1,76,134,59,0,3,21,5,408
,039A004A,6,10,29,0,0,0,0,0,84,101,18,0,0,9,1,258
,039A004B,8,9,20,0,0,0,0,1,34,127,30,0,0,26,1,256
,039A005A,12,27,23,0,0,0,2,1,33,139,30,0,1,37,1,306
,039A005B,7,12,27,0,0,0,0,0,50,156,13,2,0,19,7,293
,039A006,7,15,24,0,0,1,1,2,29,85,83,0,1,6,0,254
,039A007,9,9,72,10,27,0,1,0,58,56,152,0,0,5,1,400
,039A008,4,11,82,7,6,0,3,0,67,85,131,0,1,15,0,412
,039A009,4,11,39,3,28,0,0,1,38,62,75,0,1,11,0,273
,039A010A,7,18,57,0,2,0,0,1,62,154,67,0,0,26,2,396
,039A010B,10,9,75,0,0,0,0,0,27,121,57,0,0,30,0,329
,039A011,8,51,35,0,0,0,1,0,29,110,78,0,0,16,5,333
,039A012A,5,7,46,0,15,1,1,2,13,163,81,0,1,29,4,368
,039A012B,3,7,65,0,0,0,0,0,27,150,92,0,0,19,7,370
,039A013A,14,15,32,0,0,0,4,0,37,309,26,0,0,12,25,474
,039A013B,7,11,15,0,0,0,1,0,22,165,7,0,0,18,1,247
,039A014,8,7,125,0,0,0,1,2,43,121,112,0,2,5,2,428
,039A015,12,28,53,3,0,0,1,0,36,220,32,1,2,56,5,449
,039A016A,8,16,12,3,10,0,3,0,39,128,23,1,0,6,2,251
,039A016B,3,7,13,9,2,0,1,0,28,128,23,0,0,11,2,227
,039A017A,19,29,12,0,0,0,1,0,48,240,40,0,2,29,2,422
,039A017B,6,22,21,0,0,0,0,0,28,111,19,0,1,14,2,224
,039A018,9,21,58,0,1,0,2,1,41,165,19,0,0,12,10,339
,039A019A,15,7,39,0,0,0,4,1,44,125,39,1,1,9,5,290
,039A019B,9,21,45,1,0,0,6,1,39,137,46,0,2,10,0,317
,039A020,2,16,12,0,1,0,0,0,25,348,51,0,1,58,8,522
,039A021A,0,3,16,1,0,1,4,0,41,184,207,0,0,33,1,491
,039A021B,5,14,11,3,15,0,2,0,30,141,132,1,1,26,0,381
