
,BM,AGIĆ SUAD,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",NARODNA STRANKA RADOM ZA BOLJITAK,NOVI POKRET BIH,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA ZA BOSNU I HERCEGOVINU,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,094A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,094A001,9,18,5,18,8,5,0,68,174,17,0,54,2,378
,094A002,1,5,7,23,0,0,0,56,79,31,0,10,3,215
,094A003,1,6,5,19,0,0,0,98,85,11,0,10,5,240
,094A004,1,4,1,9,0,0,1,28,284,8,0,7,0,343
,094A005,7,24,8,85,44,1,2,68,95,98,2,20,8,462
,094A006,1,3,4,18,88,0,0,19,14,8,0,0,1,156
,094A007,13,13,17,34,0,4,0,104,185,19,0,23,5,417
,094A008,1,6,9,23,99,1,0,35,21,24,1,4,1,225
,094A009,11,22,6,57,20,3,1,88,129,107,0,21,5,470
,094A010,0,74,0,11,2,0,0,83,109,24,0,62,0,365
,094A011,0,85,2,2,0,0,0,20,84,0,0,25,0,218
,094A012,21,29,24,68,18,2,2,104,104,55,0,17,16,460
,094A013,2,37,24,65,1,3,0,115,197,38,1,19,4,506
,094A014A,0,25,6,36,9,6,0,42,106,21,0,30,1,282
,094A014B,1,10,15,32,1,16,0,31,70,11,0,13,2,202
,094A015,5,25,6,57,16,2,0,76,134,73,0,32,6,432
,094A016,2,27,6,31,0,0,1,217,186,46,0,4,5,525
,094A017,1,11,3,7,0,0,0,46,57,4,0,1,2,132
,094A018,2,6,7,48,4,1,0,34,119,21,0,8,0,250
,094A019,0,17,5,9,0,0,0,27,80,16,0,12,0,166
,094A020,1,20,7,38,2,5,0,54,94,48,0,25,2,296
,094A021,7,0,4,29,123,4,0,36,38,24,4,4,2,275
,094A022,1,36,12,52,19,9,0,97,143,46,0,25,5,445
,094A023,3,1,8,15,0,0,0,28,72,89,0,8,2,226
,094A024,0,2,4,8,89,1,0,13,15,9,2,5,2,150
,094A025,3,9,9,24,1,0,0,32,77,36,0,4,0,195
,094A026,0,190,5,5,0,0,0,116,248,37,0,8,0,609
,094A027,4,91,1,10,0,3,0,27,173,6,0,22,0,337
,094A028,5,36,18,25,0,1,0,63,147,48,1,8,2,354
,094A029,6,15,7,9,58,2,1,17,49,51,1,2,1,219
,094A030,1,14,12,77,9,10,0,91,98,52,0,19,2,385
,094A031,5,21,16,49,0,1,0,63,169,26,1,5,1,357
,094A032,4,42,4,21,7,8,0,31,84,16,0,16,1,234
,094A033,0,30,0,2,0,0,0,9,125,7,0,9,0,182
,094A034,0,19,1,8,0,0,0,17,74,1,0,2,0,122
,094A035,0,32,38,72,7,1,0,57,233,70,0,4,3,517
