,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,"STRANKA ""NOVA SRPSKA"" - NS",STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,130A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,130A001,1,43,85,0,0,0,16,3,0,0,0,73,131,29,1,0,3,3,7,1,396
,130A002,4,14,71,0,0,2,2,7,0,0,0,104,103,28,4,1,1,7,6,2,356
,130A003A,5,39,79,0,0,1,7,7,3,0,0,78,153,21,3,1,4,11,1,5,418
,130A003B,5,28,62,0,0,0,2,5,1,0,0,52,128,6,1,0,1,6,2,2,301
,130A004,5,36,37,2,0,1,0,6,0,3,1,62,134,46,1,0,8,9,1,2,354
,130A005,3,19,32,0,0,1,7,1,0,0,0,49,82,14,2,0,0,5,7,0,222
,130A006,3,18,32,0,0,1,12,7,0,0,0,60,64,18,0,0,0,15,6,3,239
,130A007,12,19,107,1,0,0,5,4,1,0,0,27,117,19,1,0,0,5,1,2,321
,130A008,0,45,105,2,2,1,40,8,0,0,0,62,122,25,2,0,4,24,14,4,460
,130A009,2,22,124,0,0,0,2,0,1,1,0,51,109,40,0,0,6,11,1,0,370
,130A010,5,42,115,1,0,2,24,7,0,1,1,100,156,53,2,0,4,11,38,1,563
,130A011,5,36,83,2,4,4,15,5,0,0,1,66,121,46,5,0,7,23,13,4,440
,130A012,5,28,91,2,0,0,17,22,3,1,1,66,141,47,5,0,7,28,15,3,482
,130A013,1,33,62,0,0,2,7,1,0,0,1,57,88,3,0,1,10,3,0,0,269
