,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NOVI POKRET BIH,PRVA STRANKA,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,065A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,065A001,6,0,11,48,56,61,7,1,2,0,0,43,28,26,1,0,1,4,3,298
,065A002,2,0,1,16,53,81,1,2,1,1,0,29,29,20,2,0,0,0,1,239
,065A003,2,0,5,20,48,117,3,0,4,0,0,32,24,28,0,0,5,0,3,291
,065A004,5,1,11,44,22,31,1,1,1,0,0,64,68,33,2,0,14,2,1,301
,065A005,10,0,7,34,42,91,1,1,0,0,0,43,39,27,2,2,2,1,1,303
,065A006,6,3,4,34,49,80,0,1,4,0,0,39,55,38,2,0,2,3,4,324
,065A007,4,0,3,13,92,143,1,0,5,0,0,14,39,5,4,0,1,0,3,327
,065A008,1,1,10,53,60,66,1,1,3,0,0,48,30,30,0,4,13,1,3,325
,065A009,10,2,9,45,20,30,1,1,2,0,0,71,68,34,2,0,4,0,2,301
,065A010,3,0,12,24,34,61,2,0,0,0,0,10,77,17,0,0,3,0,1,244
,065A011,1,0,2,6,9,26,0,0,0,0,0,9,9,4,0,0,1,1,0,68
,065A012A,11,3,9,40,0,3,0,0,0,0,0,63,202,101,3,1,12,0,2,450
,065A012B,8,4,8,15,0,0,0,0,2,0,0,67,124,77,2,1,5,0,2,315
,065A013,22,0,13,16,29,56,0,0,8,0,0,36,212,25,5,0,12,0,0,434
,065A014,6,0,4,20,27,33,2,2,1,0,0,43,119,23,0,0,3,2,5,290
,065A015,5,0,13,20,2,2,0,0,0,0,1,41,407,69,0,0,3,0,1,564
,065A016,4,0,8,7,77,113,2,0,2,0,0,28,89,20,0,0,7,0,1,358
