,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,NARODNA STRANKA RADOM ZA BOLJITAK,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukpuno
,125A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,125A001,1,8,12,71,137,1,19,0,26,62,20,6,3,0,0,366
,125A002,0,3,2,130,185,2,32,0,1,18,3,3,0,0,4,383
,125A003,0,16,24,40,55,0,5,0,31,121,31,1,14,0,2,340
,125A004,0,6,0,63,50,1,4,0,14,30,7,6,0,0,1,182
,125A005,0,2,0,25,25,0,3,0,0,18,0,0,0,0,0,73
,125A006,0,3,1,86,128,9,0,0,0,0,0,10,0,0,0,237
,125A007,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,22
,125A008,0,0,2,4,15,0,0,0,0,3,0,0,0,0,0,24
,125A009,0,0,2,179,157,1,1,0,0,2,0,3,0,0,2,347
,125A010,0,8,5,4,24,10,1,0,17,88,12,3,2,0,0,174
,125A011,0,0,0,126,143,0,14,0,1,5,0,6,0,0,0,295
,125A012,0,7,0,50,37,0,0,0,10,24,1,3,1,0,0,133
,125A013,1,10,6,0,0,0,4,0,6,71,1,0,4,0,0,103
,125A014,2,10,3,2,1,0,0,0,4,73,5,1,4,0,0,105
,125A015,0,0,1,31,113,0,0,0,2,1,0,5,6,0,0,159
,125A016,0,0,4,16,54,0,2,0,0,5,0,9,1,0,0,91
,125A017A,0,0,0,104,153,0,0,0,0,0,0,37,0,0,0,294
,125A017B,0,0,1,135,147,1,0,0,0,0,0,13,0,0,0,297
,125A018,0,4,0,101,97,0,0,0,1,12,1,11,3,0,0,230
,125A019,0,0,0,92,128,0,2,0,0,8,0,11,1,0,1,243
,125A020,0,3,0,143,134,0,7,0,1,18,1,2,1,0,0,310
,125A021,0,0,0,118,117,0,25,0,2,7,4,0,0,0,0,273
,125A022,0,0,1,0,0,0,0,0,4,13,2,0,4,0,0,24
,125A023,0,0,1,73,72,1,9,0,0,0,0,11,1,0,0,168
,125A024,0,0,0,4,35,0,0,0,0,33,0,0,0,0,0,72
,125A025,0,16,2,21,82,0,1,0,19,88,22,2,0,0,1,254
,125A026,0,3,1,48,27,0,0,0,1,42,22,0,1,0,0,145
,125A027,0,9,0,21,5,0,2,0,2,23,2,0,8,0,0,72
,125A028,1,25,3,0,0,0,0,0,9,38,9,0,1,0,0,86
,125A029,1,18,4,1,0,0,1,0,10,35,6,0,3,0,1,80
,125A030,0,12,3,0,0,0,0,0,4,15,2,0,5,0,0,41
,125A031,0,0,5,76,117,0,2,0,3,29,5,5,4,1,0,247
,125A032,0,3,1,0,0,0,0,0,3,20,0,0,0,0,0,27
,126A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,126A001,1,15,56,0,1,2,0,0,91,117,113,0,10,0,5,411
,126A002,0,37,63,0,4,0,4,0,113,163,122,0,29,3,4,542
,126A003,0,24,65,3,8,1,6,0,102,132,106,0,13,1,6,467
,126A004,2,17,57,0,4,0,8,0,116,136,97,0,12,5,5,459
,126A005,1,34,57,2,2,0,0,0,108,136,89,0,8,0,8,445
,126A006,0,9,9,7,32,1,1,0,36,76,29,4,3,0,2,209
,126A007,0,2,28,14,92,1,0,0,11,29,9,1,24,0,1,212
,126A008,0,6,10,3,37,2,0,0,10,59,4,0,1,0,1,133
,126A009,0,7,23,0,0,0,0,0,61,54,22,1,11,0,2,181
,126A010,0,27,43,0,0,1,1,0,83,172,59,0,24,0,5,415
,126A011,0,5,13,0,0,0,0,0,15,26,2,0,3,0,0,64
,126A012,2,9,6,1,0,0,0,0,26,49,2,0,2,0,1,98
,126A013,0,9,13,1,3,0,3,0,81,111,23,0,11,1,9,265
,126A014,1,16,60,0,1,0,3,0,80,117,66,0,7,0,3,354
,126A015,2,20,44,8,6,0,0,0,87,87,71,1,9,3,4,342
,126A016,0,13,42,0,0,0,0,0,66,47,30,2,17,1,6,224
,126A017,1,28,42,1,6,0,0,0,89,104,61,2,10,0,6,350
,127A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,127A001,1,29,34,3,5,0,0,0,49,107,109,1,11,0,8,357
,127A002,0,37,36,3,5,0,3,0,67,159,145,0,23,3,6,487
,127A003,0,21,26,4,11,0,3,0,37,104,68,0,9,0,7,290
,127A004,2,31,41,2,9,0,0,3,58,132,204,0,8,0,6,496
,127A005,1,17,36,5,15,1,0,2,46,95,132,0,10,2,7,369
,127A006,1,33,44,5,23,1,3,0,69,126,142,0,14,1,13,475
,127A007,0,23,36,1,11,0,1,0,44,48,174,0,14,0,9,361
,127A008,0,33,38,3,10,1,0,0,85,142,152,1,23,0,5,493
,127A009,0,28,56,1,17,2,1,3,77,124,172,1,17,0,5,504
,127A010,2,18,18,6,23,0,1,0,31,98,68,0,2,0,4,271
,127A011,0,21,7,3,15,0,4,2,39,48,74,0,8,0,11,232
,127A012A,0,19,25,5,4,0,0,0,44,140,80,0,20,2,4,343
,127A012B,0,23,35,5,5,0,1,1,51,123,85,3,13,1,1,347
,127A013,1,20,24,0,0,0,0,0,26,105,63,0,7,0,6,252
,127A014,0,6,5,0,0,0,0,0,2,102,36,0,0,0,0,151
,127A015,1,21,17,1,2,0,0,0,57,146,90,1,3,0,1,340
,127A016,0,15,24,0,0,0,0,1,23,72,47,0,3,1,1,187
,127A017,0,0,0,0,0,0,0,0,3,7,2,0,3,0,0,15
,127A018,2,30,42,3,15,0,3,0,52,206,110,0,12,0,3,478
,127A019,1,18,2,0,0,0,0,0,3,43,17,0,4,0,0,88
,127A020,0,30,31,0,0,0,0,0,33,207,28,0,24,0,1,354
,127A021,2,18,4,0,0,0,0,0,14,70,21,0,11,0,0,140
,127A022,1,43,20,0,1,0,4,0,20,82,45,0,22,0,2,240
,127A023,3,51,26,4,5,0,6,0,65,251,88,0,21,0,4,524
,127A024,0,13,7,10,11,1,1,0,20,31,20,0,6,0,1,121
,127A025,1,15,23,0,0,0,6,0,45,150,50,2,11,0,3,306
,127A026,3,51,37,1,3,1,1,1,30,145,58,0,13,0,1,345
,127A027,0,57,34,0,1,0,8,0,32,129,27,0,22,0,0,310
,127A028,0,35,17,6,2,0,5,0,17,83,15,0,2,0,4,186
,127A029,0,7,11,1,10,0,0,1,8,81,10,0,0,0,0,129
,127A030,1,5,6,1,0,0,0,0,0,4,5,0,0,0,0,22
,127A031,1,16,28,0,0,0,0,0,14,75,19,0,6,0,0,159
,127A032,2,37,69,6,4,0,0,1,42,174,160,0,9,0,12,516
,127A033,0,20,21,1,4,2,0,0,42,136,62,0,14,0,3,305
,127A034,5,41,42,6,14,0,1,1,83,122,178,0,13,5,14,525
,127A035,1,31,26,9,17,0,0,3,43,115,151,1,22,0,12,431
,127A036,0,17,16,3,1,0,0,0,17,172,90,0,9,0,3,328
,127A037,0,9,0,0,0,0,0,0,1,17,16,0,3,0,1,47
,127A038,0,11,2,0,0,0,0,0,0,23,8,0,3,0,0,47
,127A039,0,11,6,0,0,0,1,0,10,48,10,0,2,0,0,88
,127A040,0,0,4,4,10,1,0,0,1,11,6,0,4,0,0,41
,127A041,0,21,9,0,7,1,0,0,12,53,26,0,1,0,0,130
,127A042,2,8,18,1,4,0,0,0,8,84,22,0,5,0,1,153
,127A043,0,6,4,0,0,0,0,0,0,40,29,0,0,0,0,79
,127A044,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,17
,127A045,1,42,32,0,0,1,0,0,29,85,114,1,7,0,1,313
,127A046,1,9,11,4,24,1,0,1,25,41,40,0,0,0,2,159
,127A047,4,9,15,0,2,0,0,0,40,62,21,0,8,0,0,161
,127A048,0,7,8,0,0,0,0,2,8,45,27,0,3,0,0,100
,127A049,0,3,2,0,0,0,0,0,9,7,14,0,1,0,0,36
,151A001A,0,3,14,95,194,10,4,5,8,30,2,4,1,0,8,378
,151A001B,0,0,1,40,157,7,0,1,7,14,4,1,0,0,13,245
,151A002,0,5,10,43,320,12,3,0,16,57,8,38,0,0,18,530
,151A003,0,0,6,29,196,3,1,0,0,1,3,47,2,0,19,307
,151A004,0,0,4,77,389,40,4,1,0,0,0,8,0,0,6,529
,151A005,0,0,0,9,55,5,2,0,0,0,1,3,0,0,3,78
,151A006,0,9,10,1,4,0,0,5,50,249,13,0,3,0,5,349
,151A007A,0,0,4,57,202,2,9,10,2,0,1,2,0,0,33,322
,151A007B,0,2,1,61,146,9,1,4,1,3,1,1,0,0,27,257
,151A007C,0,1,2,45,135,5,0,3,0,0,1,1,0,0,24,217
,151A008,0,0,0,12,67,7,1,53,4,0,6,7,0,0,21,178
,151A009,0,0,2,60,184,5,2,14,0,0,1,2,0,0,26,296
,151A010,2,8,7,15,40,1,3,61,34,65,6,1,0,7,4,254
,152A001A,0,43,38,0,0,0,1,0,90,234,21,0,5,4,0,436
,152A001B,0,28,38,1,1,0,0,0,36,174,17,0,1,2,0,298
,152A001C,0,14,27,0,1,0,1,0,50,148,30,4,4,3,1,283
,152A002,1,18,23,2,1,0,6,13,50,284,20,1,0,1,0,420
