
,BM,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,NARODNA STRANKA RADOM ZA BOLJITAK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,148A000,0,0,0,0,0,0,0,0
,148A001,59,236,5,11,2,33,20,366
,148A002,33,220,9,16,2,26,40,346
,148A003,59,188,12,12,2,38,28,339
,148A004,56,224,8,20,3,38,16,365
,148A005,69,235,17,4,0,76,25,426
,148A006A,33,200,13,12,1,27,6,292
,148A006B,22,152,5,2,1,8,8,198
,148A007,28,93,10,4,0,6,1,142
,148A008,77,261,3,5,0,58,7,411
,148A009,57,146,4,9,1,23,1,241
,148A010,37,225,11,19,0,65,13,370
,148A011,46,184,14,3,8,34,4,293
,148A012,99,186,0,17,0,37,13,352
,148A013,11,31,0,0,1,7,2,52
,148A014,32,129,0,10,1,43,28,243
,148A015,37,67,2,2,0,27,11,146
,148A016,17,101,1,2,0,50,1,172
,148A017,8,198,2,18,0,34,4,264
,148A018,53,197,1,5,1,42,4,303
,148A019,77,141,2,19,0,34,4,277
,148A020,36,125,9,4,1,59,18,252
,149A000,0,0,0,0,0,0,0,0
,149A001,58,183,5,28,2,22,2,300
,149A002,38,309,6,39,1,16,4,413
,149A003,71,291,9,29,1,11,2,414
,149A004,16,72,0,33,6,0,0,127
,149A005,98,160,2,11,5,3,0,279
,149A006,42,118,14,18,5,12,1,210
,149A007,134,163,18,46,10,2,1,374
,149A008,48,191,9,11,5,22,1,287
,149A009,64,207,6,13,5,13,2,310
,149A010,44,309,2,13,11,8,9,396
,149A011,22,166,2,14,16,47,2,269
,149A012,33,403,7,44,6,11,5,509
,149A013,28,336,3,24,5,11,7,414
,149A014,24,53,1,9,4,4,1,96
,149A015,47,214,4,15,1,4,2,287
,149A016,46,124,0,28,0,2,0,200
,149A017,45,149,4,32,7,10,1,248
,149A018,55,203,3,16,13,17,4,311
,150A001,14,145,11,35,0,80,0,285
,150A002,15,209,13,77,1,6,7,328
,150A003,65,234,13,13,0,54,7,386
,150A004,44,243,15,21,0,14,18,355
,150A005A,30,202,8,14,1,10,6,271
,150A005B,37,183,8,9,0,7,1,245
,150A006,15,251,20,35,1,24,1,347
,150A007,59,399,15,42,0,35,2,552
,150A008,34,485,11,56,0,37,4,627
,150A009,35,196,12,17,2,11,2,275
,150A010,13,194,6,12,1,4,4,234
,150A011,14,248,11,5,5,9,0,292
,150A012,29,214,18,11,0,9,5,286
,150A013,25,197,14,6,0,4,2,248
,150A014,2,428,0,25,0,3,0,458
,150A015,24,303,12,9,0,14,0,362
,150A016,82,514,22,39,0,8,7,672
,150A017,38,250,18,12,1,8,7,334
,150A018,67,348,13,18,6,11,9,472
,150A019,63,351,29,25,3,10,6,487
,150A020,64,345,23,31,2,9,14,488
,150A021,43,325,29,21,2,4,7,431
,150A022,46,354,19,22,0,17,7,465
,150A023,21,177,7,6,0,2,5,218
,150A024,52,261,7,19,0,6,2,347
,150A025,28,164,19,28,0,1,8,248
,150A026,12,85,0,0,0,0,0,97
,150A027,11,89,2,0,0,6,0,108
,150A028,15,265,6,15,0,6,5,312
,150A029,23,161,6,28,7,9,3,237
,150A030,23,199,27,4,1,19,10,283
,150A031,23,239,18,17,0,12,5,314
,150A032,88,438,27,17,6,9,12,597
,150A033,5,187,26,13,0,33,2,266
,150A034,33,231,14,4,1,11,3,297
,150A035,35,264,8,31,0,16,6,360
,150A036,34,247,13,13,2,7,4,320
,171A000,0,0,0,0,0,0,0,0
,171A001,14,111,1,39,0,5,13,183
,171A002,124,76,5,24,2,19,26,276
,171A003A,24,140,13,14,3,18,6,218
,171A003B,15,114,2,12,5,16,3,167
,171A004,41,148,4,5,1,0,5,204
,171A005,124,170,20,33,1,2,3,353
,171A006A,12,84,18,5,0,41,8,168
,171A006B,38,160,29,9,1,35,11,283
,171A007,3,129,4,2,0,0,3,141
,171A008,36,104,13,1,0,2,3,159
,171A009,51,303,15,20,3,4,30,426
,171A010,52,124,11,25,0,18,7,237
,171A011,129,161,13,28,2,11,9,353
,171A012,37,150,4,30,1,14,25,261
,171A013,49,157,4,21,1,14,6,252
,171A014,72,343,16,13,3,20,18,485
,171A015,66,421,7,26,0,2,6,528
,171A016,72,95,3,38,0,0,34,242
,171A017,15,101,6,14,3,23,4,166
,171A018,75,196,14,54,4,28,51,422
,171A019,40,42,9,36,31,10,13,181
,171A020,74,160,10,37,23,11,15,330
,171A021,50,123,12,16,20,16,7,244
,171A022,42,146,81,20,1,65,7,362
,171A023,14,142,5,7,0,59,10,237
,171A024,18,248,3,11,1,44,5,330
,171A025,45,147,12,15,0,3,2,224
,171A026,72,196,15,47,0,15,23,368
,171A027,53,142,4,39,28,8,21,295
,171A028,77,74,3,2,0,30,2,188
,171A029,75,242,11,22,3,11,8,372
,171A030,15,119,5,38,2,5,5,189
,171A031,59,149,5,17,2,12,10,254
