,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,118A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,118A001,1,18,80,5,7,1,0,4,8,0,0,1,106,96,71,0,0,2,6,12,9,427
,118A002,0,22,84,4,6,0,0,5,4,1,0,4,74,137,74,1,1,1,3,7,5,433
,118A003,5,30,72,0,2,7,0,6,3,1,2,1,96,134,78,0,4,1,5,7,3,457
,118A004,1,12,49,0,3,0,0,4,4,1,0,1,61,59,43,1,1,0,2,4,3,249
,118A005A,7,25,76,1,1,2,0,6,5,4,0,0,59,75,52,0,12,1,4,8,4,342
,118A005B,4,17,51,0,2,1,0,8,3,2,0,1,51,65,51,1,1,0,0,10,2,270
,118A006,1,24,57,0,0,2,0,12,8,1,1,0,58,88,28,0,3,1,2,4,8,298
,118A007,5,20,86,0,1,2,0,15,3,2,0,2,128,176,36,0,6,1,3,4,6,496
,118A008,4,48,49,1,3,1,0,0,0,0,0,0,74,116,22,0,13,0,5,3,1,340
,118A009,3,24,46,1,0,2,0,19,2,3,0,0,61,170,23,0,8,2,4,1,1,370
,118A010,4,18,37,0,0,1,0,20,1,1,0,2,58,129,39,0,13,2,5,9,2,341
,118A011,0,15,39,2,7,0,0,5,1,0,0,1,65,68,17,1,2,1,6,3,0,233
,118A012A,0,32,66,0,0,0,0,8,7,0,0,0,79,163,36,0,6,0,6,1,4,408
,118A012B,2,19,50,1,5,0,0,1,2,0,0,1,79,100,34,0,3,3,2,3,2,307
,118A013,0,15,35,0,0,0,0,9,0,0,0,0,95,149,17,0,2,1,5,10,3,341
,118A014A,1,13,32,0,0,0,0,9,0,0,0,0,66,103,33,1,4,0,2,4,2,270
,118A014B,2,14,34,1,0,0,0,5,0,2,1,0,65,101,31,0,5,1,3,4,1,270
,118A015,0,6,20,0,0,0,0,1,0,2,0,0,27,69,48,0,0,0,0,1,1,175
,118A016,0,10,38,0,0,2,0,5,5,1,0,1,67,153,55,0,2,0,2,2,0,343
,118A017,0,22,9,0,0,0,0,1,0,0,0,0,26,70,26,0,0,0,1,0,0,155
,118A018,1,11,25,0,0,0,0,0,2,0,0,0,65,110,24,0,2,0,8,2,2,252
,118A019,2,24,28,0,0,2,1,5,2,1,1,0,66,188,19,0,0,0,6,1,0,346
,118A020,6,16,51,0,0,1,0,0,2,2,0,0,81,231,24,1,1,0,2,1,3,422
,118A021,2,3,14,4,11,0,0,1,0,1,0,0,32,32,42,0,2,0,0,0,0,144
,118A022,6,21,68,2,1,2,0,2,4,1,0,0,59,115,57,0,0,1,4,2,2,347
,118A023,3,8,5,0,0,0,0,4,2,0,0,7,28,28,15,0,0,0,0,0,7,107
,118A024,2,48,67,0,0,1,2,7,2,0,0,1,57,184,26,0,2,1,10,1,2,413
,118A025,0,27,25,0,0,0,0,2,1,1,1,0,45,118,12,0,2,0,2,3,1,240
,118A026,0,5,9,0,0,0,0,2,0,0,0,0,19,113,10,0,1,0,1,13,0,173
,118A027,3,17,57,0,4,1,0,3,1,0,1,1,45,43,49,0,2,1,2,0,7,237
,118A028,0,26,58,1,1,0,0,10,0,7,0,0,68,123,30,0,9,1,2,19,1,356
,118A029,0,3,38,0,0,0,0,2,0,0,0,0,15,70,7,0,0,0,1,0,2,138
,135A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,135A001,6,26,59,0,0,5,0,1,24,5,1,0,75,157,13,1,0,1,10,8,4,396
,135A002,4,22,57,0,0,2,1,5,7,9,0,0,77,156,15,0,0,1,3,6,7,372
,135A003,8,19,103,0,0,0,0,2,12,6,0,1,74,178,21,0,2,1,10,1,3,441
,135A004,3,25,94,1,1,0,0,4,12,6,0,0,120,149,16,0,4,0,7,6,10,458
,135A005,5,32,82,1,1,1,0,4,14,3,1,1,112,123,21,1,2,1,4,15,6,430
,135A006,6,31,90,1,0,0,0,3,6,10,0,2,94,153,13,0,2,0,12,7,4,434
,135A007,11,36,110,1,0,1,1,1,9,3,0,1,87,180,35,0,6,3,10,26,9,530
,135A008,2,37,84,1,0,0,0,2,12,1,0,0,76,194,15,0,1,0,13,9,7,454
,135A009,5,26,115,3,0,5,1,0,16,7,1,1,76,196,25,0,0,0,7,10,5,499
,135A010,4,38,99,1,1,1,0,4,13,5,1,1,117,197,19,1,8,7,9,7,6,539
,135A011,3,16,41,1,2,0,0,13,7,6,0,11,63,109,35,1,3,0,1,5,2,319
,135A012,3,30,75,0,0,0,0,4,3,3,0,1,81,143,28,0,1,1,7,2,3,385
,135A013,0,7,25,0,0,0,0,0,1,1,0,0,24,117,5,0,1,1,2,0,0,184
,135A014,2,31,76,0,0,3,0,5,16,2,0,0,101,143,44,0,0,0,7,1,5,436
,135A015,9,19,69,1,0,1,0,14,10,3,0,2,57,104,18,0,0,1,8,9,2,327
,135A016,1,21,76,2,0,1,3,6,12,0,0,5,91,107,25,0,1,1,5,2,2,361
,135A017,9,23,70,2,2,2,0,8,14,2,1,1,85,123,21,2,3,1,11,8,3,391
,135A018,2,13,105,0,1,1,1,4,14,5,1,5,102,116,30,1,0,0,3,9,5,418
,135A019,9,17,85,0,0,0,0,5,5,8,0,1,75,140,17,1,2,0,8,10,7,390
,135A020,1,20,70,0,0,2,0,3,7,2,0,0,114,157,17,0,1,0,5,4,3,406
,135A021,1,17,79,0,0,1,0,9,8,3,1,1,91,142,24,0,1,2,4,2,2,388
,135A022,3,11,58,1,2,1,0,3,5,1,0,3,83,72,19,0,1,2,6,9,2,282
,135A023,2,23,57,4,0,0,0,2,9,8,0,5,49,90,19,1,1,0,6,3,3,282
,135A024,1,19,68,0,0,0,0,1,18,1,1,1,80,95,19,0,3,0,7,8,8,330
,135A025,5,24,73,2,2,2,0,4,12,3,1,0,53,75,23,0,0,1,5,3,5,293
,135A026,0,17,48,2,2,0,0,6,17,6,0,5,56,113,21,0,6,1,6,9,7,322
,135A027,3,9,107,1,2,2,0,6,18,1,2,6,102,96,17,0,0,0,6,1,7,386
,135A028,5,39,68,0,0,0,1,2,6,2,0,1,98,141,18,0,0,1,3,5,3,393
,135A029,1,17,71,0,0,2,2,7,10,2,0,1,63,110,16,2,5,2,8,5,3,327
,135A030,3,18,70,1,0,1,1,9,7,2,0,0,65,91,6,0,4,1,2,1,3,285
,135A031,1,10,90,2,0,1,0,5,2,1,0,0,72,123,15,0,1,2,4,0,5,334
,135A032,1,16,68,0,0,2,0,15,6,3,0,0,60,117,18,0,0,4,4,4,5,323
,135A033,1,13,84,1,0,0,0,8,7,1,0,1,75,124,21,0,1,3,8,6,0,354
,135A034,1,29,82,0,0,0,0,5,3,1,0,3,54,115,7,1,1,1,4,1,2,310
,135A035,1,15,74,1,2,3,0,5,2,0,0,0,77,88,13,2,2,1,7,8,3,304
,135A036,1,9,69,1,0,0,0,3,6,0,0,1,40,73,3,0,3,0,0,1,11,221
,136A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,136A001,3,21,78,4,1,2,0,2,34,2,1,4,76,88,35,0,0,0,10,7,7,375
,136A002,5,19,98,1,3,3,0,3,44,0,1,0,112,138,19,0,3,1,13,7,3,473
