
,BM,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOALICIJA ZA PROMJENE SNS-NDP,NARODNA STRANKA RADOM ZA BOLJITAK,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA ZA BOSNU I HERCEGOVINU,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,057A000,0,0,0,0,0,0,0,0,0,0,0,0
,057A001,0,22,24,33,4,261,0,15,0,1,2,360
,057A002,2,40,28,27,5,180,0,22,0,1,0,305
,057A003,0,14,8,16,19,102,1,12,0,0,4,172
,057A004,1,69,47,25,6,192,1,4,1,1,1,347
,057A005,0,32,10,32,1,172,0,22,0,0,0,269
,057A006,0,13,24,29,7,131,0,12,1,0,2,217
,057A007,0,3,0,2,5,164,1,5,0,0,1,180
,057A008,0,11,0,6,1,124,1,2,1,0,2,146
,057A009,0,1,0,20,3,65,0,4,0,0,1,93
,057A010,0,6,0,20,1,295,0,19,0,1,1,342
,057A011,0,19,1,14,13,195,0,6,1,0,2,249
,057A012,0,0,0,1,2,9,0,6,0,0,0,18
,057A013,0,16,2,17,11,233,0,5,0,0,3,284
,057A014,0,3,2,1,0,54,0,1,0,0,0,61
,057A015,0,0,1,6,4,49,0,5,0,1,0,66
,057A016,0,0,1,0,0,20,0,8,0,0,0,29
,084A000,0,0,0,0,0,0,0,0,0,0,0,0
,084A001,2,6,18,53,57,59,0,1,0,1,0,197
,084A002,0,0,1,12,35,49,0,0,0,0,0,97
,084A003,2,0,0,56,25,74,1,1,0,2,0,161
,084A004,0,0,0,19,19,23,0,2,0,0,0,63
,084A005,0,7,50,66,55,60,0,3,0,1,0,242
,084A006,0,2,97,0,3,0,0,0,0,0,0,102
,085A000,0,0,0,0,0,0,0,0,0,0,0,0
,085A001,8,49,148,20,9,91,63,13,0,1,13,402
,085A002,11,30,118,17,16,132,54,18,0,1,7,397
,085A003,2,12,41,5,5,35,51,11,0,0,5,162
,085A004,2,1,3,14,6,108,28,1,0,1,8,164
,085A005,0,2,0,13,1,53,1,1,0,0,1,71
,085A006,1,0,0,3,0,46,0,0,0,0,0,50
,085A007,0,0,0,16,2,22,0,0,0,0,0,40
,085A008,0,0,0,0,0,26,0,0,0,0,0,26
,085A009,10,12,36,16,6,121,85,36,0,2,14,324
,106A000,0,0,0,0,0,0,0,0,0,0,0,0
,106A001A,1,119,99,0,25,1,2,2,0,0,0,249
,106A001B,4,129,128,0,24,0,0,2,0,0,0,287
,106A002A,4,61,132,0,17,0,4,2,0,0,5,220
,106A002B,19,69,136,0,23,0,4,2,0,2,0,255
,106A003,26,27,32,4,17,1,43,16,0,5,1,171
,106A004,31,109,132,1,32,0,18,19,3,2,2,347
,106A005,49,72,175,5,37,2,48,19,0,4,0,411
,106A006,64,18,4,0,8,3,263,50,0,9,1,419
,106A007,45,100,111,1,32,5,78,17,0,2,1,391
,106A008,42,89,116,3,24,0,36,25,0,4,0,339
,106A009,3,119,102,0,2,0,155,3,0,4,0,388
,106A010,0,297,223,0,10,0,0,0,0,0,0,530
