
,BM,BAJRAMOVIĆ DŽEBRAIL - STRANKA DIJASPORE BOSNE I HERCEGOVINE,BUDIMIR ŽIVKO - STRANKA PRAVDE I POVJERENJA,CERIĆ MUSTAFA - CERIĆ MUSTAFA,ČOVIĆ DRAGAN - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,HADŽIOMEROVIĆ BAKIR - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,HALILOVIĆ SEFER - BPS-SEFER HALILOVIĆ,IZETBEGOVIĆ BAKIR - SDA - STRANKA DEMOKRATSKE AKCIJE,KEBO MIRSAD - KEBO MIRSAD,POPOVIĆ ANTO - DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,RADONČIĆ FAHRUDIN - SBB - FAHRUDIN RADONČIĆ,RAGUŽ MARTIN - HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,SULJAGIĆ EMIR - DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,TUZLIĆ HALIL - TUZLIĆ HALIL,ŽIGIĆ ADIL - ŽIGIĆ ADIL,Ukupno
,001A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,001A001,4,7,17,2,30,12,48,1,27,53,10,27,1,0,239
,001A002,1,8,12,2,26,19,80,3,34,81,12,34,0,1,313
,001A003,1,19,10,1,30,7,45,1,21,51,4,21,0,0,211
,001A004,1,14,8,1,28,14,65,3,17,76,4,17,1,0,249
,001A005,0,17,13,1,25,11,53,0,27,72,7,27,0,0,253
,001A006,2,25,17,0,34,9,59,0,39,118,11,39,0,0,353
,001A007,0,6,1,1,15,4,40,1,16,74,0,16,0,0,174
,001A008A,5,17,9,1,35,14,86,0,20,51,0,20,4,1,263
,001A008B,0,5,2,0,11,3,25,0,7,38,0,7,0,0,98
,001A008C,1,3,4,0,12,7,45,0,9,20,1,9,0,1,112
,001A009A,0,7,5,0,10,6,21,0,12,27,0,12,0,2,102
,001A009B,3,30,6,2,45,10,52,2,27,54,3,27,0,1,262
,001A010,0,8,16,3,21,9,102,3,13,55,7,13,3,2,255
,001A011,4,94,20,2,4,5,32,0,7,47,1,7,1,1,225
,001A012A,5,6,5,3,15,8,17,2,18,60,3,18,1,1,162
,001A012B,2,10,6,3,17,10,23,2,6,41,2,6,0,0,128
,001A013,6,4,5,6,21,20,13,0,32,69,2,32,2,1,213
,001A014A,6,42,11,4,18,10,30,3,17,47,1,17,0,2,208
,001A014B,2,11,5,3,4,8,3,0,3,32,0,3,0,1,75
,001A015A,3,22,4,4,19,7,23,0,13,35,0,13,0,1,144
,001A015B,1,17,6,1,10,9,15,5,13,28,4,13,1,0,123
,001A016A,3,18,5,6,15,8,19,3,11,74,2,11,1,0,176
,001A016B,1,22,2,0,24,2,40,0,9,70,5,9,2,0,186
,001A017,1,36,4,4,24,23,53,0,10,111,1,10,1,1,279
,001A018,2,23,30,2,23,14,33,0,6,65,1,6,1,0,206
,001A019,3,12,12,0,50,12,63,0,5,45,1,5,1,0,209
,001A020,4,20,10,3,27,11,42,1,8,27,1,8,1,1,164
,001A021,0,46,16,2,15,11,34,0,22,69,0,22,1,3,241
,001A022,5,9,9,2,31,16,80,3,7,48,0,7,5,0,222
,001A023,3,14,3,5,13,7,42,1,16,58,4,16,1,0,183
,001A024,2,15,6,1,49,17,34,4,25,73,5,25,5,2,263
,001A025,2,3,10,4,24,10,30,1,20,45,0,20,0,1,170
,001A026,2,4,3,0,51,10,15,1,13,43,4,13,0,0,159
,001A027A,0,27,3,1,6,2,26,0,2,23,0,2,0,0,92
,001A027B,3,58,1,9,17,19,41,2,11,85,3,11,1,1,262
,001A028,3,21,9,6,24,7,30,2,6,32,2,6,1,2,151
,001A029A,2,38,17,5,37,20,78,3,20,52,3,20,0,1,296
,001A029B,2,22,13,0,13,5,32,1,12,28,1,12,0,0,141
,001A030,4,50,7,3,22,14,28,1,8,25,1,8,0,0,171
,001A031A,1,18,10,1,11,9,131,0,6,19,0,6,1,1,214
,001A031B,0,11,7,0,16,7,92,1,0,23,0,0,0,0,157
,001A032,7,26,4,0,13,33,71,1,17,35,0,17,4,0,228
,001A033,1,86,12,3,25,17,105,0,9,16,0,9,0,0,283
,001A034,2,66,1,2,10,5,40,0,13,23,1,13,1,4,181
,001A035,0,28,3,3,16,4,59,0,2,4,1,2,0,1,123
,001A036,3,17,8,0,20,9,27,1,9,32,1,9,0,0,136
,001A037,10,11,1,1,17,5,38,0,3,19,1,3,1,0,110
,001A038,1,17,12,3,65,11,65,1,24,82,7,24,1,0,313
,001A039,0,19,4,2,14,10,24,2,23,26,1,23,1,1,150
,001A040,2,29,3,11,11,20,30,4,9,40,0,9,1,0,169
,001A041,4,22,15,4,40,10,76,0,27,74,8,27,0,0,307
,001A042,1,25,3,2,13,12,25,0,11,52,1,11,1,0,157
,001A043,2,17,14,1,34,12,46,0,14,70,0,14,0,3,227
,001A044,0,10,11,1,27,19,43,0,19,61,9,19,0,0,219
,001A045,3,23,5,19,35,3,17,0,9,8,2,9,1,0,134
,001A046,1,38,12,3,21,8,55,1,11,80,2,11,1,0,244
,001A047,2,19,21,0,8,7,42,1,16,80,2,16,0,0,214
,001A048,4,1,10,0,3,4,33,3,5,30,0,5,1,0,99
,001A049,2,26,14,0,10,8,125,0,5,43,0,5,1,0,239
,001A050,0,23,7,2,5,6,98,1,12,38,2,12,1,1,208
,001A051,2,11,7,4,28,16,32,0,31,61,7,31,0,0,230
,001A052,0,21,7,4,19,3,66,0,22,70,3,22,1,0,238
,001A053,5,15,20,0,29,12,37,2,23,88,11,23,1,1,267
,001A054,1,11,5,1,5,6,60,1,8,34,0,8,2,2,144
,002A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,002A001,9,6,11,2,61,8,69,0,87,156,17,87,0,0,513
,002A002,2,1,20,2,115,23,116,0,63,71,1,63,1,0,478
,002A003,5,11,23,2,43,20,85,1,77,133,13,77,1,0,491
,002A004,2,8,18,1,47,14,53,3,121,149,15,121,1,2,555
,002A005,4,7,12,3,18,24,113,0,7,21,4,7,1,0,221
,002A006,9,0,48,0,33,19,99,1,48,84,1,48,0,0,390
,002A007,8,5,29,0,26,33,122,3,65,115,18,65,0,0,489
,002A008A,2,3,54,0,53,40,77,1,32,98,6,32,0,0,398
,002A008B,5,5,49,1,25,11,68,0,32,64,0,32,2,3,297
,002A009,3,1,28,0,53,16,177,0,37,135,7,37,0,0,494
,002A010,12,0,60,1,9,45,49,1,21,20,0,21,0,0,239
,002A011,5,20,33,5,41,13,50,2,21,54,3,21,2,2,272
,002A012,5,24,30,4,19,11,29,0,33,51,1,33,0,4,244
,002A013,4,6,14,0,14,36,116,0,21,37,5,21,3,1,278
,002A014,6,38,18,2,31,23,86,1,11,34,0,11,0,2,263
,002A015,3,10,25,1,34,17,275,0,12,30,1,12,0,1,421
,002A016,2,7,21,0,28,12,101,5,17,30,1,17,0,0,241
,002A017,2,1,33,0,9,18,74,0,10,53,0,10,0,0,210
,002A018A,3,0,28,0,22,29,171,1,31,30,5,31,1,0,352
,002A018B,2,0,12,0,34,13,127,1,32,20,6,32,0,0,279
,002A019,0,0,16,1,21,18,126,1,4,14,2,4,0,0,207
,002A020A,2,0,37,2,72,52,264,2,35,52,3,35,0,1,557
,002A020B,1,0,16,0,8,11,45,2,5,19,0,5,1,0,113
,002A021A,1,0,37,0,4,2,62,1,6,10,0,6,0,0,129
,002A021B,1,0,36,0,21,17,111,0,9,35,2,9,0,0,241
,002A022A,8,2,71,3,35,38,180,3,24,45,1,24,2,0,436
,002A022B,4,0,68,1,28,16,125,0,28,32,2,28,0,0,332
,002A023A,5,1,30,2,24,31,120,1,30,58,0,30,2,0,334
,002A023B,4,2,18,0,29,27,62,3,15,36,0,15,1,0,212
,002A024,1,0,37,3,11,21,132,0,27,34,2,27,0,1,296
,002A025,6,0,29,0,17,23,43,4,5,30,0,5,0,4,166
,002A026,0,1,4,0,10,5,19,0,6,4,1,6,0,0,56
,002A027A,3,2,19,0,34,27,161,2,23,81,6,23,1,2,384
,002A027B,0,2,20,0,30,10,109,0,14,47,3,14,0,0,249
,002A028A,2,1,25,0,42,21,203,1,28,37,0,28,1,1,390
,002A028B,1,0,19,1,8,10,170,0,24,28,0,24,0,0,285
,002A029,1,0,14,0,21,7,189,0,10,19,1,10,0,0,272
,002A030,2,12,24,0,41,23,176,2,23,59,6,23,1,0,392
,002A031A,1,22,25,3,29,22,124,1,25,56,3,25,1,2,339
,002A031B,0,9,25,0,25,15,72,2,11,40,0,11,0,0,210
,002A032,25,0,40,2,25,26,190,0,11,23,2,11,0,0,355
,002A033A,2,17,75,0,26,12,165,0,7,21,4,7,0,2,338
,002A033B,1,8,57,0,6,26,121,0,1,20,7,1,0,0,248
,002A033C,0,6,31,0,24,30,115,0,8,28,3,8,0,0,253
,002A034,5,0,26,0,25,21,93,2,0,22,2,0,0,1,197
,002A035A,4,3,7,0,69,15,133,3,3,43,0,3,0,0,283
,002A035B,6,1,29,1,72,26,85,1,7,60,6,7,0,1,302
,002A035C,4,0,9,0,26,1,45,1,2,9,4,2,0,0,103
,002A036,2,2,29,1,27,11,136,1,3,38,4,3,2,0,259
,002A037,0,10,13,1,17,13,75,0,2,36,0,2,0,1,170
,002A038,0,2,4,0,14,6,31,0,2,8,0,2,0,0,69
,002A039,1,2,17,2,24,23,144,1,3,42,1,3,0,0,263
,002A040,8,0,30,0,23,16,145,0,5,63,2,5,0,2,299
,002A041,1,1,107,0,19,32,251,2,1,22,0,1,1,1,439
,002A042,2,2,25,1,19,26,70,0,1,30,4,1,2,3,186
,002A043,0,0,28,0,52,23,195,5,1,64,0,1,0,0,369
,002A044,1,18,73,2,13,13,83,2,0,25,9,0,3,0,242
,002A045,4,4,15,0,14,45,228,0,3,43,0,3,0,0,359
,002A046,11,30,28,4,31,21,26,3,3,28,2,3,3,2,195
,002A047,5,2,30,1,32,22,88,1,1,77,2,1,0,0,262
,002A048,0,3,6,5,27,12,52,1,13,62,0,13,0,0,194
,002A049,0,0,19,1,27,20,146,0,0,29,2,0,3,0,247
,002A050,2,7,15,1,43,17,72,2,6,123,17,6,0,1,312
,002A051,6,4,15,2,11,24,72,0,1,35,2,1,0,0,173
,002A052,2,45,6,2,15,4,27,0,6,27,3,6,0,2,145
,002A053,4,23,17,1,14,17,55,1,3,32,8,3,0,0,178
,002A054A,8,2,27,0,31,14,140,0,1,76,3,1,0,0,303
,002A054B,4,10,21,2,28,19,180,2,4,84,4,4,5,0,367
,002A054C,5,3,18,0,26,9,79,0,1,63,2,1,2,0,209
,002A055,4,0,34,1,29,17,118,1,1,33,0,1,1,2,242
,002A056A,4,0,57,0,53,30,68,2,1,75,2,1,2,0,295
,002A056B,5,1,47,2,19,23,72,2,3,46,1,3,2,4,230
,002A057A,1,3,8,0,13,7,57,0,1,22,0,1,0,0,113
,002A057B,5,0,21,1,30,13,114,1,2,20,1,2,1,0,211
,002A058A,3,12,17,1,49,18,81,1,4,34,1,4,0,2,227
,002A058B,3,12,15,1,30,18,73,1,2,28,2,2,1,3,191
,002A059,4,0,19,1,15,14,64,0,1,59,7,1,1,1,187
,002A060,1,2,12,0,6,7,64,1,0,4,1,0,1,1,100
,002A061,1,1,24,1,21,21,88,1,5,71,2,5,1,0,242
,003A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,003A001A,3,3,9,1,17,15,173,1,6,52,2,6,0,0,288
,003A001B,2,1,12,0,55,9,161,1,0,27,2,0,0,0,270
,003A001C,2,2,4,1,28,8,53,0,3,24,0,3,0,0,128
,003A002,3,3,4,1,47,6,83,1,3,88,5,3,1,0,248
,003A003,0,2,8,3,25,9,122,0,2,92,10,2,0,0,275
,003A004,1,3,12,12,61,10,67,1,4,90,19,4,0,0,284
,003A005,10,6,14,4,29,10,68,1,2,77,17,2,0,1,241
,003A006,3,3,5,2,36,13,69,3,4,106,28,4,0,0,276
,003A007,3,9,25,0,33,9,93,2,0,75,27,0,0,1,277
,003A008A,2,12,16,2,21,8,71,0,65,55,22,65,0,2,341
,003A008B,4,4,17,3,28,18,46,4,52,53,18,52,0,1,300
,003A009,1,5,4,2,28,10,51,1,34,66,13,34,0,3,252
,003A010,1,1,12,4,25,18,35,1,29,30,11,29,0,1,197
,003A011,3,1,20,6,36,12,68,3,51,88,27,51,1,1,368
,003A012,0,3,6,57,34,18,65,1,16,53,106,16,0,0,375
,003A013,3,21,5,69,19,5,12,0,14,35,60,14,0,1,258
,003A014,0,0,0,26,2,0,2,0,0,3,24,0,0,0,57
,003A015,2,3,30,1,51,30,82,1,64,75,31,64,1,1,436
,003A016,5,4,13,18,49,15,59,3,52,85,28,52,0,1,384
,003A017,7,4,13,0,19,27,42,0,52,76,16,52,0,1,309
,003A018,1,4,12,3,30,6,59,2,42,66,11,42,0,1,279
,003A019,1,4,7,8,41,15,61,1,62,83,28,62,0,1,374
,003A020,3,1,14,3,34,24,95,0,46,75,15,46,0,0,356
,003A021,5,2,20,1,47,27,54,1,74,122,15,74,0,0,442
,003A022A,5,2,2,0,25,21,43,2,31,56,14,31,0,0,232
,003A022B,0,3,3,8,31,12,37,0,42,71,15,42,1,0,265
,003A023,4,2,5,3,41,19,52,7,64,111,25,64,0,1,398
,003A024,2,3,5,4,38,14,49,2,59,78,25,59,1,0,339
,003A025,1,0,13,4,64,16,63,0,92,68,25,92,1,0,439
,003A026,2,4,6,7,39,19,52,4,43,97,17,43,0,1,334
,003A027,5,2,8,6,49,11,39,0,49,80,19,49,0,2,319
,003A028A,6,1,5,1,31,17,61,1,59,72,19,59,1,0,333
,003A028B,2,2,11,5,26,10,62,1,43,61,12,43,0,0,278
,003A029,7,1,12,4,30,18,40,3,45,48,18,45,0,0,271
,003A030,1,2,1,60,3,0,1,2,3,17,57,3,0,0,150
,003A031,4,2,8,0,73,28,83,1,74,139,20,74,1,1,508
,003A032,2,5,8,5,64,17,54,1,63,90,16,63,0,0,388
,003A033,1,1,8,0,42,13,49,1,33,98,13,33,0,0,292
,003A034,1,5,10,0,43,13,35,1,32,90,13,32,1,1,277
,003A035,3,2,3,0,22,24,40,0,65,53,10,65,0,0,287
,003A036,2,3,11,0,39,24,85,1,50,86,19,50,2,1,373
,003A037,5,0,8,2,51,31,56,1,37,92,13,37,0,0,333
,003A038,6,2,10,1,28,21,64,0,69,93,11,69,0,0,374
,003A039,3,0,20,1,21,26,128,1,53,61,5,53,0,0,372
,003A040,0,2,16,0,23,27,117,0,41,83,1,41,1,0,352
,003A041,5,1,13,0,16,21,64,3,18,49,4,18,0,1,213
,003A042,0,0,9,0,63,22,117,1,30,54,6,30,0,1,333
,003A043,4,3,6,0,16,14,67,1,22,66,3,22,0,0,224
,003A044,0,0,12,0,46,32,182,0,58,75,5,58,0,1,469
,003A045A,3,2,4,0,22,18,66,0,43,54,4,43,1,2,262
,003A045B,1,1,10,1,30,13,75,1,37,47,6,37,0,0,259
,003A046,2,1,6,1,26,23,109,2,35,90,13,35,1,0,344
,003A047,1,6,1,1,23,6,38,1,17,55,5,17,0,0,171
,003A048,4,0,8,1,20,24,81,2,26,70,14,26,0,0,276
,003A049,4,3,9,1,36,29,103,0,63,115,8,63,0,2,436
,003A050,4,2,11,4,25,18,68,1,42,109,8,42,0,2,336
,003A051,5,2,2,2,11,10,90,0,30,64,6,30,0,0,252
,003A052,0,4,12,0,31,14,95,1,104,75,5,104,2,0,447
,003A053,2,4,8,2,28,23,86,1,62,54,4,62,0,1,337
,003A054,3,5,8,20,30,13,113,2,39,60,32,39,1,0,365
,003A055,4,2,12,1,36,19,74,1,23,86,9,23,1,0,291
,003A056,5,2,3,2,37,11,140,2,48,79,4,48,1,2,384
,003A057A,0,3,28,1,44,14,256,0,30,24,2,30,0,0,432
,003A057B,0,1,7,0,22,10,152,0,19,19,1,19,0,0,250
,003A058,2,0,14,0,17,11,58,1,12,14,1,12,0,0,142
,003A059,0,7,0,17,12,1,4,1,1,5,1,1,0,0,50
,003A060A,7,1,8,2,18,9,129,0,12,24,0,12,0,0,222
,003A060B,1,0,18,1,5,21,92,0,12,22,0,12,1,0,185
,003A061,3,1,5,0,22,24,120,1,9,40,0,9,0,0,234
,003A062A,0,3,6,0,15,25,86,0,6,34,0,6,0,0,181
,003A062B,1,0,4,0,20,13,98,0,9,22,2,9,1,0,179
,003A063,5,0,8,0,53,13,145,1,14,22,1,14,0,0,276
,003A064A,0,0,4,2,35,13,82,2,15,26,0,15,0,0,194
,003A064B,9,0,2,0,19,17,46,1,6,9,0,6,0,0,115
,003A065A,1,2,10,1,42,26,71,0,21,56,1,21,0,1,253
,003A065B,2,0,12,0,29,19,65,2,9,58,2,9,0,1,208
,003A065C,4,2,8,1,41,14,32,0,6,40,0,6,0,0,154
,003A066,0,0,11,0,22,13,60,0,16,25,5,16,0,0,168
,003A067,5,0,4,0,47,17,94,0,27,32,0,27,0,0,253
,003A068,2,0,6,0,25,22,114,0,33,75,4,33,1,0,315
,003A069,7,1,8,0,29,17,119,0,41,48,6,41,0,1,318
,003A070,2,0,2,0,9,5,142,0,4,17,2,4,0,0,187
,003A071,6,0,5,0,13,5,127,0,11,22,0,11,0,1,201
,003A072A,2,0,3,0,22,14,123,1,24,21,3,24,1,1,239
,003A072B,0,0,5,0,21,12,86,1,28,28,6,28,2,0,217
,003A073,3,2,4,0,44,15,26,0,31,54,6,31,0,0,216
,003A074,8,0,13,0,23,13,75,0,30,67,7,30,0,0,266
,003A075,2,0,6,0,20,18,80,1,47,42,6,47,0,0,269
,003A076,2,2,5,14,13,6,51,2,52,57,8,52,3,0,267
,004A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,004A001,6,0,22,0,18,26,67,1,56,70,3,56,0,1,326
,004A002,14,0,8,0,21,14,223,3,18,24,1,18,1,0,345
,004A003,9,0,15,0,58,20,54,4,106,129,14,106,0,0,515
,004A004,12,1,5,0,67,18,79,2,116,98,8,116,0,0,522
,004A005,5,0,8,0,51,32,110,0,92,134,12,92,0,0,536
,004A006,12,3,15,2,42,13,77,2,86,90,12,86,0,0,440
,004A007,7,0,8,1,33,12,48,0,102,94,5,102,0,1,413
,004A008A,6,1,23,1,22,24,90,0,107,72,4,107,0,0,457
,004A008B,5,0,9,0,14,18,59,0,44,57,4,44,0,0,254
,004A009,13,0,15,2,36,29,91,0,75,85,4,75,0,2,427
,004A010,1,2,8,4,27,23,63,2,72,51,5,72,0,2,332
,004A011,0,1,13,2,43,38,76,2,83,109,11,83,0,0,461
,004A012,8,0,20,1,31,34,76,2,57,50,7,57,0,0,343
,004A013,8,0,18,0,42,25,96,0,74,88,1,74,1,0,427
,004A014A,1,0,35,0,29,26,84,0,7,50,0,7,1,0,240
,004A014B,8,0,55,0,24,29,176,0,5,29,0,5,0,0,331
,004A015A,5,1,37,0,7,17,133,0,6,20,1,6,0,0,233
,004A015B,0,3,41,0,23,19,76,0,9,31,0,9,0,0,211
,004A015C,2,0,12,0,16,14,66,0,5,21,1,5,0,0,142
,004A016,3,1,64,0,31,39,177,0,5,40,1,5,0,0,366
,004A017A,10,1,32,0,25,26,127,0,35,32,0,35,2,0,325
,004A017B,10,0,18,0,13,21,102,0,19,33,0,19,3,2,240
,004A018A,14,2,11,0,28,12,89,1,8,19,0,8,0,1,193
,004A018B,14,0,13,1,38,19,89,1,16,26,1,16,0,0,234
,004A019,11,5,0,17,133,7,7,1,0,35,3,0,2,2,223
,004A020,17,0,21,0,80,28,185,0,34,46,0,34,0,0,445
,004A021,40,0,9,0,10,23,89,0,74,43,0,74,0,0,362
,004A022,1,1,25,1,43,20,76,1,72,103,6,72,1,2,424
,004A023,1,0,9,0,21,11,68,1,40,48,1,40,0,0,240
,004A024,2,2,10,0,20,24,39,4,66,68,9,66,0,3,313
,004A025,1,1,22,2,34,48,65,2,39,77,11,39,0,0,341
,004A026,5,2,3,0,15,11,45,0,67,58,2,67,0,0,275
,004A034,6,0,23,1,56,13,90,0,9,12,1,9,0,1,221
,004A035,0,0,3,0,36,3,33,1,35,36,4,35,0,0,186
,004A036,0,1,8,0,24,7,43,0,73,42,1,73,2,1,275
,005A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,005A001,1,1,24,0,66,29,195,1,47,53,0,47,0,1,465
,005A002,4,0,38,0,40,14,197,0,22,34,0,22,1,0,372
,005A003,3,0,46,0,18,20,171,1,34,71,0,34,0,0,398
,005A004,2,0,40,0,21,27,207,1,22,48,0,22,0,0,390
,005A005A,6,0,68,0,29,27,147,0,12,37,0,12,0,0,338
,005A005B,9,0,76,0,25,19,140,1,19,18,2,19,1,0,329
,005A006,0,0,39,0,29,3,294,1,17,33,0,17,0,0,433
,005A007A,1,0,59,0,10,19,272,0,14,59,0,14,0,0,448
,005A007B,2,0,6,0,14,14,160,0,7,56,0,7,0,0,266
,005A008A,8,2,30,1,22,41,163,2,29,37,6,29,3,1,374
,005A008B,1,1,34,0,21,16,175,2,22,20,0,22,1,0,315
,005A009A,4,0,57,0,28,25,168,0,18,57,0,18,0,0,375
,005A009B,3,0,17,1,29,20,150,0,11,22,1,11,0,0,265
,005A010,0,0,7,3,7,5,136,0,8,8,0,8,3,0,185
,005A011A,6,2,49,0,20,15,278,0,18,90,7,18,0,0,503
