BM;BAJRAMOVIC DJEBRAIL - STRANKA DIJASPORE BOSNE I HERCEGOVINE;CERIC MUSTAFA - CERIC MUSTAFA;HADZIOMEROVIC BAKIR - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH;HALILOVIC SEFER - BPS-SEFER HALILOVIC;IZETBEGOVIC BAKIR - SDA - STRANKA DEMOKRATSKE AKCIJE;KEBO MIRSAD - KEBO MIRSAD;RADONCIC FAHRUDIN - SBB - FAHRUDIN RADONCIC;SULJAGIC EMIR - DEMOKRATSKA FRONTA-ZELJKO KOM�IC;TUZLIC HALIL - TUZLIC HALIL;ZIGIC ADIL - ZIGIC ADIL;Ukupno
001A000;0;0;0;0;0;0;0;0;0;0;0
001A001;4;17;30;12;48;1;53;27;1;0;193
001A002;1;12;26;19;80;3;81;34;0;1;257
001A003;1;10;30;7;45;1;51;21;0;0;166
001A004;1;8;28;14;65;3;76;17;1;0;213
001A005;0;13;25;11;53;0;72;27;0;0;201
001A006;2;17;34;9;59;0;118;39;0;0;278
001A007;0;1;15;4;40;1;74;16;0;0;151
001A008A;5;9;35;14;86;0;51;20;4;1;225
001A008B;0;2;11;3;25;0;38;7;0;0;86
001A008C;1;4;12;7;45;0;20;9;0;1;99
001A009A;0;5;10;6;21;0;27;12;0;2;83
001A009B;3;6;45;10;52;2;54;27;0;1;200
001A010;0;16;21;9;102;3;55;13;3;2;224
001A011;4;20;4;5;32;0;47;7;1;1;121
001A012A;5;5;15;8;17;2;60;18;1;1;132
001A012B;2;6;17;10;23;2;41;6;0;0;107
001A013;6;5;21;20;13;0;69;32;2;1;169
001A014A;6;11;18;10;30;3;47;17;0;2;144
001A014B;2;5;4;8;3;0;32;3;0;1;58
001A015A;3;4;19;7;23;0;35;13;0;1;105
001A015B;1;6;10;9;15;5;28;13;1;0;88
001A016A;3;5;15;8;19;3;74;11;1;0;139
001A016B;1;2;24;2;40;0;70;9;2;0;150
001A017;1;4;24;23;53;0;111;10;1;1;228
001A018;2;30;23;14;33;0;65;6;1;0;174
001A019;3;12;50;12;63;0;45;5;1;0;191
001A020;4;10;27;11;42;1;27;8;1;1;132
001A021;0;16;15;11;34;0;69;22;1;3;171
001A022;5;9;31;16;80;3;48;7;5;0;204
001A023;3;3;13;7;42;1;58;16;1;0;144
001A024;2;6;49;17;34;4;73;25;5;2;217
001A025;2;10;24;10;30;1;45;20;0;1;143
001A026;2;3;51;10;15;1;43;13;0;0;138
001A027A;0;3;6;2;26;0;23;2;0;0;62
001A027B;3;1;17;19;41;2;85;11;1;1;181
001A028;3;9;24;7;30;2;32;6;1;2;116
001A029A;2;17;37;20;78;3;52;20;0;1;230
