BM;BUDIMIR ZIVKO - STRANKA PRAVDE I POVJERENJA;COVIC DRAGAN - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE;POPOVIC ANTO - DEMOKRATSKA FRONTA-ZELJKO KOMSIC;RAGUZ MARTIN - HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA;Ukupno
001A000;0;0;0;0;0
001A001;7;2;27;10;46
001A002;8;2;34;12;56
001A003;19;1;21;4;45
001A004;14;1;17;4;36
001A005;17;1;27;7;52
001A006;25;0;39;11;75
001A007;6;1;16;0;23
001A008A;17;1;20;0;38
001A008B;5;0;7;0;12
001A008C;3;0;9;1;13
001A009A;7;0;12;0;19
001A009B;30;2;27;3;62
001A010;8;3;13;7;31
001A011;94;2;7;1;104
001A012A;6;3;18;3;30
001A012B;10;3;6;2;21
001A013;4;6;32;2;44
001A014A;42;4;17;1;64
001A014B;11;3;3;0;17
001A015A;22;4;13;0;39
001A015B;17;1;13;4;35
001A016A;18;6;11;2;37
001A016B;22;0;9;5;36
001A017;36;4;10;1;51
001A018;23;2;6;1;32
001A019;12;0;5;1;18
001A020;20;3;8;1;32
001A021;46;2;22;0;70
001A022;9;2;7;0;18
001A023;14;5;16;4;39
001A024;15;1;25;5;46
001A025;3;4;20;0;27
001A026;4;0;13;4;21
001A027A;27;1;2;0;30
001A027B;58;9;11;3;81
001A028;21;6;6;2;35
001A029A;38;5;20;3;66
001A029B;22;0;12;1;35
001A030;50;3;8;1;62
001A031A;18;1;6;0;25
001A031B;11;0;0;0;11
001A032;26;0;17;0;43
001A033;86;3;9;0;98
001A034;66;2;13;1;82
001A035;28;3;2;1;34
001A036;17;0;9;1;27
001A037;11;1;3;1;16
001A038;17;3;24;7;51
001A039;19;2;23;1;45
001A040;29;11;9;0;49
001A041;22;4;27;8;61
001A042;25;2;11;1;39
001A043;17;1;14;0;32
001A044;10;1;19;9;39
001A045;23;19;9;2;53
001A046;38;3;11;2;54
001A047;19;0;16;2;37
001A048;1;0;5;0;6
001A049;26;0;5;0;31
001A050;23;2;12;2;39
001A051;11;4;31;7;53
001A052;21;4;22;3;50
001A053;15;0;23;11;49
001A054;11;1;8;0;20
002A000;0;0;0;0;0
002A001;6;2;87;17;112
002A002;1;2;63;1;67
002A003;11;2;77;13;103
002A004;8;1;121;15;145
002A005;7;3;7;4;21
002A006;0;0;48;1;49
002A007;5;0;65;18;88
002A008A;3;0;32;6;41
002A008B;5;1;32;0;38
002A009;1;0;37;7;45
002A010;0;1;21;0;22
002A011;20;5;21;3;49
002A012;24;4;33;1;62
002A013;6;0;21;5;32
002A014;38;2;11;0;51
002A015;10;1;12;1;24
002A016;7;0;17;1;25
002A017;1;0;10;0;11
002A018A;0;0;31;5;36
002A018B;0;0;32;6;38
002A019;0;1;4;2;7
002A020A;0;2;35;3;40
002A020B;0;0;5;0;5
002A021A;0;0;6;0;6
002A021B;0;0;9;2;11
002A022A;2;3;24;1;30
002A022B;0;1;28;2;31
002A023A;1;2;30;0;33
002A023B;2;0;15;0;17
002A024;0;3;27;2;32
002A025;0;0;5;0;5
002A026;1;0;6;1;8
002A027A;2;0;23;6;31
002A027B;2;0;14;3;19
002A028A;1;0;28;0;29
002A028B;0;1;24;0;25
002A029;0;0;10;1;11
002A030;12;0;23;6;41
002A031A;22;3;25;3;53
002A031B;9;0;11;0;20
002A032;0;2;11;2;15
002A033A;17;0;7;4;28
002A033B;8;0;1;7;16
002A033C;6;0;8;3;17
002A034;0;0;0;2;2
002A035A;3;0;3;0;6
002A035B;1;1;7;6;15
002A035C;0;0;2;4;6
002A036;2;1;3;4;10
002A037;10;1;2;0;13
002A038;2;0;2;0;4
002A039;2;2;3;1;8
002A040;0;0;5;2;7
002A041;1;0;1;0;2
002A042;2;1;1;4;8
002A043;0;0;1;0;1
002A044;18;2;0;9;29
002A045;4;0;3;0;7
002A046;30;4;3;2;39
