BM,CVIJANOVIC ZELJKA - SNSD-DNS-SP,IVANIC MLADEN - SAVEZ ZA PROMJENE,ZMIJANJAC GORAN - STRANKA PRAVEDNE POLITIKE,Ukupno
006B000,0,0,0,0
006B001,99,163,4,266
006B002,73,115,1,189
006B003,199,127,6,332
006B004,92,27,2,121
007B000,0,0,0,0
007B001,194,176,8,378
007B002,153,165,12,330
007B003,139,273,17,429
007B004,55,166,11,232
007B005,140,215,13,368
007B006,134,214,14,362
007B007,281,273,9,563
007B008,259,262,10,531
007B009,420,222,1,643
007B010,37,19,0,56
007B011,184,190,7,381
007B012,180,175,1,356
007B013,22,451,17,490
007B014,111,136,1,248
007B015,337,326,5,668
007B016,68,38,0,106
007B017,95,54,2,151
007B018,60,45,0,105
007B019,77,74,2,153
007B020,147,110,2,259
007B021,143,137,1,281
007B022,123,58,7,188
007B023,223,264,11,498
007B024A,210,273,7,490
007B024B,168,185,3,356
007B025,92,58,4,154
007B026,114,63,4,181
007B027,79,115,7,201
007B028,235,245,10,490
007B029,166,197,5,368
007B030,86,119,1,206
007B031,151,187,1,339
007B032,138,161,1,300
007B033,77,57,1,135
007B034,160,169,8,337
007B035,169,165,4,338
007B036,160,175,2,337
007B037,66,73,2,141
007B038,101,86,0,187
007B039,56,36,0,92
007B040,54,305,17,376
007B041,99,144,6,249
007B042,291,234,22,547
007B043,67,178,13,258
007B044,155,164,14,333
007B045,64,139,10,213
007B046,155,214,8,377
007B047,96,141,3,240
007B048,76,99,0,175
007B049,11,43,3,57
007B050,133,167,3,303
007B051,101,221,6,328
008B000,0,0,0,0
008B001,194,134,6,334
008B002,205,155,19,379
008B003,115,129,10,254
008B004,217,201,14,432
008B005,135,145,16,296
008B006,137,135,10,282
008B007,83,89,9,181
008B008,219,204,15,438
008B009,116,138,12,266
008B010,155,174,20,349
008B011,211,142,9,362
008B012,112,122,3,237
008B013,214,117,11,342
008B014,304,242,8,554
008B015,71,69,5,145
008B016,58,64,0,122
008B017,87,102,6,195
008B018,208,221,22,451
008B019,211,174,8,393
008B020,149,93,12,254
008B021,175,126,6,307
008B022,79,77,0,156
008B023,194,174,5,373
008B024,159,152,5,316
008B025,132,90,2,224
008B026,80,90,2,172
008B027,190,106,6,302
008B028,199,132,9,340
008B029,134,77,6,217
008B030,308,318,6,632
008B031,75,67,2,144
008B032,145,155,10,310
008B033,165,165,15,345
008B034,146,133,15,294
008B035,135,106,7,248
008B036,35,55,4,94
008B037,115,147,10,272
008B038,103,100,8,211
008B039,63,102,8,173
008B040,184,164,11,359
009B000,0,0,0,0
009B001,256,206,31,493
009B002A,243,185,18,446
009B002B,153,152,18,323
009B002C,97,85,14,196
009B003,232,180,44,456
009B004,254,176,22,452
009B005,75,97,8,180
009B006,33,21,2,56
009B007,134,55,2,191
009B008A,211,210,27,448
009B008B,178,151,8,337
009B009,190,113,8,311
