,BM,BEŠIĆ SENAD - BEŠIĆ SENAD,BLAŽANOVIĆ IVO - DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,ČENAJ PETRIT - ČENAJ PETRIT,DODIK MILORAD - SNSD-DNS-SP,HORIĆ AMIR - BPS-SEFER HALILOVIĆ,"JERKOVIĆ JOSIP - HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",JOVIČIĆ DRAGOMIR - STRANKA PRAVEDNE POLITIKE,MARKOVIĆ VLADAN - MARKOVIĆ VLADAN,MUHAREMOVIĆ INDIRA - PRVA STRANKA,NEŠKOVIĆ MLADEN - NEŠKOVIĆ MLADEN,PALIĆ SAMIR - SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,SALKIĆ RAMIZ - DOMOVINA,SEDLO TOMA - STRANKA PRAVDE I POVJERENJA,STOJAKOVIĆ SANDA - KOMUNISTIČKA PARTIJA,STOJANOVIĆ MILKO - STOJANOVIĆ MILKO,SULJKANOVIĆ ENES - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,TADIĆ OGNJEN - SAVEZ ZA PROMJENE,TOKIĆ SEJFUDIN - A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,VLAJKI EMIL - PARTIJA EKONOMSKE I SOCIJALNE PRAVDE,Ukupno
,006B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,006B001,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,257
,006B002,0,0,0,75,0,0,0,1,0,0,0,0,0,0,0,0,110,0,0,186
,006B003,0,0,0,216,0,1,0,1,0,0,0,0,0,0,1,0,113,0,1,333
,006B004,0,0,0,98,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,120
,007B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,007B001,0,0,0,191,1,1,7,0,1,0,0,4,0,1,0,1,168,1,4,380
,007B002,0,0,0,163,0,0,7,0,0,0,0,7,0,0,1,6,139,6,1,330
,007B003,0,0,0,148,1,1,4,4,0,2,0,16,0,0,0,6,245,11,0,438
,007B004,2,1,0,55,1,0,0,0,2,0,1,42,0,1,0,29,106,21,0,261
,007B005,1,1,1,130,4,0,2,0,0,0,2,41,0,1,1,12,163,13,0,372
,007B006,1,0,0,120,2,1,1,0,1,0,0,47,0,1,0,16,163,16,0,369
,007B007,1,0,0,274,1,0,2,1,0,1,0,1,2,0,0,0,288,1,1,573
,007B008,0,1,0,263,0,1,3,0,0,0,0,12,0,0,0,3,250,3,2,538
,007B009,0,0,0,413,0,0,1,2,0,0,0,0,0,0,1,0,227,0,0,644
,007B010,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,56
,007B011,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,378
,007B012,1,0,0,181,0,0,2,2,0,0,0,6,0,0,0,7,165,4,0,368
,007B013,0,2,0,1,5,0,1,0,4,0,0,261,0,3,0,60,153,51,0,541
,007B014,0,0,0,105,1,1,2,0,0,0,0,28,0,0,0,8,115,2,0,262
,007B015,0,0,0,342,0,0,2,0,0,1,0,0,0,0,2,0,321,0,0,668
,007B016,0,0,0,64,0,0,1,0,0,0,0,0,0,0,0,0,41,0,0,106
,007B017,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,150
,007B018,0,0,0,63,0,0,2,0,0,0,0,0,0,0,0,0,40,0,0,105
,007B019,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,156
,007B020,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,115,0,2,260
,007B021,0,0,0,146,0,0,0,0,0,0,0,0,0,0,1,0,134,0,0,281
,007B022,0,0,0,125,0,0,2,0,0,0,0,0,0,0,0,0,60,0,1,188
,007B023,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,496
,007B024A,0,0,0,201,0,0,1,0,0,0,1,0,0,0,0,0,283,0,0,486
,007B024B,0,0,0,168,0,1,1,2,0,1,0,0,0,0,0,0,184,2,1,360
,007B025,0,0,0,90,0,0,1,0,0,0,0,6,0,0,0,0,56,1,0,154
,007B026,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,61,0,2,181
,007B027,0,0,0,68,3,1,0,0,3,0,1,71,0,0,0,9,42,9,0,207
,007B028,0,0,0,251,2,0,3,0,0,0,1,2,0,0,1,0,237,1,0,498
,007B029,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,1,193,1,2,369
,007B030,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,201
,007B031,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,335
,007B032,0,0,0,148,0,0,0,0,0,0,0,0,1,0,0,0,149,0,0,298
,007B033,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,134
,007B034,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,172,0,2,328
,007B035,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,338
,007B036,0,0,0,165,1,0,0,0,0,0,0,0,0,0,0,0,177,1,0,344
,007B037,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,151
,007B038,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,186
,007B039,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,93
,007B040,5,0,0,4,5,0,0,0,0,0,0,237,0,4,0,83,95,27,0,460
,007B041,0,0,0,112,1,1,2,0,1,2,0,5,0,0,1,2,121,2,3,253
,007B042,0,1,0,295,0,0,6,0,0,0,0,2,0,0,0,3,242,2,1,552
,007B043,2,1,0,52,4,0,1,1,1,0,0,79,0,0,0,26,89,24,0,280
,007B044,0,0,0,162,1,0,5,1,1,0,0,6,0,1,0,0,160,2,2,341
,007B045,0,0,0,20,2,0,0,0,1,0,0,141,0,1,0,41,63,28,0,297
,007B046,0,0,0,163,0,0,3,0,0,0,0,3,0,2,1,1,199,3,7,382
,007B047,0,0,0,106,0,0,2,0,0,0,0,1,0,0,0,0,129,0,5,243
,007B048,0,0,0,73,0,0,1,0,0,0,0,0,0,0,0,0,103,0,0,177
,007B049,0,0,0,5,6,0,0,0,2,0,0,20,0,0,0,4,18,17,0,72
,007B050,0,1,0,130,0,0,0,1,0,0,0,0,0,0,0,0,167,4,0,303
,007B051,0,0,0,5,5,0,0,0,0,0,0,185,0,0,0,17,105,28,0,345
,008B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,008B001,0,1,1,191,0,1,1,0,0,0,0,6,0,0,0,8,132,0,1,342
,008B002,0,0,0,215,1,0,0,0,0,0,0,2,0,1,0,6,151,0,7,383
,008B003,0,0,0,111,0,0,1,0,0,1,0,12,0,5,1,0,120,0,2,253
,008B004,1,0,0,224,0,1,6,0,0,0,1,3,0,1,1,4,193,2,1,438
,008B005,0,0,0,138,1,0,3,0,0,1,1,4,0,0,0,3,148,0,2,301
,008B006,0,0,0,138,0,0,1,1,0,0,0,27,0,0,0,2,114,8,1,292
,008B007,2,1,0,76,1,0,0,0,0,0,0,22,0,0,0,7,67,10,2,188
,008B008,0,0,0,217,0,1,2,1,1,0,0,8,0,0,0,4,201,14,0,449
,008B009,4,3,0,106,2,0,0,0,0,1,1,46,1,2,0,9,78,10,1,264
,008B010,2,0,0,163,1,0,3,1,2,1,1,19,0,1,0,14,131,12,0,351
,008B011,0,0,0,205,0,0,2,0,0,3,0,0,0,1,0,0,148,0,2,361
,008B012,0,0,0,112,0,0,0,0,0,0,0,1,0,0,1,0,118,1,0,233
,008B013,0,0,0,209,0,0,6,0,0,0,0,1,1,0,0,0,122,1,0,340
,008B014,0,0,0,297,0,0,2,1,0,0,0,1,0,1,0,0,253,1,1,557
,008B015,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,145
,008B016,0,0,0,56,0,0,1,0,0,0,0,1,0,0,0,0,62,0,0,120
,008B017,0,0,0,88,0,0,1,0,0,1,0,0,0,0,0,0,105,1,0,196
,008B018,0,0,0,209,0,0,8,0,0,0,0,2,0,1,0,0,224,1,2,447
,008B019,0,1,0,226,0,0,1,0,0,1,0,0,0,0,0,0,175,0,4,408
,008B020,0,0,0,150,0,0,3,0,0,0,0,5,0,0,1,0,93,10,0,262
,008B021,0,0,0,180,0,0,1,0,0,0,0,0,0,1,1,0,126,1,0,310
,008B022,0,0,0,75,0,0,0,2,0,0,0,0,1,0,0,0,76,0,1,155
,008B023,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,368
,008B024,0,0,0,165,0,0,1,1,0,0,0,0,0,0,0,0,150,1,2,320
,008B025,0,2,0,131,0,0,0,0,0,0,0,0,0,1,0,0,81,2,0,217
,008B026,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,172
,008B027,0,1,0,184,0,1,1,1,0,0,0,0,0,0,0,0,114,0,0,302
,008B028,0,0,0,199,0,0,0,1,0,0,0,0,0,0,1,0,140,1,2,344
,008B029,0,0,0,130,0,0,3,1,0,0,0,0,0,0,0,0,77,1,4,216
,008B030,1,0,0,297,0,0,1,0,0,0,0,9,0,0,0,0,329,0,3,640
,008B031,0,0,0,77,0,1,0,0,0,0,0,0,0,0,0,0,64,0,0,142
,008B032,0,0,0,146,0,0,5,1,0,0,0,35,0,1,0,3,132,4,1,328
,008B033,1,0,0,164,1,1,4,0,0,0,0,14,0,1,0,9,142,9,5,351
,008B034,0,0,0,146,0,0,1,0,0,0,0,0,0,0,0,0,138,0,5,290
,008B035,0,0,0,141,1,0,1,0,0,0,0,11,0,1,0,3,97,6,0,261
,008B036,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,92
,008B037,3,0,0,104,3,0,0,1,0,1,1,30,0,0,0,24,92,20,0,279
,008B038,0,0,0,111,0,0,0,0,0,0,0,3,0,0,0,1,99,1,1,216
,008B039,2,0,0,66,2,0,1,0,1,0,0,9,0,0,0,3,91,7,0,182
,008B040,0,0,0,183,0,0,4,0,0,0,0,0,0,2,0,2,177,0,1,369
,009B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,009B001,0,0,0,248,0,0,11,0,0,0,0,1,0,1,2,0,225,0,1,489
,009B002A,0,0,0,246,0,0,6,2,0,1,0,0,0,0,0,0,200,1,0,456
,009B002B,0,0,0,153,1,0,6,1,0,0,0,0,0,0,0,0,162,2,0,325
,009B002C,0,0,0,93,0,0,0,0,0,1,0,0,0,0,1,0,88,0,0,183
,009B003,3,0,0,234,1,0,7,1,0,0,0,9,0,0,1,0,202,0,0,458
,009B004,0,3,0,233,0,0,7,0,0,0,0,2,0,0,1,0,204,2,1,453
