"Biračko Mjesto","ADMIL MULALIĆ - DEMOKRATSKA NARODNA ZAJEDNICA BIH - DNZ","FIKRET ABDIĆ - LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH","ADEM PAJAZETOVIĆ - NEZAVISNI KANDIDAT","ASMIR ĆUFUROVIĆ - SDA/SBB"
001A001,94,63,24,48
001A002,116,83,49,66
001A003,64,114,20,34
001A004,85,127,64,63
001A005,81,97,52,31
001A006,131,129,57,51
001A007,62,79,47,32
001A008A,89,183,100,80
001A008B,44,72,56,17
001A008C,32,61,76,31
001A009A,57,100,8,22
001A009B,106,192,27,50
001A010,51,182,24,73
001A011,89,136,16,18
001A012A,36,159,34,23
001A012B,45,168,30,19
001A013,12,324,5,9
001A014A,74,168,10,6
001A014B,38,182,12,3
001A015A,28,145,13,11
001A015B,73,155,41,12
001A016A,46,204,31,16
001A016B,58,133,30,18
001A017,72,208,103,36
001A018,133,260,25,10
001A019,111,176,22,26
001A020,119,173,21,18
001A021,97,182,41,11
001A022,53,199,92,97
001A023,25,186,40,28
001A024A,54,158,38,11
001A024B,56,103,31,12
001A025,40,210,47,22
001A026,52,227,52,7
001A027A,71,176,40,32
001A027B,59,151,43,16
001A028,45,164,126,10
001A029A,67,86,70,35
001A029B,72,109,62,46
001A030,97,133,64,8
001A031A,182,44,13,38
001A031B,151,23,21,26
001A032,78,63,117,14
001A033,238,41,24,40
001A034,89,110,33,18
001A035,78,38,27,26
001A036,68,97,62,31
001A037,21,103,94,18
001A038,115,172,71,25
001A039,22,118,39,17
001A040,45,212,12,22
001A041,97,168,36,58
001A042,50,114,24,21
001A043,78,148,104,29
001A044,78,120,36,34
001A045,23,88,43,29
001A046,76,192,52,45
001A047,49,211,38,32
001A048,26,71,44,19
001A049,131,65,5,53
001A050,20,122,80,72
001A051,76,109,57,32
001A052,97,89,43,51
001A053,128,109,40,40
001A054,8,130,63,46
Ukupno,4758,8914,2921,1994
