"Biračko Mjesto","NERMIN OGREŠEVIĆ - A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","HAKIJA BEGANOVIĆ - LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH","ALMIN HANDANAGIĆ - SDA/SBB"
002A001,215,7,220
002A002,275,3,220
002A003,238,14,229
002A004,216,21,218
002A005,218,1,91
002A006,230,8,188
002A007,235,4,216
002A008A,399,3,89
002A008B,257,3,64
002A009,305,1,248
002A010,242,1,59
002A011,276,53,86
002A012,210,99,49
002A013,272,1,58
002A014,252,19,137
002A015,233,10,294
002A016,81,2,176
002A017,146,0,96
002A018A,253,4,169
002A018B,183,0,111
002A019,162,2,110
002A020A,206,0,133
002A020B,295,2,169
002A021A,97,0,108
002A021B,261,0,112
002A022A,311,1,190
002A022B,295,3,89
002A023A,291,1,137
002A023B,188,0,106
002A024,225,3,104
002A025,128,1,18
002A026,43,0,15
002A027A,169,2,128
002A027B,242,2,191
002A028A,196,1,223
002A028B,125,0,208
002A029,108,0,212
002A030,207,8,183
002A031A,204,3,103
002A031B,204,1,110
002A032,257,1,203
002A033A,137,15,161
002A033B,152,14,145
002A033C,131,11,149
002A034,145,0,128
002A035A,204,1,108
002A035B,194,2,126
002A035C,151,0,110
002A036,188,1,162
002A037,85,4,124
002A038,56,7,49
002A039,152,4,261
002A040,160,0,232
002A041,303,0,227
002A042,216,1,78
002A043,256,0,239
002A044,204,40,112
002A045,297,0,209
002A046,237,14,63
002A047,180,4,196
002A048,118,10,104
002A049,290,2,117
002A050,203,9,221
002A051,176,3,63
002A052,141,36,40
002A053,176,13,81
002A054A,105,10,296
002A054B,119,6,255
002A054C,168,5,274
002A055,264,0,138
002A056A,344,0,37
002A056B,263,0,57
002A057A,152,5,61
002A057B,176,0,124
002A058A,182,14,88
002A058B,171,15,86
002A059,109,2,125
002A060,55,0,54
002A061,230,1,87
Ukupno,15840,534,11057
