"Biračko Mjesto","HILMIJA NANIĆ - DEMOKRATSKA FRONTA","ZIKRIJA DURAKOVIĆ - NEZAVISNI KANDIDAT","AGAN BUNIĆ - SDA/SBB"
005A001,9,362,118
005A002,11,266,205
005A003,5,289,218
005A004,14,273,197
005A005A,5,195,102
005A005B,4,237,156
005A006,3,219,284
005A007A,9,399,96
005A007B,2,303,92
005A008A,14,330,137
005A008B,5,221,186
005A009A,11,379,136
005A009B,8,189,117
005A010,10,173,81
005A011A,10,206,102
005A011B,9,191,110
005A011C,3,199,155
005A012,7,195,265
005A013,4,349,238
005A014,22,336,227
005A015,14,311,166
Ukupno,179,5622,3388
