"Biračko Mjesto","MIROSLAV DRLJAČA - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","MILANKO MIHAJILICA - SAVEZ ZA PROMJENE-NOVI GRAD"
007B001,200,155
007B002,182,134
007B003,174,238
007B004,118,114
007B005,223,133
007B006,189,167
007B007,310,251
007B008,293,224
007B009,399,209
007B010,33,19
007B011,215,188
007B012,157,192
007B013,170,73
007B014,154,117
007B015,366,233
007B016,73,24
007B017,110,48
007B018,72,45
007B019,86,61
007B020,184,77
007B021,163,121
007B022,114,59
007B023,249,242
007B024A,230,256
007B024B,185,204
007B025,115,55
007B026,120,53
007B027,104,74
007B028,310,196
007B029,181,221
007B030,126,101
007B031,219,102
007B032,203,94
007B033,79,43
007B034,176,159
007B035,138,173
007B036,114,195
007B037,54,66
007B038,100,77
007B039,29,55
007B040,245,200
007B041,126,111
007B042,293,228
007B043,318,263
007B044,192,140
007B045,144,74
007B046,204,179
007B047,119,123
007B048,111,70
007B049,26,53
007B050,133,138
007B051,221,151
Ukupno,8849,6978
