"Biračko Mjesto","BRANKO BARAĆ - STRANKA SPAS","RADENKO RELJIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD"
008B000,1,0
008B001,96,253
008B002,100,310
008B003,68,188
008B004,135,295
008B005,115,172
008B006,117,164
008B007,69,120
008B008,161,296
008B009,84,190
008B010,146,208
008B011,124,241
008B012,98,148
008B013,87,260
008B014,163,406
008B015,20,114
008B016,24,102
008B017,53,183
008B018,128,309
008B019,98,326
008B020,70,189
008B021,107,213
008B022,31,145
008B023,88,274
008B024,74,249
008B025,61,149
008B026,70,145
008B027,87,213
008B028,151,194
008B029,82,117
008B030,193,367
008B031,51,76
008B032,97,231
008B033,124,206
008B034,95,215
008B035,80,207
008B036,46,51
008B037,112,153
008B038,67,143
008B039,84,117
008B040,124,262
Ukupno,3781,8201
