"Biračko Mjesto","MILENKO ĐAKOVIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ","DUŠAN BERIĆ - SAVEZ ZA PROMJENE-PRIJEDOR"
009B001,393,137
009B002A,202,104
009B002B,195,107
009B002C,166,101
009B003,323,155
009B004,278,120
009B005,102,70
009B006,45,15
009B007,151,31
009B008A,282,141
009B008B,220,94
009B009,219,86
009B010,126,79
009B011,104,34
009B012,101,93
009B013,160,124
009B014,81,80
009B015A,33,69
009B015B,30,38
009B015C,39,57
009B016,41,76
009B017,46,83
009B018,57,72
009B019,54,90
009B020,24,54
009B021,36,68
009B022A,110,80
009B022B,65,37
009B022C,69,51
009B023A,66,74
009B023B,17,64
009B023C,64,59
009B024,151,128
009B025,134,428
009B026,303,113
009B027,39,15
009B028,241,269
009B029,239,268
009B030,215,232
009B031,129,92
009B032,140,179
009B033,249,142
009B034,177,128
009B035,160,136
009B036,187,157
009B037,156,111
009B038,51,106
009B039,150,123
009B040,147,92
009B041,67,17
009B042,182,73
009B043,63,11
009B044,43,66
009B045,143,72
009B046,167,104
009B047,99,15
009B048,15,88
009B049,44,32
009B050,35,32
009B051A,57,33
009B051B,32,22
009B052A,37,64
009B052B,34,41
009B053,53,29
009B054,294,140
009B055,41,40
009B056A,87,68
009B056B,139,121
009B057,275,104
009B058,332,71
009B059,298,157
009B060,185,58
009B061,363,112
009B062,275,174
009B063,149,93
009B064,172,82
009B065,147,90
009B066,230,61
009B067,271,114
009B068,302,118
009B069,173,115
009B070,168,83
009B071,258,121
009B072,131,125
009B073,178,77
009B074,263,126
009B075,313,161
009B076,319,153
009B077,272,182
009B078,467,204
009B079A,226,140
009B079B,161,128
009B079C,171,152
009B080,218,92
009B081,130,99
009B082,132,105
009B083,132,98
009B084,118,108
009B085,137,100
009B086,132,119
009B087,188,73
009B088,239,84
009B089,188,77
009B090A,235,172
009B090B,255,174
009B090C,215,123
009B091,251,114
009B092,190,59
009B093,212,69
009B094,192,86
009B095,229,108
009B096,264,118
009B097,324,175
009B098,275,118
009B099,389,237
009B100,255,113
009B101,202,94
009B102,54,27
009B103,288,127
009B104,220,111
009B105,163,93
009B106,328,150
009B107,189,113
009B108,270,127
009B109,272,140
009B110,114,183
009B111,36,59
009B112,214,94
009B113,90,49
Ukupno,21838,13319
