"Biračko Mjesto","ZORAN ADŽIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","MILAN SLADOJEVIĆ - NEZAVISNI KANDIDAT","ZORAN LATINOVIĆ - SAVEZ ZA GRADIŠKU"
010B000,0,0,0
010B001,70,17,87
010B002,139,2,69
010B003,131,3,145
010B004,321,15,126
010B005,292,8,174
010B006,69,21,86
010B007,367,16,171
010B008,115,1,181
010B009,80,4,64
010B010,94,3,57
010B011,153,4,104
010B012,274,3,111
010B013,63,0,45
010B014,359,12,150
010B015,174,17,145
010B016,60,3,53
010B017,140,3,106
010B018,219,2,84
010B019,109,2,42
010B020,82,1,45
010B021,130,1,32
010B022,75,0,41
010B023,308,11,191
010B024,67,2,44
010B025,245,2,135
010B026,343,16,234
010B027,183,6,79
010B028,127,4,69
010B029,146,10,126
010B030,219,14,126
010B031,145,1,154
010B032,120,5,96
010B033,136,4,182
010B034,221,28,168
010B035,286,36,148
010B036,18,2,35
010B037,54,7,47
010B038,188,20,98
010B039,173,1,90
010B040,138,18,173
010B041,276,15,107
010B042,243,8,266
010B043,170,4,84
010B044,127,11,107
010B045,262,5,186
010B046,131,0,93
010B047,112,1,88
010B048,172,14,157
010B049,95,11,73
010B050,182,15,128
010B051,76,16,84
010B052,247,21,287
010B053,277,17,217
010B054,192,5,183
010B055,143,13,86
010B056,199,18,135
010B057,237,14,157
010B058,66,14,109
010B059,152,16,109
010B060,121,20,107
010B061,85,6,116
010B062,146,21,111
010B063,255,26,189
010B064,158,21,101
010B065,284,18,157
010B066,291,27,143
010B067,285,16,176
010B068,189,10,146
010B069,259,12,260
010B070,284,14,172
010B071,238,12,168
010B072,264,8,181
010B073,229,14,190
010B074,178,9,106
010B075,163,9,125
010B076,103,7,100
010B077,150,18,165
010B078,220,9,211
010B079,260,14,279
010B080,179,13,159
010B081,122,5,106
010B082A,77,7,61
010B082B,70,7,64
010B083,25,2,75
010B084,159,11,90
010B085,65,12,36
010B086,290,11,170
010B087A,153,22,88
010B087B,219,26,135
010B088,188,27,102
Ukupno,15701,977,11258
