"Biračko Mjesto","PREDRAG SMILJANIĆ - SDS-SRPSKA DEMOKRATSKA STRANKA","RANKO KARAPETROVIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD"
011B001,122,292
011B002,99,347
011B003,129,348
011B004,98,289
011B005,103,266
011B006,85,269
011B007A,92,180
011B007B,110,186
011B008,91,241
011B009A,101,341
011B009B,87,356
011B010,65,371
011B011,69,364
011B012,99,400
011B013,73,164
011B014A,54,265
011B014B,60,265
011B015,78,321
011B016,151,327
011B017,50,160
011B018,113,355
011B019,70,147
011B020,167,213
011B021,71,250
011B022A,122,307
011B022B,85,208
011B023A,153,321
011B023B,97,230
011B024,101,337
011B025,69,286
011B026,47,284
011B027,111,334
011B028,127,347
011B029,134,281
011B030,146,285
011B031,48,84
011B032,83,355
011B033,116,310
011B034,30,174
011B035,37,118
011B036,17,55
011B037,58,194
011B038,108,264
011B039,107,270
011B040,94,229
011B041,59,274
011B042,102,280
011B043A,125,264
011B043B,84,187
Ukupno,4497,12995
