"Biračko Mjesto","MLAĐAN DRAGOSAVLJEVIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","RANKO NEDIĆ - SAVEZ ZA PROMJENE-SRBAC"
012B001,247,135
012B002,349,163
012B003,229,113
012B004,337,214
012B005,255,85
012B006,341,232
012B007,196,114
012B008,260,158
012B009,206,150
012B010,128,94
012B011,372,171
012B012,350,124
012B013A,161,85
012B013B,160,148
012B014,119,78
012B015,315,155
012B016,111,83
012B017,97,43
012B018,122,44
012B019,235,38
012B020,244,131
012B021,230,86
012B022,205,93
012B023,154,77
012B024,75,13
012B025,88,49
012B026,66,70
012B027A,245,98
012B027B,202,93
012B028,328,161
012B029,78,65
012B030,209,59
Ukupno,6714,3422
