"Biračko Mjesto","SINIŠA GATARIĆ - SDS-SRPSKA DEMOKRATSKA STRANKA","BRANO ŽUNIĆ - PDP- PARTIJA DEMOKRATSKOG PROGRESA","DARKO TOMAŠ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD"
013B001,126,18,317
013B002,83,19,265
013B003,97,9,245
013B004,135,5,280
013B005,121,15,257
013B006,142,18,244
013B007,161,25,216
013B008,161,15,371
013B009,241,9,182
013B010,194,7,265
013B011,228,8,236
013B012A,168,13,183
013B012B,112,15,158
013B013,106,3,114
013B014,87,10,151
013B015,154,26,204
013B016,31,2,179
013B017,155,16,255
013B018,111,4,227
013B019,93,6,203
013B020,124,8,317
013B021,231,6,263
013B022,184,19,334
013B023,172,4,239
013B024,73,15,178
013B025,206,5,342
013B026A,81,10,144
013B026B,130,9,263
013B027,15,3,58
013B028,92,7,241
013B029,132,7,318
013B030,58,5,139
013B031,123,3,325
013B032,146,4,228
013B033A,85,2,36
013B033B,123,1,58
013B033C,92,2,41
013B034,251,14,276
013B035,152,1,285
013B036,101,8,308
013B037,148,6,359
013B038A,196,7,261
013B038B,119,6,178
013B039,55,8,115
013B040,120,1,127
013B041,116,2,41
013B042,188,3,144
013B043,143,15,97
013B044,247,3,252
013B045,94,14,169
013B046,140,11,236
013B047,103,3,236
013B048,85,8,213
013B049,149,12,346
013B050,77,14,199
013B051,97,9,282
Ukupno,7354,498,12200
