"Biračko Mjesto","MILAN GAVRIĆ - SDS-SRPSKA DEMOKRATSKA STRANKA","VID IVANOVIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ","ILIJA JOVIČIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD"
016B001,92,78,117
016B002,105,68,156
016B003,99,84,186
016B004,106,86,151
016B005,62,53,133
016B006,98,79,140
016B007,140,91,202
016B008,153,131,206
016B009,125,142,221
016B010,93,22,86
016B011,42,10,46
016B012,86,43,139
016B013,94,45,242
016B014,58,72,139
016B015,125,135,153
016B016,49,37,132
016B017,160,27,119
016B018,51,37,65
016B019,29,71,87
016B020,30,49,69
016B021,140,117,203
016B022,65,47,115
016B023,60,106,63
016B024,17,4,14
016B025,29,21,54
Ukupno,2108,1655,3238
