"Biračko Mjesto","JAKOV IVANKOVIĆ - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","MARKO ČAKTAŠ - HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","MARA ĐUKIĆ - DEMOKRATSKA FRONTA","LUCA ANĐELIĆ-GRGIĆ - NEZAVISNI KANDIDAT","HAJRUDIN HADŽIDEDIĆ - SDA/SBB"
017A001,261,40,0,4,3
017A002,22,14,14,6,283
017A003,6,8,11,4,311
017A004,79,26,16,9,149
017A005,194,37,0,5,18
017A006,224,32,2,0,29
017A007,134,49,0,0,7
017A008,132,41,2,8,10
017A009,211,33,3,6,9
017A010A,2,3,4,5,240
017A010B,0,0,6,0,155
017A011,23,12,20,5,286
017A012,31,3,19,3,342
017A013,36,8,16,2,249
017A014,133,26,4,3,17
017A015,77,189,1,2,27
017A016,103,13,0,27,7
017A017,196,18,0,4,12
017A018,109,107,2,1,7
017A019,196,49,11,10,92
017A020,231,46,1,1,5
017A021,63,16,26,1,16
017A022,20,6,12,16,166
Ukupno,2483,776,170,122,2440
