"Biračko Mjesto","ŽIVAN KOJIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","ĐORĐE MILIĆEVIĆ - SAVEZ ZA PROMJENE-ŠAMAC"
021B001A,55,114
021B001B,86,75
021B002,172,194
021B003,146,153
021B004,194,259
021B005,161,176
021B006,176,216
021B007,94,48
021B008,114,207
021B009A,104,293
021B009B,41,185
021B010,51,214
021B011,117,175
021B012,78,37
021B013A,306,114
021B013B,225,100
021B013C,259,53
021B014,90,167
021B015,236,256
021B016,267,116
021B017,72,79
021B018,77,95
021B019,33,138
021B020,78,88
021B021,123,130
021B022,181,191
021B023,48,188
021B024,111,145
021B025,162,156
Ukupno,3857,4362
