"Biračko Mjesto","STANKO VINCETIĆ - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","JOSO ORŠOLIĆ - ZAJEDNO - HDZ 1990 / POSAVSKA STRANKA"
022A001,143,144
022A002,171,184
022A003A,127,46
022A003B,114,56
022A004,156,68
022A005,224,30
022A006,143,234
022A007,84,284
022A008A,221,62
022A008B,190,81
022A009,161,63
022A010,142,57
022A011,255,37
022A012,153,41
022A013,113,54
022A014,99,37
022A015,146,178
022A016,210,31
022A017,148,51
022A018,174,63
022A019,131,155
022A020,127,64
022A021,143,166
022A022,195,60
022A023,243,35
Ukupno,4013,2281
