"Biračko Mjesto","MLADEN KREKIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","STEVO JOKSIMOVIĆ - SAVEZ ZA PROMJENE-MODRIČA"
024B001,218,155
024B002,85,113
024B003,212,186
024B004,206,141
024B005,131,111
024B006,172,170
024B007,217,177
024B008,219,172
024B009,339,303
024B010,283,348
024B011,247,300
024B012,68,52
024B013,249,118
024B014,74,56
024B015,200,213
024B016,97,54
024B017,222,89
024B018,77,76
024B019A,102,58
024B019B,56,27
024B020,190,136
024B021,111,70
024B022,107,83
024B023,127,137
024B024,82,66
024B025A,112,32
024B025B,138,38
024B026,193,240
024B027,257,187
024B028,4,6
024B029,47,55
024B030,336,197
024B031,209,166
024B032,135,144
024B033,197,215
024B034,177,278
024B035,169,186
024B036,194,292
024B037,209,210
024B038,158,171
024B039,234,298
024B040,171,263
024B041,54,44
Ukupno,7085,6433
