"Biračko Mjesto","EDIS DERVIŠAGIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","MAIDA AVDIĆ - DEMOKRATSKA FRONTA","MUHAMED BILAJAC - SDA/SBB"
025A001,272,14,338
025A002,329,45,174
025A003A,179,5,125
025A003B,143,12,198
025A004,502,8,98
025A005A,283,2,82
025A005B,242,2,161
025A006A,331,7,78
025A006B,313,1,116
025A007A,240,9,174
025A007B,228,1,137
025A008A,261,4,71
025A008B,312,12,99
025A009A,240,0,106
025A009B,233,2,164
025A010,244,5,147
025A011,220,21,218
025A012,223,31,170
025A013A,204,8,216
025A013B,227,8,159
025A013C,172,7,209
025A013D,155,12,134
025A014,210,17,205
025A015,305,31,183
025A016,229,39,127
025A017,218,26,162
025A018,147,42,137
025A019,257,38,154
025A020,225,30,154
025A021,328,28,110
025A022,339,26,76
025A023,214,15,104
025A024,171,27,75
025A025,170,12,57
025A026,233,3,152
025A027,192,4,112
025A028,164,25,78
025A029,110,14,56
025A030,197,43,152
025A031,279,24,157
025A032,261,31,195
025A033,262,28,222
025A034,281,20,108
025A035,222,22,116
025A036,133,20,85
025A037,188,65,147
025A038A,163,12,124
025A038B,124,22,113
025A039,132,68,98
025A040,77,2,79
025A041,161,15,59
025A042,87,0,70
025A043,310,12,151
025A044,219,18,102
025A045,112,26,93
Ukupno,12273,1021,7387
