"Biračko Mjesto","PERO PRERADOVIĆ - PARTIJA UJEDINJENIH PENZIONERA","DAMJAN PAJIĆ - NEZAVISNI KANDIDAT","ZLATKO MAKSIMOVIĆ - BIJELJINA POBJEĐUJE- DR ZLATKO MAKSIMOVIĆ","MIĆO MIĆIĆ - SAVEZ ZA PROMJENE-BIJELJINA"
029B001,2,13,186,137
029B002,4,3,96,118
029B003,3,3,128,130
029B004,5,5,145,150
029B005,3,3,132,149
029B006,3,4,109,90
029B007,1,5,82,87
029B008,2,2,171,137
029B009,0,4,143,128
029B010,7,13,215,162
029B011,3,12,199,165
029B012,5,9,203,154
029B013,4,10,176,144
029B014,1,9,160,97
029B015,5,7,170,166
029B016,7,5,166,148
029B017,4,4,111,121
029B018,5,13,164,132
029B019,4,7,252,177
029B020,3,9,167,111
029B021,0,8,184,114
029B022,5,6,192,158
029B023,1,1,81,83
029B024,0,4,66,70
029B025,5,5,212,208
029B026,5,19,200,152
029B027,3,12,179,138
029B028,6,16,244,168
029B029,3,12,212,160
029B030,3,13,167,133
029B031,5,3,114,95
029B032,4,4,97,83
029B033,6,13,221,212
029B034,0,2,117,153
029B035,7,7,155,172
029B036,0,0,102,228
029B037,0,1,58,363
029B038,0,0,92,224
029B039,0,0,24,278
029B040,0,1,35,191
029B041,0,0,27,284
029B042,0,0,33,157
029B043,2,0,25,227
029B044,5,13,245,336
029B045,1,1,44,62
029B046A,22,3,269,264
029B046B,13,3,237,189
029B047A,5,10,180,157
029B047B,0,7,201,246
029B048,3,3,66,94
029B049,4,6,134,140
029B050A,2,5,220,164
029B050B,4,1,182,122
029B050C,3,4,213,181
029B050D,0,1,235,187
029B051,10,7,228,177
029B052,4,8,183,146
029B053,5,7,207,212
029B054,1,4,135,164
029B055,0,2,230,308
029B056,3,2,225,246
029B057,0,1,112,273
029B058,0,1,83,30
029B059,1,0,76,189
029B060,2,2,133,180
029B061,2,2,74,83
029B062A,1,1,325,183
029B062B,0,0,218,105
029B062C,0,0,266,113
029B063A,5,4,234,221
029B063B,2,8,188,146
029B063C,3,11,186,156
029B064A,6,9,245,167
029B064B,6,9,192,145
029B065A,2,5,161,87
029B065B,3,6,148,113
029B065C,1,3,149,100
029B066A,2,1,210,181
029B066B,0,0,204,163
029B067A,0,1,144,301
029B067B,1,0,103,263
029B068,0,2,167,382
029B069,0,0,204,238
029B070,0,2,165,149
029B071A,1,0,95,161
029B071B,2,3,162,255
029B072,2,1,326,256
029B073,1,1,154,151
029B074,2,1,145,199
029B075,0,1,116,125
029B076,0,0,106,180
029B077,3,4,134,336
029B078,4,14,253,175
029B079,2,7,166,124
029B080,0,3,102,100
029B081A,2,0,131,170
029B081B,3,10,151,199
029B082,0,1,85,75
029B083,0,5,139,143
029B084,2,1,178,204
029B085,4,16,267,306
029B086,0,3,88,131
029B087,1,1,98,146
029B088,0,0,23,88
029B089,1,4,333,198
029B090,4,5,264,286
029B091,1,1,226,170
029B092A,2,9,217,165
029B092B,2,2,270,214
029B092C,2,10,233,201
029B092D,5,4,269,224
029B092E,2,2,139,116
029B093,0,1,142,63
029B094,0,1,36,63
029B095A,5,3,297,219
029B095B,2,2,194,137
029B096A,4,3,144,183
029B096B,1,7,196,175
029B096C,2,3,176,201
029B097A,1,6,197,173
029B097B,1,2,189,197
029B098A,4,2,229,364
029B098B,0,4,219,218
029B098C,1,3,197,268
029B099A,3,9,157,160
029B099B,1,2,151,153
029B100A,1,4,273,266
029B100B,5,2,217,208
029B100C,2,3,224,237
029B100D,1,9,307,233
029B100E,3,2,141,159
029B101,1,5,176,178
029B102,2,15,233,143
029B103A,5,9,147,105
029B103B,8,5,177,137
029B104,2,1,121,142
029B105,3,6,129,387
029B106,8,18,250,172
029B107,3,6,218,145
029B108A,3,6,231,278
029B108B,2,1,156,208
029B109,1,1,47,57
029B110,1,8,71,68
029B111,1,15,224,213
029B112,4,2,153,167
029B113,7,15,219,164
029B114,0,5,130,102
029B115,7,12,194,158
029B116,2,8,196,134
029B117,7,15,260,168
029B118,4,3,144,111
029B119,5,5,257,215
029B120,6,15,205,205
029B121,5,9,187,198
029B122,0,6,177,179
029B123,5,2,204,151
029B124,4,3,87,96
029B125,3,9,138,147
029B126,1,14,199,225
029B127,0,1,15,131
029B128,0,0,67,87
029B129,0,4,118,94
029B130A,2,4,201,132
029B130B,2,1,173,99
029B131,4,8,211,99
029B132,2,2,78,182
029B133,3,3,154,138
029B134,0,10,147,131
029B135,3,3,92,111
029B136,0,6,107,78
029B137,4,3,189,147
029B138,3,5,171,140
029B139,5,6,172,146
029B140,4,5,132,142
029B141,4,1,90,116
029B142,3,1,74,72
029B143,0,2,75,84
029B144,3,13,159,160
029B145,0,2,183,115
029B146,4,5,130,176
Ukupno,479,903,29657,30125
